;#covid19;nebraska;watch;ricketts;states;gov;state;update;response;help;thank;work;nebraskans;everyone;new;live;provides;great;home;provide;health;encourage;people;department;virus;stay;relief;link;online;tax;la;spread;stream;social;together;el;200pm;families;please;del;nebraskas;coronavirus;property;healthy;continue;gt;join;take;president;de;public;next;services;distancing;follow;daily;local;pandemic;businesses;town;protect;@nedhhs;talk;communities;support;en;order;human;#coronavirus;que;statewide;year;las;family;briefing;propagación;information;may;dr;working;full;hall;@realdonaldtrump;los;week;pete;limit;shop;million;counties;una;gobernador;21;vea;days;important;care;visit;pueden;estado
#covid19;0;134;200;136;162;110;26;156;150;36;28;18;20;72;28;72;88;14;6;76;56;62;10;54;46;14;6;60;62;2;28;20;60;22;14;28;56;10;26;28;14;10;0;16;12;14;12;8;6;28;16;8;36;14;2;26;10;24;12;6;4;30;20;4;12;28;18;26;0;28;10;0;28;2;24;26;12;14;6;8;14;8;4;28;8;2;10;6;0;14;28;26;4;26;4;8;6;6;26;26
nebraska;0;0;104;148;74;108;62;72;68;16;22;44;18;22;24;8;70;22;20;14;36;4;18;54;42;22;20;4;4;14;28;22;4;20;14;30;4;20;10;26;4;12;12;20;12;12;10;4;2;26;6;16;32;6;20;4;2;6;8;6;4;0;6;12;8;28;6;30;14;28;4;8;28;6;4;28;0;8;8;12;12;6;0;28;10;18;14;4;6;4;28;28;22;28;22;4;10;6;26;26
watch;0;0;0;178;140;176;22;156;142;10;4;8;18;64;26;72;94;2;4;74;36;62;4;58;2;2;8;62;64;2;0;8;62;10;0;0;58;6;4;0;12;4;2;2;2;14;6;4;2;0;4;6;34;8;0;20;0;8;4;6;2;32;24;0;4;0;2;28;14;0;8;2;0;0;22;0;2;2;2;2;4;6;0;0;2;2;2;2;0;4;0;0;2;0;2;0;2;6;0;0
ricketts;0;0;0;0;82;210;32;88;78;10;0;8;16;2;26;2;94;4;4;12;38;4;8;56;30;2;14;0;4;12;26;4;0;8;2;28;0;6;0;26;10;18;12;2;4;6;12;4;2;26;6;8;34;8;2;14;4;8;8;8;10;10;12;0;4;26;6;28;10;26;4;2;26;0;16;26;4;4;2;4;0;6;0;26;4;30;0;0;4;4;28;28;2;28;2;0;2;6;26;26
states;0;0;0;0;0;82;6;140;140;12;6;6;2;62;12;62;76;4;2;66;42;62;6;50;2;0;2;62;62;0;0;0;62;2;6;0;56;4;0;0;2;4;0;0;0;0;0;2;4;0;2;2;32;2;0;2;2;6;2;2;2;22;2;6;0;0;4;26;4;0;2;4;0;0;2;0;0;12;2;4;2;4;2;0;2;4;0;0;4;16;0;0;0;0;0;0;2;2;0;0
gov;0;0;0;0;0;0;24;88;78;6;0;6;12;0;22;2;94;2;2;12;36;0;4;56;2;2;6;0;4;2;0;2;0;8;0;0;0;4;0;0;10;12;2;2;0;4;12;4;0;0;4;6;34;8;2;14;2;8;6;8;2;10;12;0;4;0;2;28;10;0;4;0;0;0;16;0;4;2;2;2;0;6;0;0;2;24;0;0;4;4;0;0;2;0;2;0;2;6;0;0
state;0;0;0;0;0;0;0;2;4;12;20;22;38;2;14;4;6;18;2;4;6;6;10;2;8;0;12;0;2;14;0;0;0;2;8;0;0;14;2;0;8;14;8;6;14;2;4;4;4;0;4;6;0;2;0;0;10;4;6;0;10;2;4;12;8;0;2;0;0;0;4;16;0;8;0;0;4;2;2;8;8;0;4;0;0;8;0;0;10;0;0;0;0;0;0;4;4;0;0;0
update;0;0;0;0;0;0;0;0;138;2;2;2;2;62;0;64;78;2;0;70;30;62;2;52;0;0;0;62;62;0;0;0;62;0;0;0;56;2;0;0;2;2;0;0;0;4;0;2;2;0;2;0;30;0;0;2;0;0;0;0;0;24;2;0;0;0;0;26;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
response;0;0;0;0;0;0;0;0;0;0;8;0;0;62;0;62;74;2;0;64;26;62;0;50;0;0;0;62;62;0;0;0;62;0;0;0;56;2;0;0;10;2;0;0;0;4;4;0;0;0;0;0;30;0;0;0;2;0;0;2;0;22;6;0;4;0;0;26;4;0;0;0;0;0;2;0;2;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;22;18;12;4;12;0;0;6;22;0;4;2;20;0;10;12;4;0;0;4;0;8;0;12;8;0;0;12;6;0;10;4;2;8;12;0;0;10;4;0;2;6;6;12;12;12;2;14;10;0;8;2;2;4;4;0;8;0;6;0;0;0;0;8;2;0;4;2;2;6;4;0;2;0;10;0;0;8;4;2;0;0;0;0;0;0;12;10;0;0
