kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
president,57,president,29,president,22,china,20,china,23,republicans,14,president,150
iranian,27,speaking,18,people,17,president,15,speaking,17,president,14,speaking,94
trump,26,@realdonaldtrump,17,speaking,16,speaking,15,president,13,carolina,13,trump,79
house,25,trump,13,work,15,hall,13,hong,11,south,13,senate,66
impeachment,24,senate,12,american,13,work,12,flynn,10,american,12,@realdonaldtrump,58
iran,24,fox,11,help,13,tonight,12,south,9,trump,11,people,55
senate,22,news,11,good,11,trump,12,tonight,9,police,11,news,54
people,21,south,10,bill,10,town,11,work,8,democrats,11,american,52
@realdonaldtrump,19,tonight,8,containment,10,#covid19,10,senate,8,primary,11,south,49
speaking,18,great,8,working,10,live,9,support,8,senate,10,fox,48
american,15,unborn,7,coronavirus,10,state,9,trump,8,vote,10,china,46
news,13,carolina,7,news,10,news,9,kong,8,republican,10,carolina,45
latest,12,minutes,6,fox,9,questions,8,carolina,8,speaking,10,work,45
comes,12,democratic,6,congress,9,businesses,8,americans,7,support,9,support,44
take,11,latest,6,support,9,facebook,8,@realdonaldtrump,7,democratic,9,@seanhannity,42
witnesses,11,@seanhannity,6,senate,9,south,8,hope,7,house,9,house,42
@seanhannity,11,vote,6,@seanhannity,9,carolina,8,great,7,committee,8,great,41
war,11,case,5,minutes,9,people,8,general,7,economy,8,tonight,40
soleimani,11,bernie,5,great,9,virus,8,latest,6,states,7,latest,34
state,11,protection,5,americans,9,coronavirus,8,primary,6,national,7,americans,34
biden,10,#kag,5,trump,9,unemployment,8,vote,6,work,7,impeachment,33
fox,10,@aoc,5,carolina,8,governor,8,regarding,6,members,7,iran,33
bidens,10,believe,5,unemployment,8,fox,8,unmasking,6,administration,7,democrats,33
america,10,impeachment,5,secretary,8,iran,7,fox,6,reform,7,democratic,32
call,10,north,5,policies,8,americans,7,law,6,afghanistan,7,help,31
senator,10,floor,5,taliban,8,markets,7,accountable,5,senator,6,state,30
hunter,9,child,5,south,8,@seanhannity,7,@seanhannity,5,economic,6,comes,29
chief,9,pain,4,economy,8,wet,7,fully,5,party,6,minutes,29
democratic,9,people,4,isis,7,chinese,7,american,5,decision,6,decision,29
ukraine,9,united,4,economic,7,health,7,efforts,5,radical,6,iranian,28
commander,9,tune,4,general,7,decision,7,administration,5,forward,6,tune,28
minutes,9,legislation,4,afghanistan,7,help,6,news,5,news,6,general,28
military,8,nh,4,@realdonaldtrump,6,states,6,appreciate,5,@senjudiciary,6,hope,27
resolution,8,american,4,pay,6,good,6,national,5,doubt,6,states,27
support,8,party,4,world,6,latest,6,rule,5,russia,6,senator,26
americans,8,new,4,virus,6,close,6,register,5,ive,6,working,24
terrorism,8,system,4,workers,6,great,6,democrats,5,media,6,good,24
case,8,rally,4,appreciate,6,tune,6,chinese,5,asylum,6,world,24
freedom,8,military,4,income,6,business,6,light,4,received,6,administration,24
sponsor,8,states,4,pompeo,6,reopen,6,gtgtgt,4,programs,5,live,24
country,7,morning,4,suffering,6,support,6,sc,4,polls,5,vote,24
democrats,7,#fitn,4,hope,6,virtual,6,strong,4,shut,5,economy,23
hope,7,afghanistan,4,enough,5,new,5,god,4,intelligence,5,america,23
political,7,stone,4,colleagues,5,economy,5,mr,4,help,5,regarding,22
decision,7,@speakerpelosi,4,best,5,comes,5,town,4,policing,5,country,22
palestinian,7,support,4,healthcare,5,medical,5,job,4,investigation,5,national,22
trumps,7,act,3,trumps,5,largest,5,may,4,country,5,coronavirus,22
schiff,7,live,3,due,5,@realdonaldtrump,5,governor,4,votes,5,forward,22
demanding,7,biggest,3,comes,5,world,5,obama,4,judges,5,congress,22
tune,7,articles,3,democrats,5,trial,5,fbi,4,regarding,5,morning,21
stop,7,primary,3,senator,5,democrats,5,family,4,tune,5,republicans,21
managers,6,#prolife,3,together,5,days,5,communities,4,force,5,call,21
