;#gapol;georgia;testing;georgians;covid19;state;@aug_university;help;safe;w;data;healthcare;capacity;forward;new;fight;together;stay;icymi;working;surge;lives;future;communities;download;call;stronger;livelihoods;expresscare;emerge;safer;hospitals;app;ga;health;work;step;another;access;proud;free;partnered;king;symptomatic;kemp;frontline;stop;throughout;rt;efforts;au;expand;remain;706;best;spread;record;clock;expanding;john;ensure;victorious;partnership;gods;protect;service;great;grace;workers;7211852;visit;advice;next;resources;#godawgs;focused;lets;christ;local;public;continues;#nfldraft;georgias;confident;remember;still;@nfl;continue;theres;continued;offer;experts;needs;choppin;build;leaders;rest;families;war;frontlines
#gapol;0;26;16;16;16;16;12;12;12;10;8;12;4;10;6;8;8;10;10;6;4;10;8;8;6;6;8;8;6;6;8;4;6;4;6;6;6;4;2;4;4;4;4;4;6;4;4;6;6;4;4;2;6;4;4;6;2;6;4;6;6;4;2;4;6;6;4;4;4;4;4;4;6;4;4;6;4;4;4;2;4;2;4;4;4;4;2;4;2;2;2;2;4;4;4;4;4;4;4;4
georgia;0;0;14;2;8;4;10;6;2;4;10;10;10;6;4;0;0;2;8;4;6;6;2;4;2;2;2;4;2;2;0;4;2;0;2;2;4;4;2;4;2;4;0;2;4;4;2;6;2;4;2;4;2;2;2;0;4;2;2;0;2;0;0;2;2;4;2;2;4;2;2;6;4;4;0;4;0;0;2;0;2;2;0;0;0;0;0;0;2;4;2;2;4;0;0;4;0;0;0;0
testing;0;0;0;12;4;6;12;2;2;6;6;4;8;6;4;2;0;0;6;0;2;4;0;2;6;6;0;4;6;0;0;4;6;2;4;4;4;6;8;2;6;4;0;4;2;0;0;0;2;2;4;6;4;4;0;2;4;0;4;0;0;0;6;0;2;0;0;0;0;4;4;4;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;2;0;4;2;0;0;0;2;0;0;0;2
georgians;0;0;0;0;8;6;8;4;4;6;2;2;0;4;0;8;4;0;0;2;0;4;2;2;8;8;2;4;8;2;2;2;8;2;6;4;2;4;4;0;6;4;2;6;0;0;2;0;4;0;6;4;4;6;0;4;0;2;4;2;2;2;4;2;4;0;4;2;0;6;6;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;2;2;0;4;2;0;0;0;0;0;0;0;2
covid19;0;0;0;0;0;2;6;6;10;4;4;2;2;2;2;6;2;4;0;6;2;2;0;2;2;2;2;0;2;4;0;4;2;0;2;0;2;2;0;2;2;2;2;0;0;4;4;0;2;2;2;0;0;2;0;0;0;2;2;2;2;2;0;2;0;4;4;2;4;2;2;0;2;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;2;2
state;0;0;0;0;0;0;4;4;0;4;2;4;0;4;0;2;4;0;0;0;2;6;4;2;2;2;4;6;2;2;4;2;2;2;4;4;2;2;2;0;2;2;0;0;0;2;2;0;0;0;2;2;6;2;0;2;0;0;0;0;2;2;2;4;4;2;2;4;2;2;2;2;0;2;0;4;4;0;2;2;0;0;2;2;0;2;0;4;2;2;2;0;0;0;2;4;0;2;2;0
@aug_university;0;0;0;0;0;0;0;2;4;4;4;8;2;4;0;2;0;2;2;0;2;4;0;0;6;6;0;2;6;0;0;4;6;0;6;0;4;4;0;0;4;4;0;4;0;2;2;0;2;0;6;2;2;6;0;2;0;2;2;0;2;0;0;0;0;0;2;0;2;6;6;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0
help;0;0;0;0;0;0;0;0;4;4;0;6;0;2;0;2;4;2;0;2;2;2;4;2;0;0;6;0;0;8;4;2;0;2;2;0;0;2;2;0;0;2;0;0;0;4;4;2;2;0;0;0;0;0;0;0;0;0;2;0;2;6;2;4;0;2;4;4;4;0;0;0;0;4;0;0;2;0;2;2;0;0;2;4;0;0;0;2;0;0;0;0;2;0;4;0;2;2;2;0
safe;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;4;8;2;4;0;2;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;4;0;0;2;0;0;0;0;0;0;0;2;2;2;4;2;0;2;0;2;4;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2
w;0;0;0;0;0;0;0;0;0;0;4;4;2;8;0;2;0;0;0;2;4;2;2;4;2;2;2;2;2;2;2;2;2;6;2;0;4;4;2;0;2;4;0;0;0;0;0;2;0;0;2;2;2;2;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;2;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;2;4;2;0;2;0;2;0;0;0
