;great;thank;news;democrats;people;president;fake;impeachment;trump;house;@foxnews;mini;hoax;mike;new;american;democrat;big;bernie;states;strong;party;country;coronavirus;working;job;military;america;state;united;republican;win;good;history;congress;federal;usa;dems;#kag2020;endorsement;best;senate;vote;do_nothing;nothing;complete;crazy;china;iran;media;joe;hard;work;corrupt;russia;#maga;white;vets;bad;world;left;border;money;together;record;crime;republicans;new_york;national;economy;election;iowa;jobs;numbers;schiff;love;deal;government;bloomberg;help;radical;another;wonderful;americans;nancy;@foxandfriends;tonight;virus;texas;senator;campaign;john;totally;trade;loves;order;witch;high;trial;incredible
great;0;74;32;28;58;32;14;32;14;22;16;6;30;8;40;26;18;38;8;22;48;12;50;32;28;64;56;48;72;16;24;26;14;24;26;16;24;12;10;52;18;14;24;14;6;46;8;20;6;8;8;16;16;4;4;32;10;46;8;8;12;32;4;14;14;28;14;12;18;16;4;16;14;16;4;16;10;10;2;12;6;8;16;4;10;8;14;8;32;24;6;6;8;16;32;8;2;2;0;26
thank;0;0;12;6;16;16;10;6;12;12;4;4;8;10;8;16;6;8;0;8;12;22;20;16;12;14;4;12;12;6;22;8;0;6;0;10;4;6;58;8;8;4;8;0;0;6;0;6;0;0;2;6;12;4;0;16;10;2;0;2;0;2;0;10;16;2;2;6;6;4;0;8;0;12;0;12;2;6;2;12;2;4;8;0;4;6;8;2;6;4;0;6;4;0;2;2;0;4;0;4
news;0;0;0;6;12;8;110;2;14;24;12;8;2;8;14;4;16;20;0;8;6;8;6;18;10;8;2;6;4;0;2;4;14;4;6;4;4;6;2;2;2;0;0;6;6;0;4;4;0;36;2;10;2;18;4;2;24;0;6;2;6;4;0;4;2;0;2;8;0;10;2;2;4;12;6;0;2;4;4;2;4;0;4;0;2;0;4;10;0;2;2;0;4;4;0;4;2;4;0;4
democrats;0;0;0;0;24;18;8;44;14;26;16;2;40;2;10;12;10;10;20;2;0;18;10;12;6;12;8;6;12;0;18;18;2;10;12;2;4;22;8;0;6;22;8;54;8;2;18;4;4;2;8;8;8;4;16;0;0;2;12;2;34;4;4;4;2;8;26;4;0;8;8;10;4;0;10;2;2;2;2;4;32;8;2;4;10;4;2;6;0;10;4;2;10;4;0;0;8;6;8;2
people;0;0;0;0;0;20;12;20;6;8;4;10;22;12;8;22;4;6;6;8;12;4;18;10;12;10;10;6;12;10;10;4;10;6;4;6;12;4;2;16;8;10;8;8;4;14;6;6;14;8;12;8;18;4;2;10;2;10;4;10;6;10;8;8;6;4;10;4;2;4;8;0;2;10;2;8;0;12;6;0;4;2;2;6;2;6;2;4;4;16;4;2;10;2;8;0;4;2;8;14
president;0;0;0;0;0;0;10;24;40;14;24;6;12;6;8;8;8;2;6;10;6;6;16;18;14;10;2;2;6;8;6;2;4;10;14;0;4;4;0;0;6;8;4;6;10;0;6;20;0;8;10;6;8;8;2;2;4;0;0;4;4;2;2;6;6;4;2;2;6;2;2;6;2;6;10;0;4;0;4;6;2;8;0;4;2;6;0;6;0;6;2;0;12;2;2;0;2;0;10;0
fake;0;0;0;0;0;0;0;8;8;4;8;10;10;10;12;2;16;12;2;4;6;10;8;10;8;8;8;0;4;0;2;6;8;2;2;4;4;6;0;4;2;0;0;6;6;0;4;4;0;34;2;8;2;20;6;4;4;6;8;0;6;2;0;4;6;0;0;8;0;10;2;2;6;6;8;0;2;4;6;2;4;4;4;0;2;0;2;6;0;0;2;0;6;4;0;6;8;2;0;4
impeachment;0;0;0;0;0;0;0;0;12;16;20;0;100;0;4;8;8;2;2;2;6;10;6;2;2;2;10;2;4;0;18;2;6;4;6;0;2;22;0;2;0;26;16;22;12;2;10;2;0;2;6;2;10;12;2;0;0;8;6;0;16;0;2;0;2;10;14;4;0;10;12;6;6;4;6;0;0;0;0;2;14;8;0;0;14;10;4;0;0;20;4;0;14;0;2;4;10;2;18;0
trump;0;0;0;0;0;0;0;0;0;6;22;10;2;10;6;2;4;8;4;2;2;2;4;6;8;4;2;4;6;4;2;0;2;2;0;0;2;2;0;0;6;4;2;4;6;0;6;2;2;10;6;2;0;4;2;0;6;0;4;2;4;4;0;4;4;2;0;8;4;6;4;2;2;12;4;2;4;4;6;4;2;2;0;0;4;6;2;2;0;2;6;0;2;2;0;0;2;6;4;2
house;0;0;0;0;0;0;0;0;0;0;8;0;18;0;8;4;10;6;2;4;2;4;2;18;6;16;0;2;0;0;12;12;6;10;10;0;2;16;0;0;2;26;8;8;12;0;6;0;2;4;2;2;4;12;2;0;56;0;4;0;8;0;2;6;0;0;14;4;8;0;4;2;0;4;6;0;0;0;0;0;4;8;0;2;12;0;0;4;0;0;0;4;4;0;0;2;0;0;2;0
@foxnews;0;0;0;0;0;0;0;0;0;0;0;2;8;2;2;2;2;12;4;6;0;2;8;2;2;4;0;2;2;4;2;4;2;2;0;2;2;6;0;0;4;6;0;8;2;2;4;2;2;6;2;4;2;2;2;0;2;0;4;0;10;0;0;0;2;4;2;0;2;0;6;2;0;2;2;0;2;2;2;4;8;4;0;0;4;4;14;2;0;2;0;0;0;2;0;0;4;0;0;0
