;trump;united;great;new;states;president;people;house;american;news;national;government;york;administration;federal;white;state;love;media;man;obama;world;working;campaign;republican;party;big;department;country;good;may;former;article;thank;democrats;job;justice;russia;donald;presidential;court;washington;times;city;election;called;hard;fake;america;bill;amazing;proud;investigation;2016;democrat;left;team;help;looking;police;work;clinton;history;full;year;take;best;killed;story;told;congress;fbi;announce;radical;week;law;following;use;review;americans;fact;information;important;says;senate;could;win;report;powerful;china;free;yesterday;real;committee;reserve;money;security;million;end;intelligence
trump;0;20;24;24;20;66;14;14;14;20;10;12;14;22;18;12;2;2;20;10;12;6;10;30;12;6;2;8;0;0;8;16;4;6;12;10;8;14;36;18;2;12;14;2;8;4;10;10;10;10;2;0;10;8;4;4;6;4;2;2;4;8;0;0;0;4;4;2;0;0;2;12;0;6;4;4;0;0;0;0;2;2;0;6;8;4;6;8;4;2;2;10;2;6;8;2;2;0;4;8
united;0;0;10;12;148;36;22;12;16;4;6;16;10;12;6;10;4;8;4;4;6;18;12;0;0;4;2;2;6;4;0;6;6;4;0;2;8;4;2;4;4;6;6;2;0;6;10;2;16;0;2;10;2;0;6;0;0;6;0;2;6;0;6;2;4;8;0;6;2;4;4;6;4;0;4;2;6;6;0;2;2;4;10;2;2;6;0;2;8;6;4;2;4;0;2;6;4;4;4;2
great;0;0;0;10;14;14;32;10;16;4;12;2;2;4;8;8;14;12;0;10;8;6;16;8;6;0;10;2;10;10;2;0;6;24;6;22;2;2;4;4;4;10;6;4;4;4;8;0;12;10;14;6;0;2;0;2;8;8;4;0;4;2;8;2;4;0;8;2;8;4;2;2;4;0;0;0;2;6;0;4;8;2;4;0;2;0;4;0;4;2;2;2;0;0;2;4;2;2;0;0
new;0;0;0;0;10;12;16;8;12;6;8;6;62;14;4;6;16;6;8;10;8;6;10;10;4;2;8;8;8;8;10;6;2;6;2;2;6;6;4;6;6;6;30;12;6;6;8;4;2;4;2;4;2;2;2;2;2;2;6;4;4;8;2;6;2;8;2;0;2;2;4;6;2;4;4;2;4;8;0;4;2;4;0;2;2;4;6;6;4;0;2;4;2;0;2;2;2;2;2;2
states;0;0;0;0;0;28;18;14;12;4;8;14;8;12;6;10;6;8;4;2;6;16;12;0;0;2;2;2;6;4;2;4;6;4;0;2;6;4;2;4;6;8;4;2;0;6;8;2;16;0;2;8;0;0;2;0;0;8;0;4;6;0;4;2;4;8;0;6;2;0;4;4;4;0;0;2;6;4;0;0;2;2;6;2;2;6;0;2;8;4;2;2;4;0;2;6;2;4;4;2
president;0;0;0;0;0;0;18;18;10;14;12;8;10;4;6;16;2;4;24;8;6;6;10;12;4;2;6;2;4;4;6;14;2;4;6;4;2;12;10;12;2;6;8;4;6;4;12;10;8;2;6;2;6;8;2;0;4;4;0;2;4;0;8;2;6;8;0;2;2;2;4;10;0;2;2;4;4;4;0;2;6;4;8;8;4;8;2;6;2;2;4;6;0;4;2;0;4;0;2;8
people;0;0;0;0;0;0;0;4;22;2;8;8;6;4;4;4;12;16;14;6;4;10;8;4;10;4;4;4;12;4;6;0;0;8;4;2;2;2;4;2;2;6;4;4;4;4;4;0;8;0;4;8;2;0;2;6;2;6;4;2;2;8;6;2;0;2;4;4;2;6;4;4;2;4;0;2;0;4;2;2;4;0;6;2;2;2;4;0;8;4;4;0;0;0;0;4;0;0;2;0
house;0;0;0;0;0;0;0;0;10;10;10;4;2;4;2;60;4;0;8;0;8;4;10;2;8;2;2;4;4;2;4;4;0;4;6;2;4;8;0;2;2;0;0;2;4;6;6;4;2;6;0;0;4;4;4;4;4;0;6;2;0;0;0;2;2;6;4;2;0;2;0;4;4;2;0;2;6;2;0;0;2;2;2;4;6;0;0;4;0;4;2;4;4;10;0;0;4;0;0;10
american;0;0;0;0;0;0;0;0;0;2;2;4;6;2;2;8;2;6;4;4;2;4;6;4;6;2;4;2;8;2;0;0;0;2;2;2;4;2;6;2;2;0;6;2;6;0;2;0;4;2;2;6;0;0;0;0;0;4;2;0;0;4;4;2;4;0;0;0;2;2;8;4;4;0;2;0;4;0;0;4;4;0;2;0;4;0;2;0;2;4;0;2;6;0;0;0;2;0;4;0
news;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;8;2;0;18;2;8;2;6;6;0;2;2;2;0;6;4;4;0;4;8;0;2;6;4;2;2;0;6;0;0;2;4;26;0;0;0;0;4;0;4;2;0;0;2;0;4;2;0;2;4;2;2;0;4;0;0;0;2;2;0;0;2;2;0;0;0;0;0;2;2;4;0;10;0;0;4;0;0;0;2;2;0;0;2;0
national;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;8;6;2;2;2;6;4;0;4;8;6;2;4;4;0;10;6;0;0;4;2;2;2;0;0;6;4;2;0;2;6;2;0;2;0;0;2;2;2;8;0;6;0;0;2;4;2;0;2;2;2;2;0;2;0;0;2;0;0;4;4;0;0;0;6;0;0;0;0;0;2;2;2;0;0;2;2;0;8;0;2;12;2;2;2
government;0;0;0;0;0;0;0;0;0;0;0;0;4;6;20;4;4;0;4;2;2;2;6;4;2;0;0;4;0;0;2;4;0;0;0;2;8;6;0;6;8;0;0;0;2;6;4;2;0;0;2;0;4;4;0;2;0;4;4;0;6;0;6;4;0;2;0;0;0;2;4;2;0;0;2;2;0;6;0;2;2;4;4;2;2;0;2;2;2;0;0;0;2;2;2;2;0;4;2;2
york;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;8;2;4;6;0;2;6;4;0;2;2;6;6;4;2;6;2;0;2;0;6;6;2;4;4;4;30;8;2;2;2;4;0;2;2;2;2;2;4;2;0;2;0;4;0;4;2;0;0;4;0;0;0;2;2;2;0;2;0;0;0;4;0;0;2;2;0;0;0;0;0;4;0;0;2;4;2;0;2;0;0;2;0;2
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;6;0;32;10;2;2;0;2;2;2;0;0;4;2;4;0;2;2;6;4;2;2;2;2;2;2;0;2;6;2;0;4;0;2;0;0;4;2;2;0;2;2;2;0;2;2;0;0;0;0;2;2;6;4;2;2;2;0;4;0;0;4;2;0;0;0;0;4;0;0;2;0;0;4;0;0;0;0;6;2;4;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;0;0;2;0;2;2;2;2;0;4;2;2;0;2;4;6;2;2;2;0;2;0;0;0;2;2;0;4;0;4;2;2;2;2;0;6;2;2;4;0;4;2;0;0;2;8;2;0;2;4;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;2;0;28;0;0;2;2;0
