;people;health;care;war;trump;america;country;workers;american;working;end;pay;congress;americans;corporate;stand;paid;medicare;protect;sick;social;president;wall;coronavirus;jobs;richest;job;tax;act;million;security;stop;billion;street;climate;states;millions;year;government;change;wage;corporations;world;medical;1;system;crisis;families;cannot;power;united;fight;big;debt;senate;together;leave;iran;bill;greed;lives;trumps;afford;work;15;billionaires;put;guarantee;justice;trade;taxes;minimum;planet;public;fossil;human;companies;52;class;economic;student;money;live;half;free;voted;fighting;new;living;industry;pass;energy;children;take;puerto;drug;water;military;education;fuel
people;0;36;34;16;24;24;16;16;50;40;14;16;16;12;12;20;4;20;24;8;8;6;12;8;10;6;8;12;12;12;4;8;8;12;4;6;6;4;8;14;8;6;10;8;8;12;16;16;6;4;8;20;2;12;0;16;2;6;4;8;10;4;8;6;14;8;14;4;14;0;0;6;4;4;6;8;8;0;8;8;8;6;12;12;0;0;8;2;8;10;6;0;2;6;8;2;0;2;12;4
health;0;0;80;4;6;10;12;18;30;12;4;6;10;12;4;6;6;36;12;14;0;4;4;14;8;4;8;2;8;10;0;2;4;4;2;10;6;12;6;2;2;2;4;14;4;20;12;10;12;2;8;4;0;0;0;8;6;2;6;4;8;4;8;8;4;2;2;8;4;0;0;0;4;6;0;10;6;0;4;8;0;4;4;2;6;2;6;6;4;8;6;2;6;6;0;6;6;0;8;2
care;0;0;0;4;10;10;10;12;22;10;2;4;6;8;2;4;4;30;8;10;0;0;2;8;6;4;6;4;4;6;0;0;2;2;0;8;2;8;2;0;2;2;4;8;4;18;10;8;8;0;8;4;0;0;0;6;4;2;6;4;6;0;4;2;4;2;0;4;4;0;0;0;2;2;0;14;2;0;4;4;0;4;4;2;2;2;4;2;4;6;6;0;4;6;0;6;0;2;6;0
war;0;0;0;0;24;0;10;4;14;6;16;4;24;6;2;12;0;0;0;2;0;16;0;6;4;4;2;4;12;2;0;18;2;0;2;6;4;0;0;4;4;0;6;2;2;0;4;0;6;10;6;8;0;0;12;8;0;30;6;0;4;2;0;0;0;8;4;0;0;2;2;2;0;0;0;0;0;0;8;2;0;0;0;4;0;12;4;2;2;0;8;0;6;4;0;0;0;10;2;0
trump;0;0;0;0;0;6;14;4;8;8;8;4;26;10;4;10;4;6;8;4;8;24;2;8;2;2;4;8;10;0;10;10;10;2;0;4;2;0;4;0;0;2;2;6;8;4;6;2;6;12;2;6;2;0;14;0;0;14;10;2;4;4;0;0;0;6;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;8;6;2;0;0;6;0;6;4;8;4;2;8;2;2
america;0;0;0;0;0;0;10;20;4;10;18;16;4;4;18;6;22;6;4;14;0;2;6;4;8;12;4;14;4;20;0;4;8;6;4;12;6;8;6;6;12;10;8;10;10;6;4;4;6;2;14;6;4;2;2;2;12;0;6;4;6;2;2;6;14;2;8;14;8;2;8;14;0;4;2;4;6;2;6;6;2;4;2;8;2;0;4;2;6;2;0;2;6;2;0;2;0;0;6;0
country;0;0;0;0;0;0;0;12;20;12;2;8;4;8;4;4;8;6;12;8;4;10;4;2;6;24;2;0;2;4;0;6;2;4;2;6;6;0;4;2;0;4;10;8;2;4;4;10;8;4;10;4;0;6;10;2;4;2;0;4;4;4;6;2;2;2;0;6;4;0;4;0;2;0;2;0;4;0;2;2;0;6;8;0;8;8;2;2;2;2;0;0;2;6;0;2;4;4;2;2
workers;0;0;0;0;0;0;0;0;12;16;4;14;2;4;22;6;20;6;14;24;2;4;2;6;14;10;6;12;6;10;4;4;2;2;0;6;6;4;2;4;10;8;4;14;2;4;2;2;4;0;2;6;2;0;2;0;18;0;4;0;4;0;2;8;10;4;8;12;4;4;4;10;0;2;4;0;8;2;6;4;2;0;0;4;2;0;4;2;4;2;2;0;2;0;0;0;0;0;2;4
american;0;0;0;0;0;0;0;0;0;16;8;0;14;6;4;6;4;12;16;12;4;8;8;2;8;4;10;6;8;4;4;4;0;8;4;2;8;8;0;4;2;6;4;8;6;8;4;16;4;2;4;6;4;4;2;2;2;4;6;4;12;6;0;4;0;4;2;2;0;8;0;0;0;0;2;4;2;0;8;2;4;4;4;2;6;2;2;4;4;4;4;2;6;2;0;4;0;0;6;2
working;0;0;0;0;0;0;0;0;0;0;4;14;4;12;6;6;6;4;16;6;6;4;10;2;2;10;4;12;4;8;4;6;6;10;0;0;8;0;6;2;12;8;0;2;6;2;4;22;0;0;2;6;2;4;4;4;2;0;2;8;0;2;4;2;8;8;4;4;4;2;8;8;2;0;2;2;4;0;18;4;4;0;6;8;0;2;0;0;8;4;0;2;0;2;0;0;0;2;4;2
end;0;0;0;0;0;0;0;0;0;0;0;10;6;6;8;10;4;2;2;2;0;4;6;8;8;4;4;6;2;8;0;2;4;6;6;4;6;6;4;6;4;0;6;0;12;4;2;0;2;4;4;2;2;0;2;4;0;0;4;10;4;6;2;2;4;0;8;0;0;4;2;2;2;0;4;0;2;0;6;2;0;2;0;2;2;0;2;0;4;2;0;2;6;4;2;4;4;4;0;2
pay;0;0;0;0;0;0;0;0;0;0;0;0;2;8;6;6;6;4;2;6;4;4;4;2;6;18;4;10;4;4;4;6;4;4;0;4;4;10;0;2;6;2;8;4;12;6;2;0;0;4;4;8;0;4;2;0;4;0;2;2;2;2;2;4;10;8;0;6;0;2;12;6;0;4;2;8;6;0;10;6;0;0;2;2;4;0;0;4;8;2;2;0;2;2;0;2;4;0;4;2
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;10;2;2;8;2;2;20;2;4;2;0;10;2;10;0;2;8;10;2;2;0;2;2;2;2;4;6;2;0;2;2;2;0;4;12;0;2;4;0;12;6;2;14;4;0;4;4;0;0;2;0;0;2;2;2;0;2;0;2;0;0;4;0;0;2;0;2;0;2;2;10;2;2;0;0;8;0;0;2;2;2;2;8;2;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;6;4;0;2;2;4;6;2;6;4;6;2;6;2;4;0;4;0;0;10;10;2;0;0;6;4;2;6;2;4;4;6;4;2;4;8;0;4;4;0;0;6;2;6;4;4;2;0;10;2;0;2;0;4;0;0;2;2;4;4;0;4;2;0;4;0;2;0;2;2;2;4;4;2;2;0;0;0;6;4;0;0;2
corporate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;4;4;0;0;2;8;4;6;0;8;6;8;0;4;8;2;0;0;8;2;6;4;2;6;0;2;6;2;2;2;4;4;2;2;2;0;4;2;4;0;6;4;2;0;2;0;2;2;12;2;0;8;4;4;0;2;2;2;6;0;4;2;0;4;0;4;2;0;0;2;0;2;4;4;8;4;0;2;4;0;0;2
