;minnesotans;minnesota;work;police;accountability;reform;thank;plan;people;covid19;george;together;state;change;tune;local;senate;communities;community;history;important;systemic;toward;justice;live;families;bring;safe;#staysafemn;announced;help;moment;working;meaningful;death;paul;public;steps;action;safety;rights;past;build;stronger;part;equitable;economy;spread;test;update;rebuild;happy;leaders;effort;measures;jobs;providing;@ltgovflanagan;honor;floyd;racism;floyds;#mnleg;wear;pass;stay;remember;@dflpocicaucus;grateful;real;testing;home;support;tell;take;care;curfew;practices;food;@agellison;great;ahead;voice;business;house;system;looking;indigenous;states;reminder;place;year;across;equality;100;st;critical;pandemic;protect;social
minnesotans;0;4;4;10;8;8;12;4;4;6;2;6;4;6;0;2;6;4;4;0;6;2;2;0;0;6;4;6;2;4;4;2;4;6;0;0;2;2;6;2;0;0;2;2;4;2;2;6;2;0;2;0;2;0;2;0;0;2;4;2;0;0;2;2;0;2;2;2;4;2;2;2;2;4;2;2;0;0;2;0;0;0;4;0;0;2;4;4;0;0;2;0;4;0;0;0;0;4;0;2
minnesota;0;0;8;12;8;12;2;4;4;2;2;4;2;4;2;0;6;2;4;2;2;6;2;4;4;2;2;4;0;0;2;6;2;4;2;2;0;2;4;0;4;4;4;4;0;4;4;2;0;0;0;2;4;2;0;0;0;2;0;2;4;0;0;0;6;0;2;4;2;4;2;0;0;2;0;2;2;2;0;0;2;0;2;2;6;4;0;2;0;2;2;2;0;0;2;0;0;2;0;0
work;0;0;0;2;2;2;4;8;4;4;4;10;6;2;0;4;0;6;4;0;4;2;2;2;2;4;0;2;0;2;0;0;2;2;2;0;2;2;0;0;4;2;2;2;2;2;2;4;0;0;4;2;0;2;0;4;0;0;2;4;2;2;2;2;4;0;4;0;0;2;2;2;2;0;2;2;0;0;0;2;4;6;0;0;0;0;0;0;0;2;0;2;2;4;0;0;2;2;2;2
police;0;0;0;0;22;24;0;6;2;0;0;4;0;8;6;0;10;0;2;2;0;2;0;2;4;0;6;0;0;0;0;6;4;8;0;2;2;0;8;2;0;0;4;4;0;4;4;0;0;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;6;0;0;8;0;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;6;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
accountability;0;0;0;0;0;18;0;4;2;0;0;4;0;8;6;0;10;0;0;2;4;6;4;2;4;0;4;0;0;2;0;6;4;8;0;2;4;2;4;4;2;0;4;4;0;4;4;0;0;0;0;0;2;0;6;0;0;4;0;0;2;0;0;0;6;0;0;6;0;2;0;0;0;4;2;0;0;2;0;2;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
reform;0;0;0;0;0;0;0;4;0;0;0;2;0;6;4;0;8;0;2;2;0;2;0;2;2;0;4;0;0;0;0;6;4;8;0;2;2;0;8;2;0;0;2;2;0;2;2;0;0;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;6;0;0;8;0;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;4;0;2;2;4;4;2;0;0;0;4;2;2;6;2;2;2;0;2;0;6;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;4;0;0;2;0;4;2;0;0;0;2;0;0;0
plan;0;0;0;0;0;0;0;0;2;4;0;4;4;4;4;8;0;6;0;0;2;2;0;0;2;0;2;0;0;2;0;0;2;2;0;0;2;0;2;0;0;0;10;10;2;10;10;0;0;0;2;0;0;2;0;6;0;0;0;0;0;0;4;0;4;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0
people;0;0;0;0;0;0;0;0;0;2;0;2;4;6;0;2;2;2;2;2;0;0;2;4;2;0;2;2;4;2;4;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;6;4;2;2;2;0;0;2;2;2;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;2;2;2
covid19;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;2;0;2;2;0;4;2;2;2;0;0;0;0;0;2;2;0;0;0;2;2;2;2;2;2;6;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0
