;#covid19;watch;nebraska;states;update;response;ricketts;gov;home;stay;everyone;provide;social;live;online;help;encourage;link;stream;health;work;200pm;provides;follow;virus;nebraskans;la;healthy;shop;spread;@nedhhs;distancing;21;take;days;department;de;daily;#stayhome;week;new;thank;rules;services;pandemic;del;el;family;coronavirus;six;war;en;please;visit;asking;limit;state;next;thursday;briefing;que;gt;possible;propagación;las;human;together;socially;#testnebraskachallenge;may;los;alone;care;gatherings;win;sixfoot;restaurants;kids;statewide;join;slow;rule;nebraskas;activity;rt;use;healthyremember;facilities6;una;workplace3;appropriately;para;longterm;nonessential;respect;assessment;sports;errands;talk;exercise
#covid19;0;102;48;84;84;80;54;46;6;10;46;50;14;44;42;8;40;40;40;26;4;36;34;0;14;12;10;4;6;8;26;8;4;4;4;22;10;12;2;8;8;8;4;20;14;10;10;2;2;0;4;10;10;2;4;4;8;8;10;12;10;8;2;8;10;14;2;0;2;4;10;2;0;0;2;0;4;0;6;6;0;0;6;0;4;0;0;0;10;0;0;2;0;0;0;2;0;0;6;0
watch;0;0;34;74;80;78;60;60;4;2;42;46;6;40;40;6;40;40;40;18;2;36;34;0;2;12;0;2;2;4;28;4;2;2;2;22;0;8;0;2;8;2;2;16;4;0;0;0;2;0;0;0;4;4;2;2;4;6;10;10;0;4;0;0;0;14;0;2;4;0;0;0;0;0;0;0;2;0;2;6;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0
nebraska;0;0;0;28;26;26;40;32;16;22;16;6;16;2;2;2;2;2;2;16;12;2;24;18;22;4;10;16;4;14;0;2;22;2;20;22;8;2;18;6;4;4;18;16;0;8;10;2;2;18;10;10;4;0;12;14;4;10;4;2;10;0;2;10;10;14;8;0;0;0;10;0;2;10;8;0;4;0;0;0;8;0;0;0;2;0;10;0;8;0;0;2;0;10;10;2;0;10;0;0
states;0;0;0;0;74;74;34;34;0;0;40;44;2;40;40;4;40;40;40;22;0;34;32;0;0;2;0;0;0;0;22;2;0;2;0;22;0;0;0;0;4;0;2;18;4;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;14;0;0;0;6;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
update;0;0;0;0;0;74;38;38;0;0;40;44;0;40;40;0;40;40;40;16;0;34;34;0;0;2;0;0;0;0;24;0;0;0;0;22;0;2;0;0;0;2;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;4;0;0;0;14;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
response;0;0;0;0;0;0;34;34;0;0;40;42;0;40;40;0;40;40;40;14;0;34;32;0;0;0;0;0;0;0;22;0;0;0;0;22;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
ricketts;0;0;0;0;0;0;0;68;2;2;0;6;4;0;2;2;0;0;0;18;0;0;34;0;10;8;8;2;0;0;10;4;2;2;2;22;8;4;0;0;6;0;2;16;4;8;8;0;6;0;0;8;0;4;0;0;2;4;2;4;8;2;0;8;8;14;0;2;4;0;8;0;0;0;0;0;2;0;2;6;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;2;0;0;6;0
gov;0;0;0;0;0;0;0;0;2;2;0;6;4;0;2;2;0;0;0;18;0;0;34;0;0;8;0;2;0;0;10;4;2;2;2;22;0;4;0;0;6;0;2;16;4;0;0;0;4;0;0;0;0;4;0;0;2;4;2;4;0;2;0;0;0;14;0;2;4;0;0;0;0;0;0;0;2;0;2;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0
home;0;0;0;0;0;0;0;0;0;26;8;0;28;0;0;18;0;0;0;0;16;0;0;22;4;6;0;10;16;6;0;12;12;10;12;0;0;10;12;16;0;2;10;0;0;0;0;10;2;10;0;0;0;10;6;16;0;6;0;0;0;0;14;0;0;0;0;10;0;0;0;10;10;10;0;12;0;10;0;0;2;12;0;10;0;10;10;10;0;10;10;0;10;10;10;0;10;10;0;10
stay;0;0;0;0;0;0;0;0;0;0;12;0;18;0;0;10;0;0;0;2;12;0;0;20;10;4;0;20;4;14;0;4;22;0;22;0;0;12;22;4;2;0;18;0;2;0;0;2;2;18;8;0;4;10;12;14;0;10;0;2;0;2;4;0;0;0;8;0;0;0;0;0;10;10;8;0;0;2;0;0;10;0;0;10;2;0;10;10;0;0;10;0;10;10;10;0;2;10;0;10
