;#vtbudget;state;#vtsots;work;vermont;vermonters;covid19;help;people;budget;12;support;22;health;year;new;#vtpoli;economic;thank;response;tax;together;million;live;great;vt;continue;increase;provide;public;businesses;critical;american;program;workers;includes;working;services;part;vermonts;care;propose;team;kids;communities;find;#vtcapitol4aday;workforce;jobs;crisis;across;economy;future;visit;business;hard;county;additional;employers;order;23;school;lives;families;33;create;schools;affordable;community;@vtlabor;challenge;investment;13;face;center;opportunities;steps;nation;home;lets;address;important;essex;growth;states;service;operations;good;african;spread;assistance;guidance;details;pandemic;challenges;funding;online;ive;learn;join
#vtbudget;0;24;0;22;16;8;0;16;8;30;18;16;18;8;20;10;0;14;0;2;8;4;20;8;4;6;14;18;6;4;6;0;0;16;2;22;6;12;4;2;0;10;2;8;4;4;0;6;10;4;4;6;4;2;8;2;0;6;8;2;4;2;2;4;4;12;4;6;4;12;4;14;4;4;2;8;0;6;2;6;4;6;0;8;4;2;0;4;0;0;6;0;0;0;2;8;2;8;2;2
state;0;0;28;8;16;10;8;8;20;10;10;2;10;4;6;4;0;8;2;2;0;0;4;6;4;8;0;6;2;0;0;4;4;2;6;6;4;6;4;2;0;0;2;0;6;2;0;0;2;6;10;4;8;4;6;4;2;6;2;4;2;0;4;6;4;0;4;4;2;4;6;4;0;4;2;0;0;6;2;4;2;0;0;2;0;4;6;6;4;4;0;2;2;0;2;0;2;2;2;0
#vtsots;0;0;0;14;8;10;0;8;26;8;10;2;8;2;4;0;0;8;2;0;4;4;2;6;2;0;4;0;0;0;2;6;2;2;2;2;2;2;6;0;4;8;2;6;10;4;0;2;4;4;6;2;8;0;2;2;4;4;0;2;6;2;2;8;6;4;4;8;2;0;2;0;8;4;4;2;2;4;4;2;4;0;0;6;0;4;0;4;0;0;0;0;2;0;2;0;0;0;0;0
work;0;0;0;0;8;12;12;10;8;4;8;10;8;4;6;2;8;2;8;6;2;4;2;10;8;6;6;0;4;6;6;8;6;4;6;2;6;0;4;4;2;2;4;4;0;2;2;0;2;4;2;6;0;4;6;14;4;0;2;0;0;4;2;0;2;2;0;0;0;4;2;4;2;4;2;2;2;4;0;2;2;0;2;2;2;0;2;0;2;0;4;2;2;2;2;4;0;4;0;2
vermont;0;0;0;0;0;4;10;10;14;2;8;6;2;6;8;10;4;10;4;4;4;0;6;0;4;4;4;0;8;2;8;2;8;2;4;2;0;2;0;2;0;0;2;2;4;6;2;4;0;0;4;6;8;2;10;0;0;2;0;2;2;0;0;4;0;2;0;4;0;4;2;2;2;0;2;4;2;0;0;0;0;2;0;4;0;0;0;2;6;2;2;0;2;0;0;2;0;0;2;0
vermonters;0;0;0;0;0;0;14;14;6;4;0;4;8;6;0;6;18;2;14;6;2;10;2;2;2;2;2;4;2;6;2;4;8;4;6;2;8;2;6;2;2;0;4;2;0;4;0;0;4;4;2;0;0;6;0;4;0;0;4;2;4;2;4;0;0;2;2;2;2;0;4;0;0;6;0;2;4;2;2;0;0;4;0;0;2;6;2;4;2;2;2;6;0;2;6;2;0;2;4;2
covid19;0;0;0;0;0;0;0;12;8;0;4;8;0;12;2;4;18;4;10;26;0;6;2;4;0;4;2;0;8;6;6;4;2;0;6;0;4;2;6;8;2;0;6;0;0;4;0;0;0;2;6;0;0;4;0;8;0;2;0;4;4;6;6;2;2;0;6;0;2;0;2;0;4;2;2;0;4;0;2;0;2;0;0;0;4;2;6;0;0;10;4;6;4;4;2;0;2;0;0;0
help;0;0;0;0;0;0;0;0;12;10;8;6;6;0;0;6;14;8;4;6;0;0;4;2;0;2;0;6;4;2;6;4;2;0;4;4;6;4;2;2;2;2;2;2;2;4;0;0;6;0;0;0;4;2;4;8;0;0;4;0;4;2;0;4;0;4;2;4;2;4;4;2;2;2;4;2;0;2;2;2;2;2;0;2;2;4;2;2;0;2;4;0;0;2;2;6;2;4;0;0
people;0;0;0;0;0;0;0;0;0;2;8;4;6;2;2;2;6;6;2;4;0;0;4;6;4;2;4;0;2;0;2;2;2;2;0;4;2;2;6;0;2;0;4;0;4;4;0;2;2;0;4;2;8;4;2;4;0;0;0;0;2;0;0;2;0;0;0;2;0;2;2;2;2;4;2;2;0;4;0;2;0;0;0;2;2;6;0;0;0;0;4;0;0;0;2;2;2;4;0;0
budget;0;0;0;0;0;0;0;0;0;0;10;6;2;2;4;0;0;6;0;0;2;0;8;6;0;0;4;10;0;0;0;0;0;4;0;12;2;4;4;0;0;4;2;0;0;2;0;0;2;0;2;2;2;0;2;0;0;10;2;2;2;0;0;2;2;4;0;6;2;0;0;4;0;0;0;0;0;0;0;2;8;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0
12;0;0;0;0;0;0;0;0;0;0;0;6;0;0;10;2;6;2;0;4;4;2;8;2;0;4;4;10;2;0;4;2;0;0;4;4;4;4;4;0;0;0;0;2;4;4;0;0;0;0;4;6;0;2;4;0;2;6;0;2;0;4;0;2;0;2;2;2;0;4;2;4;2;0;2;2;2;2;2;0;2;0;0;4;2;2;0;0;0;0;0;0;0;4;0;4;2;2;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;6;8;0;8;4;0;6;0;2;4;4;4;2;0;4;6;0;8;0;0;0;2;0;0;0;4;0;2;2;2;4;0;0;0;4;4;4;4;4;0;4;2;0;0;2;4;0;2;0;2;2;0;4;0;0;2;2;0;4;0;0;0;2;0;4;2;4;6;4;2;2;0;0;0;4;2;0;2;0;2;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;4;2;0;2;2;4;2;2;2;6;2;2;2;0;2;0;6;2;2;0;2;4;0;0;0;0;2;0;0;0;0;2;4;0;0;0;6;4;0;0;2;4;0;0;0;0;4;0;2;2;2;2;2;0;2;0;2;0;0;2;4;0;4;0;0;0;4;0;0;4;0;0;0;2;4;0;0;4;0;2;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;8;0;0;2;2;0;2;0;0;2;10;0;2;0;2;4;2;4;8;2;8;14;0;2;4;0;4;0;2;0;2;0;0;0;4;0;0;2;4;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;4;0;2;0;2;0;2;0;2;0;4;0;2;0;0;2;0;4;4;2;0;0;0;0;2;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;2;0;8;0;2;4;4;6;0;0;0;2;0;4;2;0;0;4;2;2;2;2;0;4;2;0;0;2;0;0;2;2;0;0;2;0;2;2;0;0;0;4;4;0;0;2;2;0;0;2;0;0;2;0;2;2;2;2;2;2;2;0;0;4;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;4
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;6;4;2;6;2;0;6;0;2;8;2;0;2;2;6;0;4;2;0;0;0;0;2;0;4;2;4;2;2;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;2;0;0;0;2;2;2;0;2;0;0;2;4;6;0;0;2;2;2;0;0;2;2;0;0;0;2;4;0;2;0;0;2;0;0;2;2
#vtpoli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;12;4;6;4;0;0;4;2;2;2;6;2;4;2;2;4;0;8;2;0;2;2;0;4;0;0;4;0;0;0;0;2;0;0;2;2;6;0;0;0;0;2;4;2;2;2;0;4;2;0;2;4;0;2;2;2;0;4;0;0;0;0;2;0;0;6;4;0;0;0;0;6;0;0;8;0;2;2;0;0;0
