;great;thank;people;news;fake;big;democrats;president;job;country;complete;trump;states;military;endorsement;house;@foxnews;joe;strong;new;state;good;american;media;china;america;coronavirus;mike;democrat;vets;history;republican;impeachment;left;win;united;white;hoax;party;working;vote;amendment;border;hard;work;help;federal;world;radical;congress;usa;bernie;nothing;dems;bad;second;national;crime;do_nothing;sleepy;mini;congressman;crazy;corrupt;#maga;election;russia;incredible;biden;order;night;law;money;jobs;numbers;love;testing;new_york;best;senate;senator;together;lamestream;totally;police;republicans;john;governor;court;important;political;loves;tonight;conference;government;administration;wrong;ventilators;congratulations;@foxandfriends
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;8;18;8;2;6;6;56;14;0;2;14;6;0;8;2;0;14;14;2;14;2;2;2;2;0;6;0;10;0;10;12;8;18;6;0;12;6;0;4;0;8;0;0;6;10;2;0;2
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;2;10;2;12;8;2;0;6;6;6;4;2;2;14;4;0;0;6;4;0;0;0;2;2;0;6;0;2;0;8;2;2;0;0;0;2;0;26;0;0;0;8;0;0;2;4
usa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;2;4;4;0;2;2;2;4;2;4;0;0;4;2;0;0;4;4;8;0;2;0;4;2;2;4;2;4;0;0;2;2;0;2;8;6;0;0;2;2;6;0;6;8
bernie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;4;0;0;4;16;14;0;48;4;0;6;10;0;8;6;2;0;8;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;6;2;8;8;8;0;8;2;0;2;2;0;2;4;10;2;8;2;2;2;6;0;0;0;0;0;2;6;0;16;4;2;4;4;6;0;4;4;0;0;10;2;0;2
dems;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;0;26;12;4;0;4;4;0;8;0;0;8;4;2;2;2;0;2;4;2;0;4;6;2;6;6;8;4;14;0;2;2;2;4;0;6;0;2;2;10;0;0;2
bad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;16;2;10;0;6;6;0;4;8;0;4;4;8;2;2;0;2;2;2;4;2;6;0;6;8;6;4;4;2;4;2;2;2;2;4;0;6;2;8;2;0;2
second;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;68;2;4;16;2;0;32;0;0;0;10;0;4;0;0;0;4;0;2;6;0;0;0;0;0;4;2;2;4;0;16;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;4;0;2;2;10;12;6;0;4;0;8;0;6;2;0;0;2;2;4;10;0;2;6;0;2;0;0;0;2;2;0;0;0;2;0
crime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;18;0;2;14;4;2;4;6;6;4;14;2;2;2;2;0;4;2;4;10;2;2;2;6;0;2;0;4;4;18;30;4;0;2;2;2;0;0;0
