;health;trump;#casots;housing;yes;california;new;ca;record;state;crisis;homelessness;vote;families;million;growth;live;brain;policies;children;address;job;america;healthcare;homeless;lose;118;living;system;building;dark;social;progressive;affordable;reminder;wall;seniors;dream;laws;months;medicaid;watch;tune;country;literally;take;economic;people;low;gun;lets;could;@realdonaldtrump;air;proud;unemployment;safety;able;tonight;simply;top;food;regressive;care;still;opportunity;cant;world;economy;save;inextricably;build;dimmed;history;donald;fundamental;emergency;bayard;view;physical;stop;coverage;created;violence;mental;avoid;1;past;streets;knock;calls;wrongs;announced;lives;consecutive;income;californians;7;deficit;administration
health;0;2;4;2;0;0;4;0;0;0;0;0;0;0;4;0;2;6;0;0;2;0;0;2;2;2;0;0;6;0;0;6;0;2;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;4;0;0;0;0;2;2;0;0;4;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2
trump;0;0;0;0;0;0;4;4;4;0;0;0;6;2;4;2;0;2;4;2;0;2;2;0;0;2;0;0;0;0;2;0;2;2;6;2;2;0;0;0;2;0;0;0;4;0;2;0;4;0;4;2;0;0;0;2;0;2;0;0;2;2;2;2;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;2;4;0;0;0;2;0;0;4;4;0;4;0;0;0;0;2;4;4
#casots;0;0;0;4;0;4;0;0;0;0;2;8;0;2;0;2;0;2;0;2;2;2;0;0;6;0;2;4;2;2;0;2;0;2;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;4;2;2;0;2;0;2;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
housing;0;0;0;0;0;2;0;2;0;0;2;4;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;2;2;2;0;2;0;2;0;2;2;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;4;0;0;0
yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
california;0;0;0;0;0;0;0;0;2;4;2;0;0;2;0;4;0;0;0;2;2;4;0;0;0;0;4;2;0;2;0;0;2;0;0;0;2;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;2;0;0
new;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;4;0;2;4;0;0;4;2;4;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;4;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0
ca;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;4;2;2;4;2;0;2;2;2;0;0;0;2;0;0;2;0;2;0;2;0;2;2;2;0;0;0;0;0;4;0;4;0;2;2;0;0;2;2;2;2;2;0;2;4;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2
record;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;6;0;0;6;0;0;6;2;2;0;0;4;0;0;2;2;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;4;2;4;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0
state;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;4;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0
