kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
city,26,community,26,please,77,email,89,email,91,email,68,please,337,please,102,email,248,please,337
toronto,19,city,24,email,64,councillor_matlow@torontoca,88,please,87,councillor_matlow@torontoca,65,email,336,thank,99,councillor_matlow@torontoca,238,email,336
thank,19,eglinton,24,thank,64,please,85,councillor_matlow@torontoca,85,please,63,councillor_matlow@torontoca,321,email,88,please,235,councillor_matlow@torontoca,321
community,18,support,19,councillor_matlow@torontoca,63,feel,72,feel,75,city,48,feel,258,councillor_matlow@torontoca,83,welcome,191,feel,258
residents,13,toronto,19,health,53,welcome,72,welcome,72,police,48,welcome,258,city,80,feel,191,welcome,258
together,13,email,17,feel,48,health,35,support,33,welcome,47,thank,195,community,75,thank,96,thank,195
sidewalks,13,thank,16,welcome,48,public,27,thank,32,feel,44,city,160,welcome,67,city,80,city,160
please,11,residents,14,support,37,thank,24,care,30,motion,42,community,149,feel,67,support,75,community,149
pleasure,10,metrolinx,14,public,37,love,23,city,25,happy,40,support,140,health,67,community,74,support,140
developers,10,please,14,family,35,covid19,21,hi,25,thank,40,health,131,support,65,happy,69,health,131
support,9,new,14,covid19,32,support,20,staff,24,council,39,toronto,131,toronto,64,toronto,67,toronto,131
public,8,councillor_matlow@torontoca,14,together,31,care,19,community,22,community,37,public,118,public,56,care,65,public,118
health,8,welcome,12,community,31,workers,18,id,20,toronto,36,happy,108,together,52,health,64,happy,108
transit,8,feel,12,city,30,toronto,17,happy,20,id,35,together,92,family,50,public,62,together,92
@carolyn_bennett,8,west,11,good,30,ive,15,pleasant,19,budget,34,care,86,residents,45,id,59,care,86
take,7,public,11,people,28,community,15,covid19,19,call,29,covid19,83,people,43,ive,52,covid19,83
email,7,local,11,toronto,26,emergency,13,ive,19,number,28,id,82,eglinton,42,police,52,id,82
new,7,ford,11,love,24,pandemic,13,homes,19,reach,25,people,79,happy,39,covid19,51,people,79
staff,7,certainly,10,happy,24,together,12,health,18,support,22,love,76,good,37,love,48,love,76
feel,7,councillor,10,best,21,distancing,12,mount,18,ive,18,residents,76,covid19,32,hi,47,residents,76
welcome,7,happy,10,work,19,hi,12,love,18,public,17,staff,75,certainly,32,council,45,staff,75
priorities,7,pleasure,10,residents,18,staff,11,public,18,believe,17,ive,75,staff,30,number,45,ive,75
join,7,council,9,certainly,18,construction,11,office,17,discuss,17,good,71,work,30,staff,45,good,71
citys,7,concerns,9,@johntory,18,healthcare,11,update,16,mayor,16,family,70,pleasure,29,motion,44,family,70
discuss,7,family,9,kind,18,everyone,10,safe,16,care,16,number,67,love,28,call,43,number,67
council,7,great,9,call,17,good,10,@johntory,15,good,15,hi,65,new,28,reach,42,hi,65
remarkable,7,lrt,9,follow,17,people,10,ones,15,@kristynwongtam,15,call,65,discuss,26,together,40,call,65
lanes,7,people,9,id,17,advice,9,people,15,together,14,council,64,everyone,25,people,36,council,64
evening,6,everyone,8,thanks,17,family,9,toronto,14,pandemic,14,reach,59,morning,24,good,34,reach,59
roads,6,citys,8,save,17,certainly,9,together,14,citys,13,police,58,important,24,budget,34,police,58
light,6,life,8,staff,17,essential,9,longterm,14,actually,13,work,57,kind,24,homes,33,work,57
morning,6,youth,8,number,16,longterm,9,loved,14,government,13,certainly,56,thanks,24,@johntory,31,certainly,56
people,6,together,8,information,16,send,9,kind,14,conversation,12,@johntory,54,best,24,pandemic,31,@johntory,54
closely,6,proud,7,still,16,important,9,work,13,10,12,kind,54,id,23,residents,31,kind,54
friends,6,scarborough,7,important,16,residents,9,cemetery,13,people,11,motion,51,join,23,kind,30,motion,51
