;#gapol;georgia;state;covid19;georgians;safe;together;great;icymi;proud;testing;help;working;fight;gt;efforts;stop;w;kemp;health;public;local;continue;ensure;@gafirstlady;work;families;support;spread;trafficking;part;protect;forward;ga;vulnerable;new;county;future;safer;georgias;honored;communities;healthcare;strong;stronger;lives;coronavirus;remain;@realdonaldtrump;@aug_university;capacity;home;service;best;#godawgs;family;stay;safety;history;commitment;officials;prosperous;data;hardworking;patients;guidance;resources;days;put;country;good;medical;dangerous;year;industry;throughout;workforce;ahead;human;access;business;gangs;thanks;opportunity;surge;battle;record;gang;leaders;partnership;among;follow;grace;appreciate;dismantle;teachers;life;another;live;survivors
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;6;2;6;2;6;8;6;2;0;2;0;0;2;0;6;4;0;2;4;0;8;0;0;0;0;0;6;0;0;4;8;0;0;4;0;0;2;0;4;2;6;6;0;0;0;2;2;0;0;2;6;6;2;0;4;0;0;2;0;0;0;2;4;2;6;0;0;0;0;2;2;0;2
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;6;8;2;4;8;0;0;14;8;0;0;0;4;2;6;4;0;4;0;2;0;6;2;2;0;0;6;4;0;4;2;6;0;0;0;0;2;2;0;4;0;2;0;0;2;0;2;2;2;0;0;0;0;8;0;2;0;4;0;0;4;2;0;0;2;2;8;2;10;2
@gafirstlady;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;16;0;2;0;4;2;4;2;0;0;0;4;0;0;0;0;2;0;2;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;2;0;2;0;0;0;8;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;0;12
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;4;0;0;0;0;4;4;4;0;2;0;0;4;4;2;2;6;0;0;2;0;2;0;0;2;2;2;2;4;2;6;0;4;0;0;2;2;2;2;6;2;0;2;2;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;4;0;0;0;0;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;2;2;0;0;0;0;4;6;6;4;2;12;0;2;4;2;2;2;6;0;0;0;2;0;0;0;4;0;0;4;0;0;0;0;2;6;2;0;2;0;2;2;0;4;0;0;0;0;2;0;0;10;2;0;0;0;0;8;0;0;0;2;2;2;10;0;0;4;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;2;6;2;0;0;2;4;2;2;0;0;0;0;2;0;0;0;0;4;0;0;2;0;0;2;2;2;0;4;0;0;10;0;2;2;2;0;2;4;4;2;2;2;0;0;0;4;0;0;2;2;0;0;0;0;4;0;0;4;4;2;0;4;0;2
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;2;0;2;0;2;2;2;0;0;2;0;4;2;0;0;0;0;0;0;2;4;0;2;4;0;0;2;0;10;4;0;2;0;0;4;2;0;2;0;2;2;0;0;2;0;2;0;0;8;0;0;6;0;2;6;0;0;0;0;0;0;0;0
trafficking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;6;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;10;2;0;0;16;0;0;4;0;2;0;0;0;0;0;0;2;0;6;0;0;0;2;0;0;8
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;4;0;2;2;2;2;6;2;2;4;0;2;0;2;0;2;0;4;0;0;2;2;0;2;0;2;4;4;0;2;0;0;0;2;0;0;0;2;2;4;0;0;2;2;0;2;0;2;0;0;0;2;6;0;4;2;0;0;2;2;4;2;2;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;10;0;2;6;4;0;0;2;2;0;4;12;0;4;0;0;0;2;0;2;0;0;0;2;0;0;6;0;4;2;0;2;0;0;4;0;0;2;2;0;0;2;0;0;0;2;0;0;0;4;0;2;0;2;0;2;6;4;2;2;2;0;0;0;2;2
