;covid19;north;state;dakota;spread;nd;@nddoh;cases;press;confirmed;watch;help;health;care;grateful;thanks;todays;#ndsots20;slow;conference;briefing;#ndgov;community;important;together;new;dakotas;safety;positive;work;tests;local;people;essential;dakotans;states;order;coronavirus;continue;take;county;executive;great;latest;pandemic;citizens;stay;process;leaders;working;child;partners;situation;2020;home;economy;4;nds;address;education;across;@potus;social;#covid19nd;workers;service;business;workforce;crisis;k12;april;distancing;learn;role;discuss;team;future;ct;tune;governors;live;support;play;protect;2;national;steps;trade;case;energy;military;president;wellbeing;#ndsmart;infrastructure;tomorrow;program;information;visit;join
covid19;0;36;18;20;36;22;30;26;20;32;16;14;22;14;2;0;14;0;22;10;16;0;14;10;6;16;10;8;14;4;16;4;0;6;6;2;6;8;10;8;8;6;0;8;12;6;8;4;2;2;6;2;10;0;12;0;8;4;2;2;2;2;14;10;6;0;0;2;10;4;4;12;6;6;2;0;0;6;6;2;8;4;6;8;6;0;6;0;6;0;0;0;8;8;0;4;2;6;6;0
north;0;0;30;56;14;12;16;14;10;14;14;10;8;6;14;8;8;6;10;12;6;6;8;10;4;6;22;6;8;8;8;8;6;2;18;6;0;10;6;8;4;2;2;10;6;6;6;4;10;6;2;6;0;6;8;8;2;0;0;2;6;0;8;6;0;4;6;4;2;2;0;6;4;4;4;4;8;2;2;4;0;4;4;2;2;2;6;2;2;2;2;2;4;4;6;0;2;6;2;2
state;0;0;0;22;6;14;6;6;4;4;6;4;4;4;6;4;4;12;2;6;0;10;10;8;6;4;2;2;0;6;4;10;4;2;4;2;2;4;4;0;2;4;2;6;0;4;0;0;2;6;0;6;2;8;0;0;0;0;6;2;6;0;0;2;0;8;2;4;0;4;0;0;2;6;2;4;4;0;2;2;0;4;6;2;0;2;2;0;0;0;4;0;0;0;4;0;4;4;2;2
dakota;0;0;0;0;4;4;8;6;10;4;12;4;4;6;8;6;8;8;4;8;6;8;2;6;2;2;0;2;4;2;4;4;6;0;2;6;0;6;4;4;2;0;0;8;2;6;6;0;2;2;2;4;0;4;4;2;2;0;0;2;6;0;4;0;0;4;2;4;2;2;2;2;2;2;4;2;6;2;0;4;0;0;2;2;0;2;4;2;0;4;4;2;0;0;4;0;2;6;2;0
spread;0;0;0;0;0;14;18;14;4;18;2;14;4;0;2;0;0;0;26;6;0;0;10;6;2;8;6;2;10;2;6;4;0;0;2;0;2;12;10;6;4;2;0;2;0;8;8;0;2;4;0;2;8;0;10;0;0;2;0;0;2;2;10;6;0;0;0;0;2;0;4;10;6;8;2;0;0;0;2;0;0;0;8;6;2;0;2;0;6;0;0;0;2;8;0;4;0;0;4;0
nd;0;0;0;0;0;0;6;8;0;12;2;12;4;2;4;12;0;2;4;2;0;2;6;8;4;8;4;2;2;6;10;2;0;2;4;0;0;4;6;0;2;0;2;2;4;0;4;6;2;6;2;4;2;0;4;0;0;4;0;0;6;6;4;6;4;4;2;2;0;0;2;4;2;6;2;8;0;0;0;0;0;4;6;0;6;2;0;4;4;0;2;2;0;4;2;0;0;2;0;2
@nddoh;0;0;0;0;0;0;0;16;8;20;8;4;6;2;0;0;6;0;12;6;6;0;6;4;2;8;6;6;12;2;8;4;0;2;2;0;2;12;4;2;8;2;0;8;0;8;6;2;0;4;0;4;4;0;6;0;4;0;0;0;0;0;10;6;0;0;0;0;2;0;0;8;4;4;2;0;0;6;4;0;0;2;4;2;2;0;0;0;8;0;0;0;4;2;0;0;0;4;8;0
cases;0;0;0;0;0;0;0;0;2;24;2;8;4;2;0;0;2;0;14;4;0;0;6;4;2;12;6;0;10;2;6;2;0;0;2;0;2;6;6;2;2;2;0;4;0;2;4;0;0;2;0;2;0;0;8;0;0;2;0;0;0;0;8;8;0;0;0;0;0;2;0;8;0;2;2;0;0;0;2;0;0;0;2;2;6;0;2;0;0;0;0;0;0;6;0;0;0;4;2;0
press;0;0;0;0;0;0;0;0;0;0;26;0;2;4;0;0;22;0;2;16;24;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;4;2;2;0;2;4;2;0;2;0;0;0;12;0;0;2;0;0;2;0;0;0;0;0;0;6;0;2;0;0;2;0;0;10;4;4;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0
confirmed;0;0;0;0;0;0;0;0;0;0;0;12;6;2;0;0;0;0;16;2;0;0;8;8;0;14;8;2;14;2;10;0;0;0;2;0;0;2;8;4;8;0;0;4;0;0;8;0;0;0;0;0;0;0;12;0;0;2;0;0;0;0;12;10;0;0;0;0;0;0;2;10;2;0;0;0;0;0;2;0;0;0;0;2;6;0;2;0;6;0;0;0;2;8;0;0;0;2;6;0
