;covid19;state;new;work;health;#covid19;may;thank;public;home;stay;support;care;safe;people;continue;update;order;call;community;week;businesses;help;together;workers;please;working;spread;city;families;watch;welcome;social;live;part;pandemic;coronavirus;residents;service;take;news;essential;business;big;across;fight;todays;thanks;distancing;tomorrow;without;information;visit;lives;times;join;ensure;family;provide;face;critical;2020;education;local;testing;next;safety;school;housing;level;police;medical;month;year;important;taking;communities;travel;updates;announced;country;great;best;able;emergency;mask;life;students;receive;protect;briefing;feel;crisis;councillor_matlow@torontoca;forward;million;number;cases;children;signed
covid19;0;8;10;2;8;0;2;6;12;10;10;4;4;0;8;2;12;2;10;2;0;2;6;4;4;2;4;8;2;4;8;0;2;8;2;8;2;0;6;2;6;0;2;2;4;8;8;2;2;0;6;2;6;4;2;2;2;0;4;4;0;4;0;2;2;0;2;2;0;4;0;2;2;2;0;2;2;0;6;2;2;0;0;0;0;4;0;0;0;0;8;0;2;0;2;0;0;0;0;2
state;0;0;8;2;12;8;6;6;6;8;8;2;10;2;0;6;6;8;4;2;4;0;2;2;2;0;2;2;0;2;2;0;2;4;4;2;2;2;4;2;2;0;2;2;10;2;0;4;2;2;2;2;0;0;0;2;0;0;2;0;2;4;0;0;4;2;6;0;0;4;2;2;2;0;2;2;0;0;0;0;2;0;2;4;4;2;0;4;2;2;2;0;0;0;2;0;2;2;0;2
new;0;0;0;2;10;4;2;10;6;4;2;2;0;0;6;2;2;0;2;0;0;4;0;4;2;2;4;6;8;0;4;4;2;2;4;2;0;2;4;4;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;6;0;2;0;2;0;2;0;2;2;0;4;6;4;2;0;0;0;4;0;2;2;0;4;4;2;4;6;0;2;2;0;0;2;4;0;0;4;0;2;0;0;0;0;2
work;0;0;0;0;4;6;0;8;2;6;4;0;2;10;0;10;0;0;4;4;0;2;6;4;2;2;2;0;2;2;0;2;2;0;2;2;2;2;6;0;2;4;4;0;2;4;2;2;0;0;0;2;2;2;0;2;4;0;0;0;2;0;4;2;0;0;2;0;0;4;0;2;0;0;2;0;2;4;0;0;0;2;2;0;4;0;2;0;0;2;0;2;0;0;2;4;0;0;0;0
health;0;0;0;0;0;4;2;0;16;4;2;4;12;8;4;6;0;6;0;0;2;2;0;4;4;4;2;4;2;2;0;0;2;0;0;4;4;2;2;4;0;2;2;2;0;2;2;2;2;0;6;2;4;0;0;2;0;0;2;4;2;0;2;2;2;2;8;0;0;2;0;2;0;0;0;0;4;0;2;2;2;0;0;0;4;2;0;0;0;4;0;0;0;2;2;0;0;0;2;2
#covid19;0;0;0;0;0;0;4;2;2;2;4;4;6;6;2;6;4;4;0;0;0;2;2;2;4;2;0;6;0;2;4;0;2;2;8;2;0;0;0;2;4;2;2;0;4;4;2;2;2;2;2;6;2;2;0;0;0;2;2;0;0;0;0;2;4;0;0;0;0;0;0;2;2;0;0;0;2;0;4;0;0;0;2;0;2;0;0;2;2;2;2;0;0;0;0;0;0;2;2;0
may;0;0;0;0;0;0;0;0;2;4;2;0;0;2;2;2;2;8;0;0;2;2;2;2;0;2;2;4;0;0;2;0;0;2;0;4;0;4;0;0;4;0;0;4;2;0;0;0;0;4;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;4;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0
thank;0;0;0;0;0;0;0;0;4;2;0;4;0;0;2;0;0;0;2;2;2;0;2;0;4;0;4;0;2;0;0;4;0;0;0;2;0;0;8;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;4;2;0;0;2;0;2;4;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;2;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;2;4;4;0;4;2;6;0;2;2;0;0;4;0;4;0;2;4;6;0;0;0;0;0;0;0;2;2;2;4;2;0;0;0;2;0;0;0;0;0;0;2;2;4;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;2;2;0;2;4;0;0;0;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2
home;0;0;0;0;0;0;0;0;0;0;18;0;2;4;8;4;0;6;2;0;0;2;6;0;2;2;4;6;2;0;2;0;2;0;6;2;0;2;0;0;0;6;2;4;0;2;2;0;2;0;2;0;0;6;0;0;2;0;0;2;4;0;2;0;2;0;0;0;2;0;0;2;2;0;2;0;2;4;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0
