;great;people;new;united;state;national;trump;states;news;fbi;house;party;american;night;president;donald;former;government;2016;million;white;world;presidential;man;soldiers;players;left;friday;administration;thank;sunday;war;democrats;story;post;campaign;election;trumps;bill;best;groups;become;young;guard;person;nations;big;killed;senate;chairman;15;political;final;team;year;country;florida;republican;democrat;1;may;officer;working;transcript;released;number;general;2017;sniper;following;media;special;says;proud;act;andrew;governor;victory;clinton;mass;quite;honor;amazing;name;write;something;gop;top;change;november;closely;everyone;ban;america;canada;men;given;police;usa;fans
great;0;4;4;10;4;2;2;8;4;0;2;2;6;2;4;4;4;0;2;0;4;0;2;0;2;0;2;2;0;6;0;0;0;2;2;2;2;2;0;2;2;4;0;2;0;6;0;2;4;0;0;0;0;6;0;2;0;2;2;0;2;2;6;2;2;2;2;0;2;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;4;2;2;0;0;0;0;0;0;4;0;2;2;2;0;2
people;0;0;0;0;2;0;0;2;6;2;0;0;8;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;2;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;2;4;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;2;0;0;0;0;2;0
new;0;0;0;2;2;0;2;2;2;2;2;0;2;2;2;0;0;2;2;4;0;2;0;0;2;0;0;4;0;0;0;2;2;2;0;0;2;0;4;0;0;0;0;0;0;0;4;0;4;0;2;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0
united;0;0;0;0;0;2;2;12;2;2;0;0;4;0;4;4;4;2;0;2;0;2;0;2;4;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;0;4;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2
state;0;0;0;0;0;4;2;0;2;2;0;0;0;4;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;0;6;0;0;0;2;0;2;0;2;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0
national;0;0;0;0;0;0;2;2;0;4;2;0;2;4;2;0;4;2;0;0;2;0;0;0;0;2;0;0;2;4;0;0;2;2;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;2;4;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
trump;0;0;0;0;0;0;0;2;0;6;2;4;0;0;2;6;2;2;4;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;2;2;0;2;2;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;4;2;0;0;4;0;4;2;4;2;0;2;0;2;0;0;4;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;4;0;0;4;2;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;2;0;8;0;2;0;0;0;2;0;2;2;0;0;4;0;2;2;0;4;6;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;4;2;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0
night;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;4;0;2;4;0;4;0;0;0;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;6;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
