kw_q1,freq_q1,kw_q2,freq_q2,kw_all,freq_all
people,9,change,17,people,26
new,8,people,17,change,21
heres,7,young,12,young,15
help,7,real,11,real,14
health,6,pandemic,8,health,13
michelle,5,country,8,country,13
lives,5,2020,7,heres,13
example,5,health,7,new,11
support,5,leaders,7,pandemic,11
coming,5,work,6,help,11
home,5,vote,6,take,10
protect,5,class,6,lives,10
stay,5,power,6,vote,10
community,5,social,6,communities,10
take,5,times,6,community,10
crisis,5,part,6,michelle,10
happy,5,hard,6,happy,10
country,5,heres,6,crisis,9
communities,5,working,5,good,9
good,5,communities,5,leaders,9
consequences,4,happy,5,hope,8
useful,4,chicago,5,american,8
professionals,4,makes,5,home,8
care,4,community,5,support,8
vulnerable,4,ive,5,2020,8
change,4,states,5,work,8
stories,4,michelle,5,social,8
act,4,cant,5,love,8
americans,4,lets,5,world,7
remember,4,take,5,times,7
love,4,bring,5,lets,7
medical,4,across,5,protect,7
vote,4,hope,5,across,7
heroes,3,american,5,hard,7
together,3,lives,5,part,7
generation,3,system,4,still,6
journey,3,@joebiden,4,best,6
still,3,@mbk_alliance,4,vulnerable,6
may,3,justice,4,generation,6
helping,3,love,4,working,6
old,3,matter,4,together,6
economic,3,crisis,4,care,6
best,3,join,4,professionals,6
real,3,something,4,coming,6
weeks,3,world,4,stay,6
world,3,history,4,power,6
hope,3,whove,4,chicago,6
family,3,efforts,4,justice,6
great,3,good,4,fight,6
pandemic,3,laws,4,join,6
spirit,3,moment,4,makes,6
young,3,help,4,example,6
entire,3,reminder,4,family,6
face,3,police,4,states,6
american,3,thank,4,useful,6
government,3,protests,4,class,6
everybody,3,loved,3,medical,6
prayers,3,practices,3,cant,6
fight,3,another,3,reminder,6
reminder,2,mayors,3,ive,5
lets,2,national,3,bring,5
distancing,2,action,3,act,5
ahead,2,elected,3,america,5
ways,2,celebration,3,progress,5
transit,2,progress,3,government,5
generations,2,continue,3,takes,5
fellow,2,seen,3,everybody,5
thing,2,criminal,3,americans,5
birthday,2,officials,3,distancing,5
public,2,family,3,approach,5
climate,2,might,3,may,5
watch,2,policies,3,history,5
importance,2,levels,3,months,5
covid19,2,deserve,3,life,5
virus,2,fight,3,thank,5
human,2,saved,3,another,5
front,2,sustain,3,moment,5
hit,2,parents,3,parents,4
congrats,2,momentum,3,hit,4
especially,2,friend,3,matter,4
join,2,new,3,protests,4
behind,2,voices,3,efforts,4
ideas,2,couldnt,3,policies,4
difference,2,different,3,great,4
players,2,democracy,3,remember,4
job,2,activists,3,neighbors,4
along,2,generation,3,past,4
giving,2,takes,3,public,4
among,2,lessons,3,local,4
anybody,2,service,3,next,4
life,2,ideals,3,ahead,4
local,2,past,3,seen,4
kind,2,big,3,loved,4
lines,2,proud,3,@joebiden,4
slow,2,support,3,activists,4
owe,2,protest,3,ideals,4
moral,2,voting,3,something,4
ability,2,together,3,virus,4
follow,2,raise,3,level,4
elderly,2,testing,3,economic,4
