;city;health;covid19;toronto;food;public;care;home;stay;community;work;support;staff;continue;together;pandemic;working;services;new;vulnerable;access;residents;housing;information;physical;take;protect;workers;distancing;shelter;call;response;recovery;part;system;people;help;safe;spread;service;211;free;homelessness;supports;data;mental;week;measures;cities;province;lives;social;essential;247;please;ontario;shelters;virus;possible;everyone;@topublichealth;provide;difficult;ensure;medical;units;local;still;government;frontline;important;visit;citys;emergency;crisis;times;provincial;online;follow;best;save;directly;program;hard;thanks;available;officer;testing;place;across;weeks;grocery;tips;clients;live;hotel;staying;centre;past;homes
city;0;46;62;64;36;22;32;22;14;28;42;36;38;34;14;28;20;22;28;24;30;24;22;14;14;12;16;10;12;24;10;36;12;12;12;18;16;14;6;12;4;14;14;12;2;12;16;12;0;12;8;4;6;8;0;10;16;2;8;12;6;20;8;14;8;16;10;6;8;6;10;8;6;8;8;6;12;14;2;8;6;6;12;12;8;8;6;8;8;22;12;10;2;10;16;12;0;6;6;6
health;0;0;54;46;12;72;40;24;18;30;22;34;22;26;6;22;18;34;18;18;14;14;8;18;16;8;12;14;14;10;20;16;14;8;24;2;8;14;12;14;18;12;4;16;22;24;2;26;0;4;14;16;8;18;6;10;6;6;12;12;14;6;14;10;26;2;4;14;6;12;14;4;8;12;10;6;4;0;8;8;6;2;2;4;6;0;24;8;8;2;6;6;10;6;0;4;8;0;2;2
covid19;0;0;0;36;10;32;10;16;14;20;20;12;18;10;8;32;16;8;20;20;8;10;14;10;20;10;4;2;18;18;0;42;24;10;12;14;12;6;24;10;0;2;12;8;22;4;4;6;12;12;10;0;2;4;2;10;14;10;10;6;8;6;2;0;14;4;2;6;10;0;6;0;8;6;4;4;8;6;4;8;8;6;2;8;8;0;10;8;6;6;2;2;4;6;4;8;0;8;6;6
toronto;0;0;0;0;10;48;24;12;12;20;16;28;20;6;8;8;18;22;14;4;6;10;2;18;18;16;4;8;16;6;14;14;8;8;14;0;4;10;8;14;12;10;0;0;16;4;4;8;0;10;2;12;12;12;0;10;8;0;4;0;4;10;10;6;4;2;4;2;8;8;6;4;2;10;2;0;12;4;2;10;2;4;6;6;8;0;4;4;8;4;4;4;2;0;10;2;0;4;4;2
food;0;0;0;0;0;6;4;2;2;14;14;16;2;8;0;6;14;12;4;2;24;12;2;8;2;2;0;2;2;2;20;8;4;2;2;4;4;0;0;8;14;14;2;8;0;4;4;2;0;2;0;0;2;8;0;0;2;2;2;12;0;6;4;8;4;4;10;2;0;0;0;10;2;2;0;0;0;2;0;6;0;14;14;2;4;4;0;0;0;8;2;8;0;4;2;4;0;2;2;2
public;0;0;0;0;0;0;8;12;12;18;14;12;16;14;10;10;20;22;14;8;2;6;2;18;18;2;4;0;18;6;10;10;12;14;18;2;2;12;12;4;8;2;2;0;16;0;8;16;4;2;4;10;2;8;8;10;4;6;8;2;8;2;8;2;0;0;4;8;6;0;8;0;4;2;2;10;4;0;6;10;4;0;2;4;8;0;0;8;4;2;4;10;6;0;2;2;0;0;2;4
care;0;0;0;0;0;0;0;14;12;6;12;16;12;24;12;10;8;10;4;20;12;14;2;4;6;26;12;24;6;8;6;6;4;8;10;4;6;10;4;6;6;12;6;6;4;10;8;2;0;4;2;2;12;8;0;2;16;2;2;6;6;4;8;8;4;0;4;8;4;18;10;4;4;12;2;6;4;4;2;2;0;2;2;4;0;0;2;2;2;2;4;6;2;2;0;4;4;2;0;16
home;0;0;0;0;0;0;0;0;74;6;16;2;6;20;18;4;8;2;8;8;6;4;8;0;20;14;14;12;18;8;2;6;0;12;4;0;4;4;14;0;2;2;2;4;0;2;12;18;0;4;10;0;14;4;16;6;2;8;18;12;16;2;6;0;12;0;4;4;0;8;0;2;0;2;0;4;4;2;16;6;12;0;0;12;2;0;12;4;4;2;8;10;16;0;2;2;14;0;10;6
stay;0;0;0;0;0;0;0;0;0;6;12;2;2;18;22;4;6;4;4;8;6;2;4;2;16;12;10;6;14;2;2;4;0;8;2;4;2;6;12;2;2;4;0;4;2;4;10;8;0;0;12;0;8;4;12;2;2;6;18;12;12;2;6;0;6;0;2;4;0;2;0;0;2;2;0;6;0;4;14;6;14;0;0;8;2;0;6;0;4;2;8;8;10;0;2;0;2;0;10;4
community;0;0;0;0;0;0;0;0;0;0;12;14;12;6;4;8;14;26;4;12;10;14;6;22;2;2;4;2;2;8;24;12;2;6;10;4;6;10;2;14;24;0;2;14;2;4;0;0;0;4;2;22;4;22;8;0;6;2;4;8;2;6;8;6;4;4;10;4;4;4;0;14;4;2;2;0;2;8;0;2;2;6;4;4;0;4;2;2;0;6;0;4;0;6;0;4;2;2;2;2
