;trump;great;president;united;states;people;state;administration;new;news;american;justice;job;fake;department;strong;donald;obama;help;thing;government;man;national;campaign;world;history;evidence;story;2016;city;presidential;texas;fact;trying;york;times;caught;john;judge;republican;federal;media;americans;fbi;thank;may;game;post;trade;best;following;attack;sent;second;election;democrats;military;democratic;flash;team;vets;part;behind;given;service;investigating;happened;israel;bill;series;wonderful;convention;interviewed;least;transcript;chairman;friday;j;gun;took;win;tonight;advocate;incredible;country;funding;bad;week;letter;whether;case;strongly;suspect;law;seeing;video;recent;normal;steve;hillary
trump;0;4;16;6;6;2;4;8;2;0;0;6;2;0;6;2;10;0;6;4;2;0;0;4;0;2;0;2;6;0;4;2;4;0;2;4;0;0;2;0;2;2;2;6;0;0;0;0;2;0;0;2;4;0;4;0;0;0;0;2;0;0;0;0;0;4;0;2;2;0;2;0;4;0;0;2;2;6;0;0;4;0;2;0;4;4;2;4;2;4;0;0;0;2;0;0;2;0;0;0
great;0;0;4;4;4;4;6;2;0;2;0;0;6;2;0;2;0;0;0;2;0;0;0;2;4;4;0;2;0;2;0;2;2;4;0;0;0;0;0;2;0;2;0;2;2;2;0;2;2;6;0;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;2;2;2;2;0;0;0;0;2;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
president;0;0;0;10;8;2;0;2;2;4;6;4;0;2;2;2;6;0;4;0;2;0;2;2;4;4;0;0;4;0;2;2;0;2;0;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;4;0;0;0;2;2;0;0;2;0;0;0;0;2;0;4;2;4;0;0;0;2;0;0;2;0;0;0
united;0;0;0;0;24;4;2;4;2;4;4;0;0;2;2;2;2;0;0;0;6;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0;2;0;0;0;4;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;2;0;4;2;0;0
states;0;0;0;0;0;4;2;4;2;2;4;0;0;2;2;2;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;2;0;2;2;0;0;0;2;0;0;0;4;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;2;0;4;2;0;0
people;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;6;0;0;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
state;0;0;0;0;0;0;0;2;4;2;0;0;0;2;4;0;0;0;0;0;2;0;2;2;2;2;0;0;2;2;2;2;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;4;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;4;0;0;4;2;0;6;0;0;8;0;0;4;0;0;0;0;4;4;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;2;0;0;2;0;2;0;0;4;0;2;0;0;2;0;0;0;8;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;2;2;4;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;2;0;0;8;2;0;0;0;2;0;2;0;0;0;2;4;0;2;0;2;0;0;0;6;2;2;0;0;0;2;4;6;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0
