;#covid19;oklahoma;oklahomans;state;thank;continue;safely;data;states;phase;sen;oklahomas;work;response;plan;rep;reopen;provide;working;2;proud;hb;health;together;across;positive;testing;protect;join;live;#oklaproud;update;great;help;critical;social;fight;discuss;sb;continues;economy;tests;support;full;reopening;commitment;distancing;based;remember;take;test;1;goal;bill;blood;continuing;recover;pandemic;responsibly;cases;community;lets;decisions;mission;@healthyoklahoma;thankful;facebook;business;new;measures;track;fellow;order;month;law;thread;dedication;faithfully;stay;line;access;serve;businesses;due;active;people;yesterday;percentage;still;national;freedom;frontlines;virus;90000;3;responders;lives;nation;next;capita
#covid19;0;18;26;18;10;22;10;8;20;4;2;18;8;20;8;2;8;10;10;2;8;0;4;4;8;0;12;0;12;12;2;14;4;6;8;2;12;10;0;0;6;2;2;4;2;0;0;0;4;6;2;2;4;2;2;6;2;4;2;2;2;0;2;0;6;2;8;0;4;6;2;0;2;2;2;2;2;2;2;0;4;2;0;6;0;0;2;0;4;0;0;6;4;4;2;2;0;2;0;2
oklahoma;0;0;16;28;22;12;22;16;6;8;10;0;12;8;6;10;10;6;10;6;12;6;6;10;4;0;2;4;4;0;6;0;6;10;4;4;8;2;4;2;6;0;4;0;6;2;4;12;4;6;2;6;2;6;0;4;8;8;8;8;8;4;8;0;4;6;0;6;4;4;2;4;0;0;2;8;2;2;0;0;4;2;4;0;4;4;2;0;4;2;0;2;0;0;4;6;4;2;0;4
oklahomans;0;0;0;18;20;26;8;10;10;8;6;2;10;0;4;6;2;6;8;6;8;0;6;4;8;0;10;16;4;0;6;0;2;6;6;10;4;2;2;4;6;4;2;2;8;8;8;4;8;4;4;4;4;4;2;0;0;2;4;0;4;2;0;0;2;4;0;0;0;0;8;8;6;6;4;0;8;4;4;4;2;4;2;2;2;2;2;2;4;4;4;6;8;8;4;4;6;2;6;0
state;0;0;0;0;20;8;18;16;0;8;12;6;8;4;8;10;10;8;8;4;14;8;6;2;12;0;8;4;4;0;6;0;4;4;0;2;2;4;4;4;4;2;6;2;4;6;2;8;0;4;2;4;8;2;2;8;8;4;6;6;2;2;8;4;2;2;0;2;0;4;2;2;2;4;2;6;4;4;2;4;4;4;2;0;4;6;2;0;0;4;0;4;2;4;4;2;2;2;2;2
thank;0;0;0;0;0;4;2;2;2;2;22;2;8;2;0;20;0;8;10;0;6;10;2;4;10;0;0;8;0;0;8;0;0;6;2;2;6;2;8;0;4;0;2;0;2;12;2;2;2;0;0;2;4;8;0;2;0;8;0;0;2;0;0;4;0;0;0;2;0;0;2;4;2;2;6;0;4;4;0;8;4;6;4;0;0;2;2;0;0;4;0;6;0;0;2;4;0;2;2;0
continue;0;0;0;0;0;0;8;10;10;8;0;0;4;2;8;0;8;4;4;6;4;0;6;4;0;0;6;8;2;2;2;0;2;0;8;8;6;0;2;2;2;0;0;4;4;2;6;2;6;6;0;4;2;0;0;0;0;4;4;2;4;0;2;0;4;0;0;2;2;4;2;0;4;2;0;0;0;0;2;0;2;2;2;0;2;2;0;0;4;0;0;0;4;2;2;0;2;6;2;2
safely;0;0;0;0;0;0;0;18;6;10;0;4;6;2;8;0;14;2;4;6;0;0;6;2;0;2;2;2;2;0;0;0;2;0;0;4;2;4;0;6;8;2;2;2;10;0;4;10;0;2;4;8;2;0;0;4;10;2;10;4;2;2;6;0;0;0;0;2;2;4;2;0;0;2;0;6;0;0;0;0;2;0;2;2;2;6;4;2;0;2;0;0;0;0;6;0;2;0;0;2
data;0;0;0;0;0;0;0;0;8;14;0;4;2;0;12;0;6;4;2;6;4;0;8;0;0;0;0;2;2;0;0;0;6;2;4;6;2;6;0;4;4;0;2;0;8;0;6;12;4;2;2;8;0;0;0;6;8;0;6;4;0;2;6;0;2;0;0;4;0;2;4;0;0;0;0;4;0;0;0;0;0;0;2;0;2;4;2;0;2;2;0;0;2;0;8;0;2;0;2;2
states;0;0;0;0;0;0;0;0;0;4;0;2;0;10;4;0;2;2;4;2;2;0;2;0;0;2;2;0;6;8;0;8;0;0;2;2;2;6;0;2;4;0;0;2;4;0;2;2;4;2;0;2;0;0;0;0;2;0;2;4;0;0;0;0;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;2;0;4;0;0;2;0;4
phase;0;0;0;0;0;0;0;0;0;0;0;2;2;2;10;0;4;2;0;16;0;0;2;2;0;2;0;2;2;0;0;2;0;0;4;8;0;4;0;8;4;2;2;0;6;0;8;6;4;2;2;8;0;0;0;4;6;0;0;2;0;0;4;0;0;0;2;2;0;0;4;0;2;0;0;6;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;2;0;8;0;0;0;2;0
sen;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;20;0;6;4;0;2;10;0;0;6;0;0;2;0;0;0;0;0;2;0;0;2;0;6;0;0;0;2;0;0;4;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;4;0;0;2;0;6;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
oklahomas;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;0;2;2;2;2;0;0;2;2;0;0;0;0;6;2;0;4;2;4;2;0;0;10;0;0;6;0;0;2;2;0;0;0;0;2;0;0;0;0;2;4;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;4;2;0;2;2;8;4;0;2;2;0;0;2;0;0;2;2;2;0;0;2;0;4;0;0;2;4;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;4;2;2;0;0;4;2;0;0;0;10;10;0;12;0;0;0;0;2;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;2;0;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;6;0;0;6;2;0;0;0;0;4;0;0;2;0;0;2;2;0;6;0;2;4;0;0;0;4;0;2;2;2;2;0;4;0;0;0;4;6;0;2;2;2;0;2;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;4;0;0;2;2;0
rep;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;10;0;0;6;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;2;0;0;4;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;6;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;4;2;2;0;2;2;2;0;2;2;0;4;0;2;4;2;2;2;0;0;2;2;2;6;2;2;0;2;0;0;0;0;2;2;6;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;4;2;0;2;0;0;0;0;0;0;0;0;0;2
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;6;0;2;0;2;0;0;0;0;4;2;0;4;0;4;2;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;4;0;2;0;0;0;0;0;2;4;2;0;0;2;0;0;0;4;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
