;covid19;help;home;canada;support;safe;health;canadians;people;country;together;across;working;work;spread;stay;spoke;business;⤵️;details;taking;family;impacts;workers;response;virus;care;watch;businesses;measures;continue;live;protect;call;economy;canadian;weve;benefit;helping;thank;making;world;everyone;situation;communities;emergency;abroad;announced;food;friends;thanks;international;tune;outbreak;slow;coming;hard;strong;important;update;focused;speaking;travel;countries;announcing;times;limit;rideau;challenging;click;information;impact;difficult;steps;global;cottage;celebrate;supplies;leaders;whether;please;address;talked;women;talk;months;economic;worried;days;take;social;needs;giving;credit;yesterday;lost;groceries;phone;medical;use
covid19;0;24;2;10;16;24;8;4;18;12;18;10;14;12;4;0;34;2;2;6;10;2;10;4;12;14;0;6;2;2;6;6;8;16;2;0;4;2;2;4;6;14;0;8;2;2;0;2;2;0;2;12;12;0;2;0;6;2;4;16;4;0;0;22;2;4;0;0;0;2;0;0;2;10;14;0;0;0;0;0;0;4;16;0;0;0;6;0;0;2;0;2;12;0;4;0;0;14;0;0
help;0;0;4;22;18;12;4;8;14;24;12;16;8;14;2;0;4;24;2;6;12;8;2;12;0;0;2;6;14;4;2;8;12;2;4;2;6;6;0;8;12;6;6;2;4;16;0;4;6;4;4;0;8;0;2;0;6;2;2;12;4;0;0;2;4;4;0;0;0;8;2;0;2;10;2;0;0;0;4;4;2;0;4;2;2;4;8;0;2;2;4;2;6;4;2;0;4;0;0;2
home;0;0;0;0;4;2;6;4;2;2;6;2;0;0;0;4;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;0;0;0;2;0;4;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
canada;0;0;0;0;10;4;6;0;4;12;6;12;8;10;0;0;8;16;0;4;4;4;2;6;2;2;0;6;4;2;2;6;2;4;2;0;8;10;2;2;4;6;0;0;2;22;0;2;2;0;0;0;4;0;0;0;4;2;2;4;0;0;0;10;2;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;2;2;0;0;0;0;0
support;0;0;0;0;0;10;4;8;4;28;16;22;14;14;0;4;8;8;6;4;4;6;4;6;4;0;4;6;4;0;6;8;4;4;4;0;2;2;2;0;6;2;6;2;4;6;2;4;8;0;2;0;12;0;0;0;0;0;6;14;10;0;0;0;12;4;0;0;2;2;2;0;6;4;0;0;0;0;2;6;0;0;2;2;0;6;0;0;0;2;2;4;10;0;0;0;2;2;0;0
safe;0;0;0;0;0;0;6;0;14;2;8;2;14;6;6;2;12;0;0;6;10;2;2;2;4;4;2;4;0;0;2;4;0;8;2;0;0;2;2;6;4;2;0;2;2;0;0;0;0;0;0;2;6;0;2;0;2;0;0;12;10;0;0;4;2;0;0;0;0;0;0;0;0;10;4;0;0;0;0;2;0;2;6;0;0;0;2;0;0;0;0;0;8;0;2;0;0;4;0;0
health;0;0;0;0;0;0;0;0;4;6;2;6;2;6;0;2;0;0;0;2;0;2;0;4;2;2;4;6;2;0;0;6;2;0;0;2;6;2;4;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;2;0;0;4;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0
canadians;0;0;0;0;0;0;0;0;6;14;8;10;4;6;0;0;0;2;0;2;4;2;0;6;2;0;0;2;6;4;2;4;2;0;0;4;4;0;2;2;2;6;2;2;2;2;0;2;0;2;2;0;2;0;0;0;0;2;4;2;0;0;0;0;2;2;0;0;2;0;0;4;4;4;0;0;0;0;0;2;0;0;0;0;4;2;0;2;0;0;0;2;4;0;0;6;0;0;0;0
people;0;0;0;0;0;0;0;0;0;8;10;4;4;6;4;0;12;0;0;0;6;4;2;4;0;2;4;2;2;2;2;2;2;4;2;0;2;2;2;0;0;8;0;2;0;2;2;2;0;2;0;2;0;0;2;0;0;4;0;2;4;0;0;4;0;0;0;0;0;2;2;0;0;6;6;0;0;0;4;0;0;2;10;0;2;2;4;0;0;2;2;0;0;0;2;0;0;6;0;0
country;0;0;0;0;0;0;0;0;0;0;8;58;16;10;0;0;2;10;2;0;6;2;4;8;4;0;4;8;12;0;2;8;2;0;2;0;4;2;8;4;10;8;4;4;6;4;0;0;2;0;2;0;6;0;0;0;0;0;10;12;4;0;0;2;6;2;0;0;0;0;0;2;6;6;0;0;2;0;0;2;0;0;2;2;0;6;0;2;0;4;2;4;8;2;0;0;2;0;0;2
