;united;states;president;great;new;trump;people;national;house;man;american;federal;york;news;love;government;good;state;republican;article;obama;party;donald;media;may;world;white;campaign;administration;court;story;country;bill;big;democrats;called;election;justice;democrat;police;times;city;russia;information;thank;china;report;trying;help;working;america;fake;2016;real;department;washington;usa;left;presidential;told;share;fbi;truth;proud;work;asked;important;governor;copy;following;clinton;wednesday;jobs;finally;radical;use;best;think;security;week;congress;job;fact;law;year;million;press;sanders;bernie;hoax;tuesday;could;killed;senator;powerful;health;office;americans;yesterday;history
united;0;64;16;4;2;6;10;4;8;4;8;4;2;4;2;6;4;2;0;2;0;0;0;4;0;6;6;0;0;4;2;2;0;2;0;2;0;4;2;2;0;0;2;0;2;2;2;0;0;2;10;2;0;0;2;2;0;0;0;2;0;2;4;4;0;2;6;0;0;4;0;0;2;0;0;2;0;6;2;0;0;2;2;2;4;2;0;0;0;2;4;4;2;0;4;2;2;2;0;2
states;0;0;12;6;2;6;8;6;8;2;4;4;2;4;2;6;4;4;0;2;0;0;0;4;2;6;6;0;0;6;2;2;0;2;0;4;0;2;0;4;0;0;2;0;2;2;2;0;2;2;10;2;0;0;2;2;0;0;0;0;0;2;4;2;0;2;4;0;0;4;0;0;2;0;0;2;0;6;0;0;0;2;2;2;4;2;0;0;0;2;2;4;2;0;4;2;2;0;0;2
president;0;0;0;4;4;24;8;6;6;8;6;4;4;10;4;6;4;2;0;0;6;0;6;16;2;2;6;6;0;2;2;0;0;4;2;2;4;0;0;2;4;0;10;4;0;0;4;2;2;4;6;8;6;0;0;0;4;0;8;0;2;4;6;0;0;2;4;2;2;0;0;6;2;0;2;0;0;0;0;2;2;2;6;2;4;0;0;0;0;4;2;4;0;0;2;2;2;0;6;8
great;0;0;0;0;2;6;8;10;2;6;6;4;0;2;6;0;6;6;4;2;6;0;2;0;0;4;2;2;4;2;6;6;4;0;2;4;2;2;0;0;2;2;0;0;8;0;0;2;4;4;10;0;0;0;2;6;0;0;2;2;2;0;0;2;2;2;2;4;0;0;0;0;2;2;0;2;2;0;2;0;2;4;4;0;2;2;2;0;0;0;0;0;0;0;2;2;2;2;0;4
new;0;0;0;0;0;8;4;4;2;6;4;2;30;2;4;6;4;2;2;0;4;0;2;4;2;2;2;6;2;2;0;4;2;2;0;4;4;4;0;0;16;6;4;2;2;0;4;0;2;0;0;2;2;0;2;2;4;0;4;0;0;4;4;2;2;2;0;2;2;2;0;0;4;4;0;6;2;2;2;2;0;2;0;0;0;2;0;2;2;0;2;0;0;2;2;0;0;4;2;2
trump;0;0;0;0;0;0;4;4;2;8;4;8;6;8;2;4;0;0;8;2;6;6;22;12;4;0;4;8;8;2;0;0;6;2;4;2;2;4;2;0;6;0;6;2;2;2;4;2;2;4;0;4;2;0;2;4;0;4;4;0;4;6;6;0;0;4;0;0;4;0;4;0;0;0;6;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;2;2;0;0;2;2;0;0;6;0
people;0;0;0;0;0;0;0;4;0;4;8;4;2;0;8;4;0;2;2;0;2;2;4;0;0;4;0;4;0;0;2;6;0;2;0;2;2;0;0;2;2;2;0;0;4;2;0;2;0;0;6;0;0;0;0;0;8;2;2;4;0;2;0;4;2;0;4;2;2;0;2;2;6;2;2;0;2;6;0;0;2;0;2;2;0;0;0;0;0;2;4;0;4;0;2;0;0;2;0;0
national;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;4;4;0;4;2;0;0;8;4;2;2;4;4;2;4;0;2;4;2;2;0;8;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;0;0;0;2;2;0;2;2;2;0;0;2;0;0;2;0;2;0;0;0;0;6;2;0;0;0;4;2;0;0;4;4;0;0;2;0;0;0;2;2;6;2;0
house;0;0;0;0;0;0;0;0;0;0;6;2;0;2;0;2;2;0;4;0;0;0;0;2;0;2;22;0;2;0;0;0;4;2;2;6;2;0;2;2;0;0;4;0;0;4;2;0;0;2;2;2;2;2;0;0;0;2;0;0;0;2;0;0;0;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;4;0;2;0;0;0;0;0;2;0
man;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;2;2;2;0;0;0;0;2;2;0;0;2;4;0;4;0;0;0;0;2;2;0;2;0;2;2;0;2;2;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;4;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;4;0;0;0;0;0;0;2
