;great;president;war;united;states;party;people;trump;news;new;republican;world;federal;end;nothing;fake;american;supreme;national;country;republicans;tuesday;government;state;written;presidential;called;americans;good;help;job;democrats;best;big;decision;man;hillary;another;department;worked;year;2016;security;idea;fbi;asked;women;university;texas;given;disaster;russia;donald;week;real;obama;important;used;love;political;deal;m3;nomination;released;justice;clinton;continue;calling;weapon;taking;court;popular;destruction;defense;investigated;bmw;take;nuclear;former;plans;power;working;trade;health;think;committee;pay;fact;congress;tight;media;terms;revolutionary;low;second;post;attack;holocaust;win;china
great;0;2;0;4;6;0;2;2;2;2;4;2;4;2;0;0;2;0;2;2;0;0;2;2;2;0;0;4;2;2;4;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;2;2;2;2;0;0;0;2;2;0;2;0;0;0;0
president;0;0;0;12;10;0;0;10;0;2;0;4;0;2;4;0;2;2;2;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;2;0;0;0;4;4;0;4;2;0;0;0;0;0;0;4;0;0;2;4;2;0;0;2;2;0;0;4;0;0;2;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;4;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2
war;0;0;0;0;0;0;2;4;2;0;0;6;0;2;2;2;0;2;0;2;0;0;2;0;2;2;0;2;0;4;0;4;4;0;2;2;2;2;0;0;0;0;2;0;0;0;2;2;2;0;0;0;4;2;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;2;2;0;0
united;0;0;0;0;18;0;2;4;0;0;0;6;0;2;2;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;2;0;4;2;0;0;2;0;0;0;4;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;2;2;0;0;0;2;4
states;0;0;0;0;0;0;2;2;0;0;0;6;4;2;2;0;2;0;0;2;0;0;4;0;0;2;0;2;2;0;2;0;0;0;0;2;2;0;2;0;2;2;0;2;2;0;0;2;0;0;0;4;0;0;2;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;2;0;4;0;2;0;0;0;2;2;0;0;0;0;0;4
party;0;0;0;0;0;0;2;0;0;0;8;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;4;0
people;0;0;0;0;0;0;0;0;2;2;2;0;2;8;0;0;6;0;4;4;0;0;0;2;0;0;6;2;0;2;2;0;0;2;0;0;0;4;2;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;4;0;4;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2
trump;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;2;4;0;0;2;0;0;0;2;2;0;2;0;2;2;0;0;2;0;2;0;2;0;6;4;2;2;0;2;0;0;0;0;0;2;8;0;4;0;0;0;0;0;2;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;2;0;0;0;0;4;0;2;0;2;0;0;0;2
news;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;12;0;0;2;4;2;0;2;2;0;2;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;2;2;2;2;0;0;4;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;2;2;0;0;2;0;4;4;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0
