;new;city;covid19;yorkers;york;people;help;crisis;health;testing;care;week;lives;hall;thank;call;workers;face;safe;join;work;social;community;hospitals;protect;support;together;fight;public;next;working;test;communities;home;distancing;federal;million;free;cant;take;country;coverings;front;nypd;sites;wont;latest;disease;still;businesses;heroes;weeks;seen;needs;medical;may;across;fighting;yorker;government;seeing;save;restart;311;coming;state;hospital;moment;tests;police;families;food;everyone;school;ventilators;#askmymayor;violence;hit;lost;making;comes;days;personnel;find;stay;@nychealthsystem;positive;anyone;summer;big;place;progress;students;could;lot;virus;something;year;kids;officers
new;0;288;122;292;258;52;104;106;74;44;66;40;46;12;58;56;46;48;58;24;44;50;36;18;42;30;34;48;32;28;40;40;24;36;44;12;26;30;22;20;24;30;32;20;24;30;12;20;20;12;18;22;14;20;16;24;24;24;60;12;20;24;14;26;26;26;12;20;18;8;14;32;12;12;6;22;6;8;20;22;20;10;20;16;16;20;14;14;14;10;12;10;8;16;12;10;16;14;8;8
city;0;0;160;70;226;70;66;80;46;36;30;42;48;140;42;36;24;22;52;84;26;20;18;12;20;20;28;34;16;18;30;22;26;34;12;18;12;32;6;20;38;6;16;26;12;22;66;14;10;10;18;4;14;14;12;16;34;10;10;16;12;16;16;14;22;16;10;24;14;18;14;14;22;4;10;20;14;14;16;16;12;6;14;16;16;10;8;12;6;16;8;4;6;16;12;4;10;12;2;16
covid19;0;0;0;40;56;34;26;76;44;34;34;16;20;90;18;12;20;10;10;50;16;10;16;10;14;18;18;46;6;6;8;22;14;10;8;4;0;10;8;8;24;4;20;6;2;18;64;16;4;4;22;2;14;10;8;10;6;12;20;2;4;12;4;8;8;4;4;2;10;4;10;10;4;4;2;24;2;16;8;4;4;8;8;10;4;12;26;16;0;2;8;6;4;2;6;2;4;4;4;6
yorkers;0;0;0;0;30;24;52;44;54;10;48;6;24;0;32;20;36;38;20;4;28;36;18;6;22;18;16;18;22;10;22;12;10;20;30;4;22;14;12;12;6;26;14;12;6;16;0;6;16;2;8;14;10;2;10;6;12;10;16;4;10;14;8;14;8;14;4;10;4;2;8;18;2;6;4;2;0;0;12;6;16;6;8;6;8;6;6;8;8;2;2;4;0;6;4;8;4;4;0;2
york;0;0;0;0;0;24;36;32;10;20;10;24;14;12;26;18;4;12;30;16;6;12;6;4;10;10;12;20;4;10;10;18;16;18;12;4;2;12;8;6;16;4;8;2;8;14;12;4;8;2;10;2;4;10;6;14;6;8;10;2;4;10;8;8;14;14;4;12;6;6;2;6;8;2;4;16;6;4;2;10;4;2;6;4;8;6;4;4;4;8;6;4;2;10;2;4;4;8;0;4
people;0;0;0;0;0;0;18;20;26;10;18;6;18;0;8;10;8;16;36;0;14;14;14;12;24;8;12;12;14;8;16;10;16;10;6;2;6;6;14;14;6;14;6;12;6;8;0;8;4;6;2;4;10;6;6;0;8;6;6;2;16;6;6;4;12;6;6;8;4;6;6;6;12;4;2;2;10;10;4;8;10;6;4;2;6;4;12;6;2;6;0;10;0;10;8;10;6;2;6;4
help;0;0;0;0;0;0;0;38;22;18;18;18;24;0;22;34;26;14;10;4;16;8;10;14;18;22;8;18;16;6;14;12;6;8;2;20;12;16;8;8;10;10;14;0;8;12;0;4;10;16;10;2;2;18;10;8;10;10;6;10;4;8;8;14;6;12;10;4;4;0;10;8;14;2;16;8;2;6;4;12;4;2;10;8;0;6;4;6;6;4;6;0;8;4;8;10;2;4;8;0
crisis;0;0;0;0;0;0;0;0;34;14;28;14;18;2;22;20;22;14;12;8;18;4;6;10;14;22;14;12;6;2;12;2;4;8;2;10;2;0;4;4;8;6;18;6;0;16;2;0;8;0;14;8;10;8;6;0;6;8;18;6;10;8;2;8;8;6;6;8;0;2;10;14;4;6;4;16;0;4;10;4;4;8;8;8;8;4;0;10;2;2;4;2;8;4;8;4;8;2;6;2
health;0;0;0;0;0;0;0;0;0;14;128;14;22;0;14;18;72;12;8;6;18;10;10;22;18;24;6;8;26;4;8;10;8;10;8;10;6;6;2;12;6;6;28;0;4;6;0;0;4;2;24;2;6;10;12;0;4;6;2;10;12;6;2;10;2;0;14;10;8;0;8;8;4;4;2;8;2;4;6;6;4;0;12;6;0;18;10;12;0;0;6;2;0;6;0;4;2;4;6;0
testing;0;0;0;0;0;0;0;0;0;0;18;24;4;0;6;10;12;4;8;0;2;4;26;4;2;2;8;10;6;18;2;42;8;4;2;34;0;24;8;8;4;4;4;2;42;4;0;18;8;0;0;10;6;8;6;4;20;4;2;22;2;0;6;6;10;0;8;0;30;0;0;0;2;2;0;2;0;10;0;4;6;2;6;14;0;14;10;8;0;4;4;8;0;8;4;6;4;0;2;0
care;0;0;0;0;0;0;0;0;0;0;0;12;14;0;16;20;72;8;8;6;14;4;6;20;12;22;8;12;16;8;8;20;8;10;4;6;6;4;4;14;4;2;28;0;6;6;0;2;2;4;26;2;2;2;10;0;4;6;4;4;10;6;2;8;2;2;10;8;6;2;2;4;2;0;2;6;0;4;2;4;4;2;10;10;0;14;6;2;0;2;4;0;0;4;0;0;4;0;0;0
week;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;10;10;2;2;0;2;10;12;10;0;4;2;6;32;4;14;2;4;0;12;4;6;6;4;2;4;2;0;14;4;0;8;2;4;2;8;0;2;6;20;8;2;2;8;4;4;4;0;12;6;10;2;16;0;0;0;2;0;14;4;2;2;2;8;4;8;4;4;2;4;6;2;6;6;8;4;2;2;6;2;0;4;4;0
