;arizona;#thearizonaway;state;thank;arizonas;#azbalanced;county;new;education;school;jobs;@natlgovsassoc;nation;law;#wethestates;proud;working;budget;#hcr2036;public;million;enforcement;president;welcome;arizonans;happy;communities;cooperation;work;@asu;great;continue;service;strong;nice;students;trade;ensure;invests;future;@tjshopeforaz;rural;birthday;@azcommerce;across;2020;kids;year;support;act@tjshopeforaz;governors;mexico;community;meeting;discuss;safety;#loveaz;lead;#azbirthday;@ktar923;white;phoenix;tomorrow;#openforopportunity;important;country;growing;continued;success;focus;@azdhs;close;address;people;@govlarryhogan;veterans;growth;broadband;leaders;everyone;city;@cactusleagueaz;economic;@juliepastrick;discussion;havasu;#veterans;americas;serve;sheriff;eliminate;@arizonatourism;@azcorrections;military;signed;center;@calsheehy;officials;international;infrastructure
arizona;0;40;34;26;14;22;0;10;16;14;14;8;16;4;10;22;18;8;2;12;8;2;8;12;4;8;10;0;12;10;8;18;6;6;2;8;6;14;6;10;6;4;2;12;12;4;10;6;6;0;2;8;4;0;4;8;12;12;12;2;2;4;4;6;4;8;6;6;6;6;8;6;0;4;6;4;6;2;4;2;2;4;6;2;2;0;6;2;2;0;4;2;2;4;8;4;0;2;4;8
#thearizonaway;0;0;24;14;14;34;18;6;8;12;12;0;2;22;0;6;10;18;22;14;14;18;4;8;8;2;10;18;4;6;2;4;0;4;2;8;2;8;14;4;10;8;0;2;6;4;6;2;4;14;0;0;2;0;0;8;0;4;0;0;0;0;6;0;0;6;2;2;2;2;4;8;8;0;0;6;4;4;0;2;4;0;2;6;0;6;6;2;0;8;4;0;4;4;0;0;6;0;0;0
state;0;0;0;14;14;12;6;6;4;0;4;2;12;2;2;4;2;10;2;6;8;0;0;4;4;2;6;0;2;2;4;4;2;4;0;2;2;6;6;0;4;4;2;2;10;6;0;0;2;0;2;2;4;2;4;4;4;4;4;0;0;0;0;2;4;4;2;8;2;2;2;0;8;0;2;6;4;2;0;2;2;2;4;2;0;2;2;0;4;0;6;0;2;6;2;0;4;0;2;4
thank;0;0;0;0;14;4;6;2;6;4;2;2;2;2;2;2;2;2;2;6;2;0;2;6;2;0;0;0;6;8;2;2;6;0;0;4;2;0;2;2;6;0;0;2;0;4;2;6;4;0;2;2;4;2;8;2;0;0;0;4;0;0;0;0;6;2;4;2;4;0;0;2;0;0;0;2;2;0;6;6;2;0;0;4;6;4;0;2;2;0;2;0;0;4;0;2;2;0;2;0
arizonas;0;0;0;0;0;8;6;4;6;0;4;2;4;0;4;6;0;8;0;2;4;0;0;0;0;0;4;0;4;4;0;0;4;6;2;2;6;0;2;4;0;6;2;4;4;6;2;4;4;0;2;2;4;4;4;2;0;4;0;2;0;0;2;0;4;2;4;4;6;0;0;0;0;0;2;4;2;4;4;4;0;0;0;2;6;2;2;2;0;0;4;0;0;4;0;2;2;0;2;0
#azbalanced;0;0;0;0;0;0;0;6;4;6;4;2;4;0;2;2;10;22;0;12;14;0;0;4;2;0;6;0;0;4;0;0;0;0;0;4;0;8;16;2;0;6;0;0;4;0;2;0;2;0;0;0;0;0;0;8;0;2;0;0;0;0;4;0;0;4;0;2;2;0;4;6;0;0;2;8;0;4;0;0;0;0;2;0;0;0;6;2;0;0;6;0;2;6;0;0;0;0;0;2
county;0;0;0;0;0;0;0;0;2;0;2;0;4;12;0;0;0;0;12;0;0;12;2;0;0;0;0;12;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;6;0;4;0;10;0;0;4;0;6;0;0;0;0;0;0;2;0;0;4;2;2;4;4;0;0;2;2;0;0;0;4;0;0;4;0;2;0;0;0;2;0;0;0;8;0;2;2;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;0;2;4;4;2;2;0;2;0;0;6;0;6;4;0;0;2;2;0;0;0;2;0;0;0;4;0;0;2;0;2;6;0;0;0;2;4;4;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;4
education;0;0;0;0;0;0;0;0;0;2;4;2;4;0;2;4;4;4;0;6;2;0;0;0;0;2;2;0;0;4;0;4;0;0;0;2;0;6;4;4;0;0;0;2;2;2;4;0;2;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;2;0;4;0;2;0;0;0;0;0;2;0;2;0;4;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;4;4;0;2;0;0;2;2;0;2;0;0;0;0;2;2;8;0;0;4;2;0;0;0;0;0;0;6;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0
jobs;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;2;0;2;2;0;0;0;2;0;2;0;2;6;0;4;0;0;0;2;6;4;2;2;0;0;0;10;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
@natlgovsassoc;0;0;0;0;0;0;0;0;0;0;0;0;4;0;20;2;2;2;0;2;0;0;0;2;0;0;2;0;4;0;0;2;0;6;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;2;0;0;2;0;2;2;10;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;4;0;2;2;0;0;2;0;4;0;0;2;4;4;0;0;0;0;2;0;2;2;4;0;0;2;2;4;0;0;2;0;0;0;0;0;0;0;2;4;2;4;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;4;2;2;0;2;0;0;2;2;0;2;0;2;2;0;0;2;2;0;2;2;0;0;0;2;4
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;0;20;2;0;2;0;0;18;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;14;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
#wethestates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;4;0;4;0;2;4;0;6;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;6;2;0;2;0;4;0;2;0;0;0;0;2;2;2;0;2;2;0;0;2;0;2;2;10;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;4;0;4;2;0;0;0;2;0;2;0;0;0;4;0;4;0;2;2;2;4;0;2;0;0;0;2;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;6;0;0;2;0;4;2;0;0;0;0;10;0;4;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;4;6;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;4
budget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;2;16;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;6;0;4;0;0;0;0;0;0;0;0;2;0;0;0;6;0;2;6;0;0;0;0;0;2
#hcr2036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;18;2;0;2;0;0;18;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;14;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;4;0;0;4;0;2;4;2;0;2;0;4;8;0;2;2;0;0;2;0;4;0;0;0;0;0;2;0;0;6;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;2;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;12;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;2;4;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;2;0
enforcement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;14;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0
welcome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2
arizonans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;4;2;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0
happy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;8;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;6;0;2;0;8;0;0;4;0;0;0;4;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
