;great;president;trump;united;states;people;new;house;american;federal;man;obama;state;party;news;government;administration;country;national;republican;campaign;white;media;department;senate;democrats;fbi;article;military;committee;world;donald;help;big;working;washington;court;former;police;may;think;best;thank;americans;supreme;bill;year;election;america;presidential;crime;called;job;fake;city;political;justice;death;hillary;china;left;post;russia;congress;investigation;attack;trying;care;good;act;continue;york;law;war;history;use;important;win;texas;j;2016;show;number;information;report;high;source;clinton;general;bad;real;asked;game;usa;coming;fact;part;women;believe;investigating
great;0;22;18;8;6;22;20;12;18;4;2;0;8;6;14;8;6;18;10;10;2;6;2;4;2;8;0;0;4;6;2;4;8;12;6;4;2;0;0;0;4;4;10;2;2;2;6;2;10;2;0;2;18;6;0;2;2;0;2;6;0;0;0;4;0;4;4;6;2;2;0;4;0;4;4;0;2;4;6;4;0;4;0;0;10;4;0;4;4;0;10;4;0;2;6;2;2;2;4;0
president;0;0;80;32;30;22;20;14;12;6;6;26;14;2;6;12;8;8;6;2;10;6;6;6;6;6;16;6;2;2;4;20;6;2;6;16;6;12;0;8;14;2;0;0;4;6;4;6;0;4;8;8;12;4;0;4;2;6;2;10;2;2;6;6;6;2;2;0;4;2;2;4;8;2;8;2;2;2;2;10;0;2;0;2;0;0;2;2;8;4;4;8;0;2;2;4;2;0;4;8
trump;0;0;0;26;20;16;16;12;8;0;6;8;12;6;6;4;18;2;10;20;34;8;10;4;2;4;18;2;6;6;4;48;6;2;8;22;2;10;0;8;8;4;0;4;2;2;0;8;4;14;4;8;8;4;0;8;0;0;10;6;0;8;14;4;12;2;4;0;6;4;2;6;2;4;4;0;4;0;4;22;10;2;0;4;4;2;0;10;6;4;10;4;0;4;4;6;2;0;2;6
united;0;0;0;0;122;12;6;12;4;6;4;6;4;0;6;10;10;8;8;2;6;12;4;4;10;4;0;2;6;0;4;10;8;0;4;8;4;4;0;0;6;0;2;4;2;2;4;4;4;4;2;6;0;4;4;0;0;4;0;8;4;6;4;2;2;6;2;0;2;2;6;2;2;4;4;4;2;4;0;6;2;2;2;0;0;2;0;0;2;2;2;4;0;2;0;2;6;2;4;0
states;0;0;0;0;0;12;6;12;4;10;4;8;6;2;6;12;10;8;6;2;4;12;4;6;10;2;2;2;4;0;4;10;10;2;6;6;4;2;0;2;4;2;2;2;2;2;4;4;6;2;2;6;0;4;4;2;2;6;2;8;4;6;4;2;2;8;2;2;2;6;6;2;2;4;2;2;2;4;0;8;4;2;4;2;0;2;0;2;2;2;0;2;0;2;0;2;4;2;2;0
people;0;0;0;0;0;0;10;10;30;4;6;4;6;12;4;12;10;18;6;10;4;8;4;4;2;4;4;0;0;6;6;2;12;6;10;4;2;6;2;2;8;4;0;4;2;4;2;0;4;2;0;2;4;4;4;0;0;4;0;4;2;2;2;8;0;6;4;10;4;6;6;6;0;0;2;0;0;2;0;4;4;2;2;0;2;4;0;0;0;2;4;4;0;0;0;0;0;2;0;0
new;0;0;0;0;0;0;0;4;10;8;4;16;6;4;8;8;12;6;4;8;6;6;2;4;4;2;4;2;2;0;4;6;0;0;0;0;4;6;4;4;4;4;4;2;2;6;4;0;4;0;6;4;8;2;4;6;0;0;2;4;6;2;2;6;2;4;0;6;2;4;2;28;2;4;4;2;0;0;2;2;0;4;2;0;4;4;4;2;8;2;2;2;0;4;6;2;6;0;2;0
house;0;0;0;0;0;0;0;0;6;0;2;8;2;2;10;2;6;4;8;0;0;40;6;0;10;10;10;2;2;16;0;2;0;4;4;2;0;2;0;2;4;0;6;2;0;6;0;0;2;0;0;0;4;2;0;2;0;2;2;0;4;0;6;4;6;2;6;0;4;4;2;0;0;0;0;0;2;4;2;2;2;4;2;4;2;0;0;2;0;2;0;6;0;2;2;0;0;0;4;4
american;0;0;0;0;0;0;0;0;0;4;4;10;2;6;2;4;14;6;4;6;4;2;4;2;0;6;6;0;0;2;4;0;2;2;4;2;0;4;0;4;2;0;0;2;0;2;0;2;0;4;6;6;4;4;0;10;2;2;4;0;4;2;2;12;0;0;6;4;0;4;2;2;2;2;14;0;0;0;0;0;2;0;0;2;2;0;0;2;2;4;0;0;0;0;2;0;0;0;2;0
federal;0;0;0;0;0;0;0;0;0;0;2;8;8;0;2;22;6;4;0;0;0;0;0;2;4;0;0;2;0;2;2;0;4;2;4;4;8;2;2;2;0;2;0;0;8;4;0;0;0;0;4;2;0;0;4;0;0;4;2;0;0;2;2;0;2;0;2;2;0;2;0;2;2;6;0;2;2;2;0;2;2;0;0;0;4;2;0;2;4;0;0;0;0;0;4;2;0;0;0;2
