;new;president;united;trump;people;obama;states;great;federal;article;government;york;house;man;season;administration;party;released;department;iran;fbi;may;second;democrats;good;news;white;reserve;campaign;american;announce;fire;statement;big;week;senate;give;chicago;told;team;republican;arrested;vote;use;national;times;illegal;happy;law;state;police;investigating;yesterday;best;city;comey;texas;book;force;billion;episode;democrat;days;left;beyond;interest;pay;military;deal;proud;join;cannot;according;decided;final;head;fact;amazing;former;bill;congress;issue;killed;confirmed;south;announced;ratesthe;john;friend;european;everyone;decision;part;cbo;trying;thank;illegally;director;america;person
new;0;4;2;8;0;4;2;4;2;4;0;14;0;4;4;4;2;2;0;2;4;0;2;0;2;0;0;0;0;4;4;2;0;0;2;2;2;2;0;2;0;0;0;0;0;8;0;2;2;0;0;0;2;0;2;2;0;2;0;2;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;4;4;0;2;0;2;0;0;2;0;4;0;0;2;0;0;0;0;2;2;0;0;4;0;4
president;0;0;4;10;0;8;4;4;2;0;2;2;2;0;0;2;2;2;2;2;4;2;4;0;2;2;0;2;2;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;2;0;2;0;2;0;2;2;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;2;0;0;0;6;4;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;6;2;0
united;0;0;0;2;2;0;18;0;4;0;2;2;2;0;0;0;2;0;0;4;0;0;4;0;2;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;2;2;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
trump;0;0;0;0;6;4;2;2;4;0;0;4;2;0;0;8;0;0;4;0;4;0;0;0;2;2;0;0;4;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;4;4;0;4;0;0;0;4;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;4;2;0;0;0;0;4;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;4;6;0;0
people;0;0;0;0;0;0;2;0;2;0;2;0;0;4;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0
obama;0;0;0;0;0;0;0;2;0;2;2;2;6;0;0;10;0;0;2;2;0;2;2;2;0;0;4;0;2;2;2;2;2;0;0;2;0;2;2;0;0;0;2;0;0;2;4;4;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;2;0
states;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;0;2;0;0;4;0;0;4;0;2;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;2;2;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
great;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;6;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;4;0
federal;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
article;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;2;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;4;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;2;2;0;0;10;0;2;0;0;2;2;0;0;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
season;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0
