;people;great;states;united;party;new;american;trump;president;republican;house;left;state;trying;radical;obama;man;white;democrats;campaign;court;help;republicans;country;media;district;senator;texas;care;national;bill;senate;supreme;may;away;attack;federal;support;green;article;administration;vote;news;king;terrorist;york;replace;work;congress;big;tom;america;provide;2016;working;fight;murder;reaching;full;important;special;approved;race;health;saying;25;team;please;city;presidential;hate;deal;killed;thank;complete;passed;european;latest;huge;judge;take;repeal;blocked;losing;plan;8;caught;week;voted;tuesday;business;death;interests;obamacare;highly;caused;close;pass;video;act
people;0;10;6;6;2;4;12;4;4;0;0;4;2;4;4;2;0;0;4;0;2;2;2;4;0;0;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;4;2;2;0;2;0;2;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;2;2;2
great;0;0;6;6;2;2;6;0;2;4;0;2;6;0;2;0;4;2;2;0;0;6;0;4;0;0;4;0;0;4;2;4;0;0;4;0;0;2;0;0;0;2;0;0;0;2;0;0;2;6;4;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;4;0;4;0;0;2;2;0
states;0;0;0;24;2;6;0;2;4;2;4;0;2;2;0;0;4;4;0;0;4;2;0;4;0;6;0;2;0;2;2;0;2;0;4;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;4;4;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;2;4;0;2;0;0;0;0;0
united;0;0;0;0;0;4;2;2;6;0;2;0;0;2;0;0;4;4;0;0;4;2;0;2;0;4;0;2;0;2;0;0;2;0;4;2;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;2;4;0;2;0;0;0;0;0
party;0;0;0;0;0;0;0;0;0;10;2;2;4;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;2;4;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2
new;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;0;0;2;2;0;2;4;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;2;2;4;0;0;2
american;0;0;0;0;0;0;0;2;4;0;0;2;0;0;2;2;0;0;4;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;4;0;4;2;0;0;2;2;0;2;4;4;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
president;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;0;2;0;2;0;0;0;0;2;0;4;0;2;2;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;2;0;4;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;2;0;0;0;0;0;2;2;2;2;2;4;2;2;4;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
