;city;thank;toronto;community;together;sidewalks;residents;please;pleasure;developers;support;public;@carolyn_bennett;health;transit;take;join;citys;email;lanes;feel;remarkable;discuss;council;welcome;priorities;new;staff;family;closely;morning;feb;people;light;local;working;councillor_matlow@torontoca;evening;roads;friends;year;wonderful;streets;neighborhood;important;pauls;torontost;appreciate;care;councillor;happy;life;students;environment;ford;road;certainly;everyone;safe;enjoyed;oakwoodvaughan;possible;completely;work;school;bike;roslyn;visit;believe;thoughtful;heres;quality;supportive;proud;service;lrt;accessible;communities;invited;amazing;@aijagreen;hall;write;youth;rather;could;members;@tps13div;provide;event;1;great;focusing;rapid;likely;infection;hear;month;world;housing
city;0;6;14;4;4;12;8;2;4;10;4;6;0;4;2;0;2;6;2;8;2;0;8;10;2;8;2;10;0;0;2;2;2;0;2;0;2;4;4;2;2;0;4;0;4;4;4;2;2;6;0;0;2;4;0;4;4;0;4;2;2;0;2;2;2;4;2;2;2;0;2;0;0;2;2;0;4;4;2;0;0;8;0;4;0;4;2;0;0;2;0;2;2;0;0;0;2;2;0;0
thank;0;0;0;10;0;2;4;4;2;2;8;2;2;0;0;0;0;2;0;0;0;2;2;4;0;2;0;2;0;2;0;0;0;0;0;4;0;2;0;0;0;2;2;2;2;0;0;4;4;2;0;0;2;2;0;0;0;2;0;4;2;0;0;2;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;4;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;0;0
toronto;0;0;0;4;4;12;2;4;2;10;0;6;0;6;2;6;2;4;0;8;0;2;6;6;0;2;4;0;0;0;4;2;0;0;2;2;0;0;10;0;2;0;0;0;2;6;6;0;0;2;0;0;4;2;0;0;0;0;2;0;0;2;0;0;0;6;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;6;2;0;0;0
community;0;0;0;0;2;0;6;0;4;0;2;2;6;0;0;0;6;2;0;0;2;0;2;2;2;4;2;0;4;0;0;6;2;0;4;2;0;2;0;4;0;0;2;4;4;8;8;4;4;0;2;0;0;2;0;0;0;4;0;0;4;0;2;2;0;0;0;0;2;0;2;0;4;2;4;0;0;0;6;2;0;2;2;0;0;0;4;4;2;2;4;0;2;0;0;0;0;0;2;2
together;0;0;0;0;0;2;4;2;10;2;0;6;2;2;2;8;0;2;0;2;2;2;0;0;0;4;2;4;2;8;6;0;0;0;4;6;0;4;2;2;0;0;2;2;0;0;0;0;2;0;0;4;2;0;0;2;0;0;0;0;2;0;4;4;2;2;2;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;6;2;0;0;2;0;0;2;0
sidewalks;0;0;0;0;0;0;2;0;0;18;0;2;0;0;0;2;0;8;0;14;0;0;4;6;0;0;2;2;0;2;2;0;2;0;0;2;0;0;12;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;6;0;0;0;4;0;0;8;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
residents;0;0;0;0;0;0;0;0;2;2;2;4;0;2;0;0;2;4;0;0;0;0;4;2;2;8;4;4;0;2;2;2;0;0;6;0;0;4;0;0;0;2;2;6;4;6;6;0;2;2;0;4;0;0;2;2;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;4;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2
please;0;0;0;0;0;0;0;0;2;0;0;4;0;4;0;4;0;0;12;0;12;0;2;2;12;0;0;2;0;0;0;0;0;0;2;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0
pleasure;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;2;6;4;0;0;0;2;2;0;4;0;2;0;0;0;2;0;2;2;2;2;2;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;2;4;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;6;2;0;0;0;0;2;0;0
developers;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;8;0;12;0;0;4;6;0;0;0;2;0;2;2;0;0;0;0;2;0;2;10;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;8;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
