;great;government;trump;news;president;new;states;people;united;man;white;national;federal;house;fake;#include;russia;thing;obama;media;democrats;police;love;investigation;bad;world;american;group;attack;york;sunday;men;justice;country;administration;fbi;night;women;business;senate;help;biggest;working;big;north;best;shot;nothing;job;history;called;department;court;full;million;left;friend;defensive;defeat;restaurant;syrian;development;yes;good;party;says;war;monday;another;times;democratic;complete;killed;hard;10;tv;wide;meat;family;thought;republican;state;city;head;thank;free;lot;shows;making;gun;seen;exactly;trying;failing;girls;political;reuters;radical;cruise;race
great;0;4;0;0;2;2;2;2;2;0;0;0;2;0;0;0;2;0;0;0;4;0;4;0;2;0;4;0;0;0;2;0;0;2;0;0;0;0;2;2;0;2;2;4;0;4;0;0;4;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;4;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0
government;0;0;2;0;8;4;4;0;4;4;2;2;4;2;0;0;4;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;2;2;2;4;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;2;2;0;0;0
trump;0;0;0;10;12;6;4;0;4;4;0;4;0;0;6;0;2;0;4;2;4;0;0;4;2;2;0;2;4;2;2;0;6;0;2;4;2;2;0;0;2;0;2;2;0;0;0;2;0;2;2;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2
news;0;0;0;0;6;6;0;0;0;4;2;2;0;2;10;0;0;2;0;4;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0
president;0;0;0;0;0;2;4;0;4;4;2;4;4;2;4;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
new;0;0;0;0;0;0;4;2;4;6;0;0;0;0;4;0;2;0;0;2;0;2;0;0;2;2;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;2;0;2;0;4;0;2;2;0;0;0
states;0;0;0;0;0;0;0;2;20;2;0;2;0;0;0;0;0;4;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;4;2;0;0;0;4;0;0;0;2;4;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;2;2;0;2;0;2;2;0;0;2;0;2;4;4;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;2
people;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;2;4;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0
united;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;4;2;0;0;0;4;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;4;4;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2
man;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;2;0;0;0
