;testing;#covid19;visit;tennessee;free;state;health;tennesseans;group;tennessees;guidance;covid19;95;information;new;guidelines;thanks;care;unifiedcommand;local;week;across;economic;safely;efforts;#tennesseepledge;access;businesses;may;89;continue;doubt;recovery;full;counties;states;work;order;test;todays;offer;families;pandemic;safe;county;issued;capacity;voluntary;#tnpledge;workers;help;community;executive;support;protect;reopen;available;icymi;bulletin;remember;critical;briefing;continues;line;5;weekend;earlier;received;partnerships;public;nashville;locations;employees;days;sites;department;worship;interpretation;social;400;starts;leaders;expanded;reopening;facebook;50;noncontact;operate;ct;customers;face;ppe;regardless;contact;@tndeptofhealth;economy;tremendous;provide;service;front
testing;0;74;38;20;58;28;28;22;26;16;2;24;14;28;18;2;22;10;28;18;10;26;4;4;16;2;0;2;18;2;10;22;2;0;0;2;12;10;16;10;18;8;2;2;16;0;6;18;0;6;0;4;8;8;2;2;10;10;12;10;6;8;16;0;12;12;0;12;6;0;4;14;0;12;12;10;2;4;0;4;4;0;12;2;4;0;0;0;4;0;8;2;12;6;6;0;2;10;0;0
#covid19;0;0;40;20;50;22;28;20;26;12;10;10;12;28;20;2;22;6;24;18;14;22;10;4;14;0;4;4;18;0;18;22;8;0;0;0;8;12;16;18;18;8;4;6;18;2;4;16;4;4;2;2;10;6;2;4;10;12;14;12;6;14;16;2;12;12;4;4;6;2;4;14;0;12;10;12;4;12;2;12;12;4;10;8;12;0;6;0;12;0;8;2;10;6;4;2;0;8;4;0
visit;0;0;0;14;38;14;26;14;18;20;12;12;22;38;4;14;16;4;14;16;8;10;12;18;6;14;14;10;18;8;14;14;6;10;8;8;8;2;6;0;12;8;4;2;16;4;4;14;6;4;4;2;2;4;6;10;4;10;0;4;0;0;8;4;10;4;4;0;0;8;2;12;10;8;0;10;2;0;4;0;0;2;0;0;0;6;4;8;0;8;12;0;6;2;6;2;2;6;4;0
tennessee;0;0;0;0;12;14;14;2;12;2;6;14;6;8;8;6;6;6;8;4;6;8;4;6;6;2;4;2;8;2;4;0;4;2;0;6;2;2;2;4;10;12;4;2;4;4;0;6;4;2;6;4;2;6;10;6;2;0;2;2;0;4;4;4;2;0;4;0;0;6;4;4;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;6;8;4;2;4
free;0;0;0;0;0;16;26;20;18;6;0;14;14;26;0;0;20;4;20;20;12;20;0;4;6;0;0;0;16;0;10;20;0;0;0;4;8;0;14;0;18;6;4;0;18;0;2;18;0;4;2;4;0;4;0;0;12;8;0;8;4;0;8;0;14;8;0;10;2;0;4;14;0;14;10;10;0;0;0;0;0;0;2;0;0;0;0;0;0;0;10;0;12;2;2;0;0;8;0;0
state;0;0;0;0;0;0;14;16;4;6;2;10;10;2;14;4;8;2;4;14;12;22;0;2;8;4;2;4;0;2;4;10;0;2;0;0;10;6;8;2;12;8;2;6;10;0;6;0;2;2;2;6;2;6;0;2;2;2;4;6;2;0;4;0;10;2;2;4;0;2;0;8;4;10;6;8;0;0;2;0;0;2;4;2;0;0;2;2;0;4;8;0;10;4;2;0;2;2;2;0
health;0;0;0;0;0;0;0;16;6;10;6;14;16;6;2;4;10;18;6;22;12;16;8;2;12;4;8;4;6;2;2;10;2;0;2;8;2;2;10;2;16;0;2;0;20;4;2;0;2;14;6;6;0;0;4;2;6;0;2;4;4;0;0;6;14;0;2;4;4;8;0;12;2;12;4;12;0;0;0;0;0;0;4;0;0;2;0;2;0;2;10;4;8;2;2;4;2;0;0;8
tennesseans;0;0;0;0;0;0;0;0;10;0;10;16;4;4;12;8;8;8;6;8;6;12;8;10;12;6;8;6;2;4;10;6;6;2;2;14;10;2;6;2;2;2;6;10;2;4;8;2;6;6;4;2;2;0;2;6;8;2;2;4;8;0;0;2;2;4;2;10;6;0;0;2;4;2;10;0;0;0;2;0;0;0;2;4;0;2;4;4;0;4;0;2;6;4;0;4;4;0;0;2
group;0;0;0;0;0;0;0;0;0;10;12;10;10;16;8;12;8;6;32;0;10;2;18;6;6;10;2;6;10;10;8;6;18;6;8;6;2;2;2;4;2;4;2;8;0;12;12;10;6;4;4;0;2;4;4;0;2;4;4;2;2;2;8;0;0;2;4;4;4;0;6;0;2;0;2;0;0;0;4;0;0;0;4;6;0;2;6;4;0;2;0;0;0;0;2;0;2;6;2;0
tennessees;0;0;0;0;0;0;0;0;0;0;6;6;8;10;4;10;8;14;8;2;0;2;2;10;2;0;6;8;8;8;8;2;0;8;8;2;2;4;0;2;0;4;4;0;0;2;4;2;10;6;2;4;2;6;2;2;0;8;4;2;4;0;2;4;0;2;2;0;2;2;2;0;0;0;2;0;6;0;0;0;0;6;2;6;0;8;2;4;0;0;0;4;0;4;2;2;0;4;8;6
