kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
#forthepeople,5,join,5,vote,5,administration,4,science,4,mcconnell,5,trial,21,testing,12,public,11,trial,21
#protectourcare,5,bipartisan,5,capitol,5,emergency,4,americas,4,vote,5,truth,21,#sotu,12,speaking,11,truth,21
commitment,5,trumps,5,country,5,de,4,administration,4,black,5,admin,21,put,12,committed,11,admin,21
continue,5,protect,5,across,5,donald,4,support,4,finally,5,rights,21,power,11,protecting,11,rights,21
end,5,government,5,economic,5,#amr,4,children,4,law,5,speaking,21,support,11,resources,11,speaking,21
world,5,opportunity,4,agreement,5,life,4,delay,4,rights,5,#coronavirus,20,rights,11,community,11,#coronavirus,20
actions,5,safe,4,working,5,essential,4,committed,4,combat,5,constitution,20,passed,11,businesses,11,constitution,20
stop,4,@senschumer,4,action,4,select,4,plan,4,workers,5,nation,20,congressional,11,lgbtq,11,nation,20
75,4,continue,4,equal,4,start,4,state,4,stop,5,@housedemocrats,20,watch,11,responsibility,10,@housedemocrats,20
watch,4,loved,4,ireland,4,local,4,1045,4,clear,4,clear,20,stand,11,leader,10,clear,20
resolution,4,workers,4,funding,4,conference,4,spread,4,court,4,nationwide,20,tonight,10,live,10,nationwide,20
rico,4,country,4,relief,4,#lssc,4,act,4,square,4,emergency,20,speaking,10,administration,10,emergency,20
seen,4,hardworking,4,signature,4,take,4,pattern,4,committed,4,thank,19,week,10,thank,10,thank,19
forward,4,watch,4,best,4,decisions,4,relief,4,shameful,4,government,19,strong,10,rights,10,government,19
duty,4,budget,4,oversight,4,response,4,truth,4,shocking,4,family,19,@housedemocrats,10,law,10,family,19
ensure,4,together,4,take,4,goes,3,may,4,#juneteenth,4,police,19,continue,10,clear,10,police,19
forever,4,power,4,personal,4,money,3,across,4,statement,4,trumps,19,clear,10,care,10,trumps,19
environment,4,democracy,4,congress,4,ensuring,3,still,4,ruling,4,resources,19,commitment,10,family,10,resources,19
lives,4,financial,4,frontline,4,clear,3,protect,4,discrimination,4,democracy,19,coverup,10,@housedemocrats,10,democracy,19
message,4,#coronavirus,4,protective,4,press,3,law,4,message,4,community,18,equal,10,essential,9,community,18
top,4,@repescobar,4,tune,4,americas,3,enough,4,nation,4,covid19,18,message,10,supreme,9,covid19,18
proud,4,del,4,together,4,#latelateshow,3,continue,4,et,4,fighting,18,country,10,history,9,fighting,18
reporters,4,#forthepeople,4,desk,4,passed,3,reporters,4,may,4,protections,18,working,10,access,9,protections,18
poland,4,epidemic,4,pass,4,por,3,students,4,deserve,4,state,18,take,10,mark,9,state,18
cannot,4,state,4,immediately,4,weekly,3,republicans,3,step,4,working,17,together,10,honor,9,working,17
survivors,4,republicans,4,work,4,interim,3,beijings,3,economic,4,#justiceinpolicing,17,national,10,expand,9,#justiceinpolicing,17
impeached,4,message,4,coverage,4,vote,3,frontline,3,testing,4,responsibility,17,year,9,human,9,responsibility,17
vote,4,pleasure,4,live,4,relief,3,show,3,human,4,support,17,pass,9,progress,9,support,17
