;covid19;update;live;governor;hutchinson;provides;arkansas;news;health;provide;conference;holding;watch;130pm;response;state;media;arkansans;continue;may;work;public;thanks;#askgovhutchinson;great;testing;announced;guidance;ar;people;week;next;follow;thank;social;efforts;masks;guidelines;spread;federal;care;states;service;arkansass;experts;covid;national;distancing;working;grateful;cases;businesses;economic;hope;recovery;workers;safe;school;question;situation;protect;support;law;crisis;12;help;number;tests;hospital;daily;22;hard;lives;medical;wearing;department;evaluate;across;able;dr;governors;level;new;fund;discuss;yesterday;phase;services;year;tested;emergency;month;local;thankful;enforcement;face;encourage;business;home;meeting
covid19;0;248;138;136;136;138;28;100;28;102;100;98;98;94;76;12;64;6;10;4;12;18;2;4;6;4;12;2;0;0;2;4;0;6;6;4;4;2;8;2;6;2;10;14;0;0;0;6;6;6;6;4;6;2;4;2;0;2;0;0;4;4;0;8;4;8;8;4;2;8;2;0;2;12;4;10;2;2;4;8;14;0;10;6;8;6;0;2;2;6;4;2;2;8;0;6;2;2;6;4
update;0;0;136;136;136;136;6;98;4;100;100;98;98;96;64;2;66;0;2;2;6;4;0;0;0;0;6;2;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;6;0;2;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;4;0;0;10;0;0;2;0;2;4;0;0;6;0;2;0;2;2;0;4;2;0;2;0;0;0;4;2;0;2;0;0;4;0
live;0;0;0;148;148;136;6;2;2;0;2;0;2;0;2;2;66;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;2;2
governor;0;0;0;0;148;136;2;2;0;0;2;0;2;0;2;4;66;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;2
hutchinson;0;0;0;0;0;136;2;2;0;0;2;0;2;0;2;2;66;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;2
provides;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;64;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
arkansas;0;0;0;0;0;0;0;6;24;4;4;2;2;0;6;26;2;20;12;12;22;8;6;8;10;10;8;0;6;16;10;6;0;14;2;6;10;4;4;4;10;4;4;8;0;8;6;2;4;6;8;4;4;0;2;6;8;2;0;0;2;0;4;8;8;8;8;4;2;2;0;8;2;4;6;6;0;10;2;6;4;0;2;0;2;2;2;4;4;2;2;6;2;8;2;4;4;4;4;2
news;0;0;0;0;0;0;0;0;0;100;104;102;100;94;60;0;0;0;0;2;2;0;0;0;4;2;2;0;4;4;0;2;0;0;2;0;2;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;2;4;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;4;2;2;0;2;0;2;0;0;0;2;2;4;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;28;0;18;32;8;12;36;20;16;4;8;10;28;14;2;16;14;24;4;4;10;8;10;10;18;16;4;4;8;24;4;6;4;8;4;8;6;4;16;6;12;4;2;10;16;6;8;0;14;8;14;4;4;4;4;4;4;2;12;4;12;14;0;2;8;8;14;4;0;4;0;6;6;0;0;14;2;2;4;0;4;2;6;0;4
provide;0;0;0;0;0;0;0;0;0;0;98;98;98;94;58;0;0;2;4;2;4;2;0;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;2;0;2;2;4;2;2;0;0;0;0;2;2;0;0;2;0;0;0;2;2;4;0;0;0;4;2;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0
