Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"Protect yourself, your family, and your community by wearing a face covering. Support your community by buying it from a local business.",160,2020-06-28 16:45:10,Twitter Web App,870,178,OregonGovBrown,1277281898503352321,,3023272478,False,https://t.co/6zrYhBtLVk,en,June,Q2,"['protect', 'family', 'community', 'wearing', 'face', 'covering', 'support', 'community', 'buying', 'local', 'business']"
"When it comes to preventing wildfires, there’s a lot at stake. In 2018, we had 897,263 acres burn in Oregon; over 70% of our wildfires are started by people, often from debris burning or unattended campfires. For more info on how you can help, visit",297,2020-06-27 23:42:50,Twitter for iPhone,102,27,OregonGovBrown,1277024621003280386,,3023272478,False,https://t.co/YgnLnpGian,en,June,Q2,"['comes', 'preventing', 'wildfires', 'theres', 'lot', 'stake', '2018', '897263', 'acres', 'burn', 'oregon', '70', 'wildfires', 'started', 'people', 'often', 'debris', 'burning', 'unattended', 'campfires', 'info', 'help', 'visit']"
I’m going live on Facebook in 15 minutes to discuss the end of special session—COVID-19 and police accountability.,114,2020-06-27 19:21:20,Twitter for iPhone,258,33,OregonGovBrown,1276958813908660224,,3023272478,False,,en,June,Q2,"['live', 'facebook', '15', 'minutes', 'discuss', 'end', 'special', 'sessioncovid19', 'police', 'accountability']"
"I called a special session to address two crises affecting Oregonians: the economic impacts of the COVID-19 pandemic and the epidemic of police violence. I'm proud of what legislators accomplished, but it's not the end of this work. It’s the beginning.",277,2020-06-27 02:29:48,Twitter Web App,328,63,OregonGovBrown,1276704251155079173,,3023272478,False,https://t.co/b4cwUbsxm8,en,June,Q2,"['called', 'special', 'session', 'address', 'crises', 'affecting', 'oregonians', 'economic', 'impacts', 'covid19', 'pandemic', 'epidemic', 'police', 'violence', 'proud', 'legislators', 'accomplished', 'end', 'work', 'beginning']"
"Face coverings will save lives. Last week, I announced the 7 counties where it's required to wear a face covering in indoor, public spaces. Other counties can request to opt in.

Clatsop County Board of Commissioners requested to join and will be the 8th county, effective 7/1.",301,2020-06-26 23:49:16,Twitter Web App,828,162,OregonGovBrown,1276663853644824577,,3023272478,False,https://t.co/C61MNtHs7a,en,June,Q2,"['face', 'coverings', 'save', 'lives', 'week', 'announced', '7', 'counties', 'required', 'wear', 'face', 'covering', 'indoor', 'public', 'spaces', 'counties', 'request', 'opt', 'inclatsop', 'county', 'board', 'commissioners', 'requested', 'join', '8th', 'county', 'effective', '71']"
"Healthcare reduces human suffering. To rip away protections – in the middle of public health crisis – is extraordinarily cruel.

Thanks in part to the Affordable Care Act, 95% of Oregonians have healthcare. If the President gets his way, 546,000+ Oregonians could lose coverage.",302,2020-06-26 20:56:34,Twitter Web App,394,120,OregonGovBrown,1276620390261944321,,3023272478,False,https://t.co/pkOmVnZsJS,en,June,Q2,"['healthcare', 'reduces', 'human', 'suffering', 'rip', 'away', 'protections', 'middle', 'public', 'health', 'crisis', 'extraordinarily', 'cruelthanks', 'part', 'affordable', 'care', 'act', '95', 'oregonians', 'healthcare', 'president', 'gets', '546000', 'oregonians', 'could', 'lose', 'coverage']"
"The success of Oregon's students depends on feeling seen, safe, and welcome, however you identify.  I am committed to supporting strategies that are grounded in equity and will support Oregon's LGBTQ youth on the path to achievement. #Pride",264,2020-06-26 17:46:58,Twitter Web App,164,32,OregonGovBrown,1276572677990264833,,3023272478,False,https://t.co/gVIhwRUIsb,en,June,Q2,"['success', 'oregons', 'students', 'depends', 'feeling', 'seen', 'safe', 'welcome', 'however', 'identify', 'committed', 'supporting', 'strategies', 'grounded', 'equity', 'support', 'oregons', 'lgbtq', 'youth', 'path', 'achievement', '#pride']"
"To all of the Oregonians marching every night to call for racial justice, know that I stand with you. And I want you to stay healthy.",157,2020-06-26 16:16:34,Twitter Web App,538,98,OregonGovBrown,1276549925891747840,,3023272478,False,https://t.co/eWrE23Fm9t,en,June,Q2,"['oregonians', 'marching', 'night', 'call', 'racial', 'justice', 'stand', 'stay', 'healthy']"
"For weeks, Oregonians have taken to the streets calling for racial justice. Together, we are working toward creating a more racially- and economically-just Oregon. I am hopeful I will be able to sign into Oregon law bills on true police accountability and reform. #orpol #orleg",301,2020-06-25 22:56:13,Twitter Web App,280,36,OregonGovBrown,1276288113065648130,,3023272478,False,https://t.co/B9sal125Rc,en,June,Q2,"['weeks', 'oregonians', 'taken', 'streets', 'calling', 'racial', 'justice', 'together', 'working', 'toward', 'creating', 'racially', 'economicallyjust', 'oregon', 'hopeful', 'able', 'sign', 'oregon', 'law', 'bills', 'police', 'accountability', 'reform', '#orpol', '#orleg']"
"I took immediate action in March to halt evictions so Oregon families could stay in their homes during this pandemic. Now, we need further action to aid Oregonians who, through no fault of their own, have struggled to pay rent during this crisis. #Orleg #Orpol",284,2020-06-25 19:31:19,Twitter Web App,785,117,OregonGovBrown,1276236549957447680,,3023272478,False,https://t.co/V5wGUYThYH,en,June,Q2,"['took', 'immediate', 'action', 'march', 'halt', 'evictions', 'oregon', 'families', 'could', 'stay', 'homes', 'pandemic', 'action', 'aid', 'oregonians', 'fault', 'struggled', 'pay', 'rent', 'crisis', '#orleg', '#orpol']"
"Today marks 7 years since the Voting Rights Act was gutted, leading to voter suppression in communities of color nationwide. The House passed a law nearly 200 days ago to #RestoretheVRA; now the Senate MUST act. Voting rights shouldn’t be partisan.",273,2020-06-25 17:31:59,Twitter Web App,344,128,OregonGovBrown,1276206519495712768,,3023272478,False,https://t.co/grv2CfPwbp,en,June,Q2,"['marks', '7', 'voting', 'rights', 'act', 'gutted', 'leading', 'voter', 'suppression', 'communities', 'color', 'nationwide', 'house', 'passed', 'law', 'nearly', '200', 'days', '#restorethevra', 'senate', 'act', 'voting', 'rights', 'shouldnt', 'partisan']"
"Your health &amp; safety is my top priority during this pandemic. As governors, we have the chance to craft a blueprint that puts the needs of our underserved communities at the forefront, creating a more equitable society. I'm proud to serve Oregon every day.",284,2020-06-24 22:21:56,Twitter Web App,556,82,OregonGovBrown,1275917097114058754,,3023272478,False,https://t.co/LfjwmxHd9p,en,June,Q2,"['health', 'safety', 'top', 'priority', 'pandemic', 'governors', 'chance', 'craft', 'blueprint', 'puts', 'needs', 'underserved', 'communities', 'forefront', 'creating', 'equitable', 'society', 'proud', 'serve', 'oregon']"
"Today the mask requirement for public indoor spaces goes into effect for Multnomah, Clackamas, Washington, Marion, Polk, Hood River, and Lincoln counties. This will save lives. Let me share with you why I wear a mask, and why I hope you will too.",270,2020-06-24 15:26:20,Twitter Web App,2792,765,OregonGovBrown,1275812510218645505,,3023272478,False,https://t.co/qgvguWWodb,en,June,Q2,"['mask', 'requirement', 'public', 'indoor', 'spaces', 'goes', 'effect', 'multnomah', 'clackamas', 'washington', 'marion', 'polk', 'hood', 'river', 'lincoln', 'counties', 'save', 'lives', 'share', 'wear', 'mask', 'hope']"
"There are some mask myths circulating on social media. The fact is, masks are an excellent way to reduce the spread of COVID-19, along with physical distancing and hand washing. 

So wear a mask and spread the word – not the virus.",255,2020-06-23 21:40:48,Twitter Web App,1931,1019,OregonGovBrown,1275544360977743874,,3023272478,False,https://t.co/dY7IUJo441,en,June,Q2,"['mask', 'myths', 'circulating', 'social', 'media', 'fact', 'masks', 'excellent', 'reduce', 'spread', 'covid19', 'along', 'physical', 'distancing', 'hand', 'washing', 'wear', 'mask', 'spread', 'word', 'virus']"
"Throughout this pandemic, telehealth has provided Oregonians with essential access to health care services that otherwise might have been unavailable. I'd like to thank insurers for partnering with us to continue to make telehealth options available.",275,2020-06-23 19:15:17,Twitter Web App,136,25,OregonGovBrown,1275507740178173952,,3023272478,False,https://t.co/VVfxfA2oAW,en,June,Q2,"['throughout', 'pandemic', 'telehealth', 'provided', 'oregonians', 'essential', 'access', 'health', 'care', 'services', 'otherwise', 'might', 'unavailable', 'id', 'thank', 'insurers', 'partnering', 'continue', 'telehealth', 'options', 'available']"
