;great;states;president;trump;united;people;news;federal;government;new;american;hard;best;party;history;china;thank;important;think;hot;police;largest;donald;interest;called;white;country;house;experience;announce;given;protect;reserve;administration;continue;rates;proud;big;national;strong;republican;approved;australian;military;fish;americans;texas;working;trying;year;defense;tax;amazing;crime;philadelphia;pleased;use;trade;market;j;office;michael;tea;families;second;iced;supreme;senator;department;food;court;school;away;justice;spending;calling;nations;crowd;guy;terrorism;defence;students;savednever;lead;leaving;chinese;washington;immediately;quickly;chris;media;congress;fake;senate;joining;services;help;independent;democrats;kill
great;0;6;2;4;6;0;6;0;0;2;6;0;4;4;4;0;4;2;0;0;0;2;4;0;0;0;4;0;0;0;2;0;0;2;2;0;2;4;0;2;2;2;2;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0
states;0;0;6;4;22;2;2;0;4;0;2;2;2;2;6;2;2;2;0;0;0;2;2;0;2;2;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;2;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;4;0;0;2;2;2;2;0;0;0;0;2;2;0;0;0;0
president;0;0;0;12;6;4;4;0;2;2;0;0;0;4;0;2;2;2;4;0;0;0;4;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;0;2;0
trump;0;0;0;0;4;4;2;0;2;2;0;0;0;2;0;4;0;0;4;0;0;0;10;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;0;2;4;0;0;2;2;2;6;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0
united;0;0;0;0;0;0;2;0;4;0;2;2;2;2;6;2;2;0;0;0;0;2;2;0;2;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;2;2;0;0
news;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;2;0;2;0;0;0
federal;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;4;2;2;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
