;montana;montanans;covid19;continue;state;health;testing;virus;communities;home;public;stay;care;social;spread;distancing;together;montanas;work;help;new;community;protect;families;thank;another;take;ensure;businesses;across;neighbors;safe;family;montanan;workers;lives;friends;fight;phase;national;cases;slow;states;part;healthy;support;mask;reopen;actions;wear;still;announced;working;future;face;tribal;capacity;honor;especially;remain;curve;difficult;access;economic;school;precautions;food;life;measures;loss;hands;guard;people;masks;rural;folks;grateful;efforts;fighting;may;nation;plan;great;normal;possible;students;big;ask;response;service;local;coronavirus;schools;front;able;vulnerable;governors;women;grocery;lost
montana;0;40;56;44;30;24;12;24;16;12;16;8;12;16;18;16;16;12;16;22;12;20;18;16;16;20;14;14;16;24;12;12;16;20;8;10;12;8;12;14;10;8;10;6;6;12;4;4;8;0;2;16;10;8;4;6;6;6;4;10;8;8;6;4;4;4;6;12;8;8;4;12;6;6;4;4;4;12;4;2;6;8;6;4;2;8;6;8;12;8;8;10;6;6;0;8;4;2;0;6
montanans;0;0;64;40;38;34;4;24;28;24;24;24;16;24;36;22;20;8;12;14;8;14;20;10;18;18;22;4;6;12;20;10;10;12;4;14;12;12;12;2;4;16;6;12;10;6;8;10;12;10;6;4;10;4;18;4;2;8;10;8;8;4;8;10;0;16;0;4;4;10;6;2;6;4;4;2;6;6;2;4;2;6;2;4;10;0;4;16;2;4;8;6;4;4;4;12;0;2;4;10
covid19;0;0;0;30;26;24;10;22;20;16;12;8;20;20;36;20;12;16;16;20;8;26;18;14;22;14;12;12;6;12;14;6;16;18;12;6;12;22;0;4;4;18;4;6;6;6;6;0;6;2;6;12;8;0;10;6;2;4;6;4;6;6;6;6;0;6;2;8;8;16;0;6;4;6;2;2;6;6;4;2;4;0;0;4;4;0;6;12;14;2;2;2;8;10;2;8;2;2;2;8
continue;0;0;0;0;18;18;18;24;18;4;8;6;10;14;16;16;10;8;16;10;8;10;18;2;6;12;12;10;4;10;10;12;6;6;4;8;6;4;6;2;6;6;8;10;6;6;8;4;6;4;2;4;0;4;4;10;4;4;0;8;6;4;0;2;2;6;0;0;0;6;8;2;2;4;2;2;4;6;2;6;4;2;2;4;4;2;2;8;8;0;0;2;2;2;0;6;4;6;0;6
state;0;0;0;0;0;6;14;16;14;6;8;4;8;4;6;4;2;8;10;8;6;8;10;6;18;6;8;4;2;22;4;2;2;8;2;4;2;6;6;0;4;2;4;0;4;6;2;8;6;2;4;10;2;0;2;8;6;4;4;4;2;2;2;0;0;4;0;2;0;2;2;2;6;2;2;0;4;6;4;6;4;0;4;2;2;0;6;8;2;6;4;8;2;4;2;2;2;2;0;0
health;0;0;0;0;0;0;4;4;14;14;24;18;32;4;12;2;0;8;6;10;0;8;12;8;6;4;6;10;4;0;4;10;4;2;22;2;4;8;0;2;0;4;4;0;8;0;0;2;0;0;2;0;6;2;14;4;4;2;4;2;4;0;10;10;0;4;2;0;4;0;2;2;0;8;6;2;0;2;0;2;0;2;0;0;6;2;0;2;2;4;6;4;4;4;0;2;0;0;0;2
testing;0;0;0;0;0;0;0;18;6;0;2;0;0;6;4;6;4;6;8;10;16;12;0;0;10;4;0;8;0;4;0;2;0;0;4;0;0;0;4;4;16;0;0;4;2;2;2;2;2;0;4;2;6;0;0;16;14;0;0;4;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;10;4;0;2;2;2;6;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
virus;0;0;0;0;0;0;0;0;4;8;4;8;8;12;24;14;2;0;4;8;8;14;12;6;10;14;10;8;6;4;14;2;2;2;2;4;6;4;4;2;10;6;2;10;2;0;4;8;10;2;8;2;4;0;2;2;6;0;0;6;6;4;0;2;0;6;0;4;4;8;2;2;2;2;4;0;0;4;2;4;2;2;0;4;2;0;2;2;2;0;0;2;0;0;4;2;0;0;4;0
communities;0;0;0;0;0;0;0;0;0;8;6;8;4;4;6;4;4;4;10;4;4;8;14;8;12;0;0;8;4;8;8;8;2;6;8;8;6;2;2;2;2;8;6;4;4;8;0;0;2;0;2;2;4;0;4;10;0;4;4;0;0;2;4;2;0;2;0;2;2;2;4;2;0;0;10;0;2;2;2;0;2;2;0;0;2;0;2;4;0;0;10;2;6;0;2;2;4;4;0;2
home;0;0;0;0;0;0;0;0;0;0;12;40;10;10;12;8;2;6;0;4;2;6;10;2;2;2;2;2;0;2;2;2;2;0;10;4;2;2;4;0;2;8;2;6;4;0;6;4;2;8;2;2;0;0;2;0;2;0;0;2;6;0;2;0;0;0;0;0;4;2;8;2;2;4;6;6;0;4;0;0;0;4;0;2;4;0;6;2;2;0;2;0;2;0;4;8;0;0;4;0
public;0;0;0;0;0;0;0;0;0;0;0;8;0;14;14;12;2;8;8;4;2;2;12;2;6;0;10;4;4;0;6;4;4;0;0;0;4;4;2;4;0;10;4;4;2;2;6;2;0;8;4;6;6;0;6;2;2;0;4;0;0;2;0;2;0;4;2;2;10;0;4;2;2;4;0;8;0;4;2;2;0;2;4;2;4;0;0;0;0;6;2;0;8;0;2;2;0;0;8;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;12;8;6;8;2;6;2;2;4;4;8;2;2;0;4;4;4;2;2;12;0;0;14;4;0;2;4;0;0;6;0;6;6;0;6;8;2;10;4;0;0;0;2;0;0;0;0;2;4;2;6;0;0;4;0;0;4;2;10;2;0;6;6;4;0;0;0;0;0;4;0;4;4;0;6;0;0;4;2;0;0;4;6;6;0;0;2;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;4;2;4;4;2;8;6;4;4;4;10;12;0;6;6;4;2;0;20;2;0;6;0;0;0;4;0;0;2;2;2;2;6;0;2;0;4;0;8;0;2;2;2;0;2;2;12;4;0;0;0;0;0;0;0;0;0;8;6;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;2;0;0;6;0;2;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;52;8;0;0;8;12;2;8;2;0;0;8;6;8;0;8;4;0;0;0;4;4;0;10;0;8;10;0;6;0;0;14;2;2;10;4;4;0;0;6;0;2;0;4;6;10;6;0;2;0;8;2;0;12;0;12;2;4;4;0;0;0;4;2;2;4;2;0;8;4;0;4;2;2;2;2;2;4;0;2;4;0;0;4;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;2;6;4;2;8;10;2;12;2;14;4;4;2;2;0;0;0;4;4;0;4;0;0;6;26;2;4;2;0;4;2;6;0;6;6;4;2;2;2;0;0;0;0;2;2;0;4;0;6;2;0;6;2;2;0;0;2;4;0;0;2;2;0;2;2;0;2;2;0;0;4;2;2;0;4;6;0;4;4;0;0;0;2
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;10;12;0;8;4;0;2;4;6;10;0;8;4;0;0;0;4;4;0;10;0;8;10;0;4;0;0;16;6;2;10;4;4;0;0;4;0;4;0;4;6;8;6;0;0;0;6;2;0;12;0;12;2;2;4;0;0;0;4;0;4;4;2;0;8;4;0;4;2;2;2;2;2;4;0;4;4;0;0;6;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;2;6;4;0;2;2;4;10;4;2;0;12;2;4;4;0;0;6;2;6;4;2;4;0;2;4;4;0;6;2;0;2;4;8;4;2;0;2;0;0;2;8;0;0;0;0;2;0;0;2;2;2;4;2;0;0;2;0;2;0;2;0;6;0;4;0;0;4;0;0;0;0;0;2;4;2;2;0;0;0;0
montanas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;4;6;4;2;10;6;2;2;2;0;0;6;4;4;2;0;4;6;2;4;2;2;4;2;4;4;0;2;0;0;2;2;0;0;0;8;0;0;0;2;2;6;8;0;4;2;6;0;0;2;2;4;2;2;2;4;4;2;6;0;0;2;2;2;2;2;2;0;6;2;2;0;0;0;6;2;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;2;18;0;6;8;2;2;4;2;2;0;2;2;2;10;0;2;0;4;2;0;6;2;0;0;2;0;0;2;4;0;0;2;0;4;0;0;0;0;4;0;2;2;2;0;0;0;0;2;2;2;4;4;2;2;4;0;2;2;6;2;0;4;2;2;0;2;2;0;0;0;0;0;2;4;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;6;8;2;2;0;4;4;6;2;2;0;2;2;2;4;4;6;0;0;4;0;2;4;2;0;0;0;0;6;2;2;0;4;6;0;0;0;8;0;0;0;0;0;4;0;4;0;2;6;0;4;0;2;2;4;0;0;0;0;0;2;2;0;2;2;4;0;4;0;0;2;0;0;2;0;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;2;2;6;2;4;4;2;2;2;2;0;4;0;4;0;18;2;2;4;0;2;4;4;4;4;2;2;0;0;0;2;0;0;0;4;2;0;0;2;0;2;0;0;0;2;6;0;0;4;0;4;2;4;0;0;2;4;2;20;2;0;2;2;0;0;4;0;2;2;2;0;0;0;0;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;10;6;2;0;0;2;2;2;8;8;8;0;2;2;0;4;2;4;0;4;2;2;0;0;2;0;0;0;2;0;6;6;0;0;0;0;0;0;4;0;2;2;0;6;0;6;0;4;0;0;4;2;2;4;4;0;0;2;0;0;2;4;4;0;0;0;2;0;0;2;0;4;0;0;0;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;10;10;0;0;4;8;0;4;8;6;6;4;4;2;2;2;6;4;4;0;0;4;0;4;6;2;2;0;0;10;0;0;2;2;0;0;2;2;0;0;6;0;0;4;6;4;0;0;6;4;4;2;0;2;4;0;2;0;2;6;0;6;2;2;0;2;0;2;2;0;8;0;0;2;0
