;new;mexico;#nmleg;#nmgov;state;mexicans;legislation;senate;approved;committee;across;hb;sb;house;costs;bipartisan;creating;families;fund;childhood;health;education;support;law;heads;passed;care;public;tool;insulin;floor;early;stay;#sb5;#erpo;scholarship;unanimously;please;prescription;trust;clear;safety;violence;higher;proud;gun;access;protection;children;ensuring;making;mexicos;veterans;safe;100;critical;services;year;legislature;diabetes;opportunity;country;enforcement;drugs;extremerisk;states;funding;incredible;join;economic;lives;act;orders;expand;signed;benefits;reduce;military;final;forward;additional;reducing;jobs;#hb292;economy;tax;tuition;insurance;finance;news;congratulations;292;communities;ensure;canada;risk;order;suicide;kids;work
new;0;110;88;58;44;58;40;32;36;26;34;30;22;24;24;20;16;16;12;12;16;20;18;14;22;16;18;14;16;12;18;10;12;8;12;12;14;14;16;8;12;10;8;12;10;10;16;10;10;14;14;14;8;12;12;12;6;8;12;10;14;10;10;10;8;8;10;12;10;12;10;8;4;8;6;10;8;4;8;8;10;6;6;8;10;10;6;6;8;10;10;10;10;8;10;2;8;6;8;8
mexico;0;0;56;50;30;12;18;18;24;12;26;20;12;16;6;6;12;14;10;8;8;10;8;14;8;8;8;8;14;0;6;6;10;6;10;10;8;14;4;6;4;6;8;10;6;10;14;8;4;6;8;2;8;10;10;6;6;6;10;0;10;4;10;2;6;4;4;4;10;8;6;8;2;6;2;2;4;4;4;4;6;0;4;0;2;0;4;6;4;8;10;0;8;4;2;2;6;4;6;4
#nmleg;0;0;0;44;30;26;34;34;42;32;16;26;30;24;20;20;10;10;12;14;10;12;18;14;16;18;12;12;14;10;16;12;2;12;16;8;12;10;12;10;6;8;10;10;2;10;12;12;12;8;6;6;0;4;8;8;2;4;4;6;12;4;8;8;8;6;4;2;8;6;8;6;6;2;0;6;6;0;6;6;2;6;2;6;4;4;4;4;10;4;8;6;8;6;8;6;8;8;4;2
#nmgov;0;0;0;0;16;8;8;18;18;14;14;14;10;4;6;6;8;10;8;8;2;2;6;8;8;8;4;6;4;4;6;6;8;2;6;0;8;8;2;6;4;4;4;0;2;4;2;2;8;2;2;2;2;6;2;4;6;6;4;4;0;0;2;2;2;4;4;4;4;6;2;8;0;0;2;2;2;0;2;4;0;4;2;4;2;0;0;2;6;4;4;2;2;6;2;2;2;2;4;4
state;0;0;0;0;0;10;12;8;12;8;12;10;8;4;4;10;6;4;4;4;4;6;8;4;2;4;6;6;2;0;2;4;2;2;2;4;0;8;2;4;2;2;0;6;6;0;4;2;2;6;4;2;2;4;10;2;0;6;2;0;2;4;0;2;0;0;2;2;8;6;0;4;2;4;4;4;0;0;0;2;4;0;8;0;2;2;4;4;2;4;6;0;0;2;2;2;2;2;2;4
mexicans;0;0;0;0;0;0;12;8;12;14;14;12;10;12;18;10;6;2;2;4;6;12;8;4;14;8;8;6;4;12;12;4;2;2;2;6;6;0;12;2;8;6;2;6;2;2;8;2;4;6;4;6;0;2;6;4;0;0;2;10;8;4;4;8;2;0;2;8;0;6;4;2;0;4;0;6;4;0;4;4;6;6;2;8;4;8;4;2;4;2;0;10;2;4;8;0;2;2;2;4
legislation;0;0;0;0;0;0;0;14;18;14;6;14;12;14;8;10;2;6;2;0;6;2;6;6;8;14;0;12;16;4;8;0;0;12;12;2;10;0;8;0;2;8;8;4;2;10;6;14;2;2;2;4;2;2;4;6;2;4;4;2;2;2;6;6;10;8;2;0;0;0;8;2;8;6;4;0;6;2;2;2;4;4;2;2;2;4;0;4;4;2;0;4;4;4;6;4;6;10;0;0
senate;0;0;0;0;0;0;0;0;24;12;4;8;14;2;6;10;2;4;4;4;0;2;10;2;14;4;0;6;2;4;12;4;0;0;2;2;8;4;6;4;0;0;2;2;0;2;4;0;2;4;0;2;0;0;2;2;0;0;2;4;2;0;2;4;0;2;0;0;4;2;2;0;0;2;0;0;0;0;4;2;0;4;0;2;0;2;0;2;10;4;4;4;2;2;4;0;0;0;4;0
approved;0;0;0;0;0;0;0;0;0;22;8;22;14;18;8;20;8;4;10;8;2;4;18;4;16;0;2;8;6;6;12;8;0;2;6;4;10;0;6;8;0;4;6;6;0;4;8;4;0;2;4;0;0;0;4;2;2;2;0;6;4;2;4;4;2;4;2;0;0;2;2;2;2;2;0;0;2;0;2;2;0;4;0;4;0;2;0;4;8;4;0;6;4;0;4;2;2;4;4;0
committee;0;0;0;0;0;0;0;0;0;0;2;14;22;12;12;10;8;0;6;4;4;4;8;2;14;12;4;2;4;6;14;4;0;4;4;4;8;0;8;4;0;0;4;6;0;2;6;4;0;4;0;0;0;0;0;4;2;2;0;6;4;0;2;6;2;2;2;0;0;0;4;4;4;2;0;0;4;0;6;2;2;4;0;6;0;2;0;0;6;0;0;6;0;2;6;2;0;2;2;0
across;0;0;0;0;0;0;0;0;0;0;0;4;2;6;4;0;6;6;4;2;6;6;2;6;0;2;6;4;6;0;0;2;0;2;6;4;6;0;2;2;0;4;4;4;0;4;4;4;0;2;4;0;2;0;6;2;4;4;0;0;2;2;4;2;4;0;2;4;2;8;2;2;2;4;4;4;2;0;0;2;4;0;6;0;4;2;4;2;0;4;0;0;6;2;2;0;2;4;2;0
hb;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;14;6;6;8;2;6;2;12;0;6;8;2;6;0;10;4;2;0;0;0;2;8;0;4;2;0;2;2;2;4;0;8;0;4;0;4;0;2;0;6;2;4;2;2;8;2;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;4;0;2;0;0;6;0;0;0;6;0;2;0;10;0;8;0;0;0;0;0;2
sb;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;8;8;0;4;4;2;0;8;4;14;12;4;2;6;0;14;4;0;6;4;0;4;0;6;4;0;0;4;2;0;4;2;6;0;6;0;2;0;2;0;6;0;0;0;0;0;0;4;6;2;2;2;0;0;0;2;2;4;0;0;0;2;0;4;2;2;6;0;0;0;4;0;0;10;0;0;0;2;0;6;4;2;2;2;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;6;2;6;4;4;2;10;4;8;8;4;4;4;4;6;4;0;2;4;2;6;0;6;4;0;4;4;2;0;4;6;4;2;2;4;0;0;0;2;6;2;0;0;2;2;2;4;4;4;0;2;0;0;0;2;0;2;0;0;0;4;0;4;0;2;2;0;2;0;2;0;2;0;0;0;4;2;2;4;0;2;2;0;0
costs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;4;4;0;8;6;4;2;0;12;8;0;0;0;0;4;8;0;14;0;0;0;0;4;0;0;2;0;0;2;2;0;0;0;4;2;0;0;0;8;2;0;0;8;0;2;0;2;0;0;2;0;0;0;0;0;4;0;4;0;2;2;0;10;0;0;4;0;2;2;0;8;0;2;8;0;0;0;0;0
bipartisan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;22;0;10;4;0;2;0;6;6;2;0;0;0;2;0;0;4;2;2;0;2;2;2;0;2;0;0;4;2;2;0;0;0;4;0;2;0;4;2;2;0;2;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;2;0;2;0;0;4;0;0;6;0;2;2;0;0;0;0;0
creating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;2;2;2;2;2;2;2;0;0;2;8;0;2;0;2;2;0;0;8;4;2;2;2;2;2;2;2;0;4;0;2;0;0;0;4;2;2;0;0;2;2;2;0;2;0;4;0;0;4;0;4;2;4;4;2;0;0;0;2;2;4;4;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;4;0;4;0;2;2;0;0;4;0;0;0;0;6;0;2;4;2;0;0;0;6;0;2;0;6;0;4;0;8;0;2;0;0;4;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;6;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;2
fund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;2;2;2;2;2;0;0;0;2;12;0;0;0;0;6;0;0;12;4;0;0;0;4;0;0;0;2;2;0;0;0;0;0;4;4;2;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0
childhood;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;4;0;0;0;2;14;0;0;0;0;2;0;0;12;6;0;0;0;2;0;0;0;6;2;0;0;0;0;0;4;0;2;2;0;2;2;0;0;0;0;4;0;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;12;2;2;2;2;0;0;2;2;0;2;0;2;0;0;2;0;0;0;0;6;2;2;4;6;2;0;0;4;2;4;0;0;0;0;0;0;2;2;2;4;2;0;0;2;0;2;2;0;2;2;0;2;0;2;0;0;2;4;0;0;4;0;2;0;0;4;2;2;0;0;0;0;0
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;2;0;0;0;2;2;0;0;12;0;0;0;0;2;2;0;12;0;0;8;0;2;4;2;4;0;0;6;0;0;0;0;0;12;0;0;0;0;0;2;2;0;2;2;0;0;4;0;4;0;0;0;0;4;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;2;0;6;6;2;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;0;6;2;2;0;0;0;6;2;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;4;0;0;6;0;0;0;0;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;10;0;2;2;0;12;8;0;0;0;0;2;6;6;10;0;4;10;0;8;2;0;2;0;2;2;0;2;0;6;0;0;0;2;12;0;6;2;0;0;0;0;4;4;4;0;4;2;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0;0;6;0;0;6;6;2;0;4
heads;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;6;18;2;2;2;2;0;4;0;6;2;0;0;2;0;0;2;2;2;0;4;2;0;0;2;0;2;0;0;0;6;0;0;2;4;2;0;0;0;0;0;2;0;2;0;0;0;2;0;6;0;2;6;0;4;0;4;0;0;10;0;0;6;0;0;4;0;0;0;2;0
passed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;0;2;2;0;8;0;4;0;0;0;2;0;0;2;0;2;2;2;0;2;2;0;0;6;2;0;2;2;0;0;2;2;2;0;0;0;0;0;2;2;2;0;0;0;2;2;2;0;2;4;0;2;0;2;0;0;2;0;0;4;0;4;2;0;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;0;2;2;2;0;0;0;2;0;4;0;4;6;4;4;0;0;2;4;2;2;0;0;2;0;0;2;0;0;6;0;0;0;0;2;0;2;0;4;2;0;2;0;2;0;0;2;2;0;0;2;0;2;0;0;4;2;2;0;0;0;0;4
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;6;4;0;2;0;2;0;2;14;6;0;0;8;2;6;0;2;4;2;0;0;2;2;0;0;2;2;0;0;4;0;6;0;0;2;0;0;0;2;2;0;2;0;4;0;2;0;0;2;0;2;2;0;0;2;0;0;0;2;2;0;0;4;4;6;0;2
tool;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;12;14;0;2;0;0;0;2;4;8;2;0;10;0;14;0;0;0;0;2;2;0;2;0;0;2;0;0;4;10;0;10;4;0;0;0;0;8;4;8;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;6;0;0;4;6;8;0;0
insulin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;10;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;10;0;0;0;0;0;0;0;10;0;2;0;0;0;0;0;0
