;president;people;trump;united;states;new;federal;national;world;great;house;work;government;committee;fake;big;administration;russian;massive;obama;court;democrats;working;department;usa;san;news;americans;media;campaign;military;largest;totally;wednesday;thank;walk;hard;following;nation;told;support;love;russia;washington;white;beginsthen;commission;post;american;presidential;country;former;senator;hope;best;journey;health;republican;jewish;trumps;2016;third;article;year;proud;announce;jerusalem;nothing;book;class;asked;party;number;north;couple;100;security;senate;friend;hours;days;study;take;texas;comey;cut;may;accused;journeythe;10;move;justice;family;santa;given;funding;mind;history;shes;university
president;0;2;8;2;4;0;0;2;2;0;0;0;0;2;2;2;2;4;0;2;2;4;2;2;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;4;0;2;2;0;0;0;0;0;0;4;4;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0
people;0;0;4;0;0;0;0;4;0;2;0;0;0;0;2;2;0;0;2;0;0;0;4;2;6;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0
trump;0;0;0;4;4;0;0;2;0;2;4;0;0;6;2;0;6;2;2;2;0;0;0;2;2;0;0;0;4;6;2;0;2;0;0;0;0;2;0;0;0;6;4;0;4;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0
united;0;0;0;0;14;0;0;0;4;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
states;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
new;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
federal;0;0;0;0;0;0;0;2;0;0;0;2;4;2;0;0;2;0;2;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2
national;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;2;0;0;2;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
