;#togetheral;#alpolitics;alabama;state;#covid19;thank;workforce;learn;support;alabamians;youth;@flotus;pandemic;across;visit;assist;statement;local;proud;july;#saferathome;act;full;folks;al;order;please;community;happy;provide;ways;#caresact;hosting;training;#2020census;plan;million;responsibility;country;students;broadband;summer;join;police;leadership;als;programs;months;health;unprecedented;great;#bebest;work;take;family;foster;mental;funding;complete;@alabamaachieves;law;providing;special;coverage;care;times;fathers;17;encouraged;establish;enjoy;#ruralal;partners;families;remember;coronavirus;important;100;farmers;ive;soldiers;input;officially;@alfafarmers;career;indeed;awarding;@alpublichealth;gaps;encourage;@usarmy;children;hear;development;leaders;face;find;services;precautions;submit
#togetheral;0;12;8;8;20;4;0;6;2;8;0;4;6;2;2;4;0;2;4;4;6;0;0;6;6;4;4;4;0;4;4;4;4;0;2;0;4;4;4;0;0;2;0;2;2;2;2;2;4;4;4;4;4;6;0;0;4;2;2;2;0;2;2;0;2;2;0;2;4;2;2;0;0;2;4;0;2;2;0;2;0;2;2;0;0;2;4;4;0;2;0;2;0;2;4;2;2;0;4;2
#alpolitics;0;0;10;8;8;6;8;6;4;4;0;0;2;6;0;2;2;6;2;2;2;4;2;2;0;4;2;0;0;4;4;4;2;2;0;6;6;0;0;0;2;0;0;0;4;4;4;0;0;2;4;0;0;2;0;0;0;2;2;0;2;2;2;2;0;2;0;4;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;2;4;4;2;0;0;0;0;4;0;2;0;2;0;2
alabama;0;0;0;4;0;4;2;0;4;2;0;2;0;6;4;4;4;2;2;0;0;2;4;0;0;0;4;2;0;0;0;0;0;0;4;2;2;0;0;0;2;0;2;2;4;0;0;0;0;2;4;2;2;0;2;0;0;4;4;0;2;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;2;2;2;0;0;0
state;0;0;0;0;4;0;2;4;4;0;0;0;2;4;0;0;4;2;4;0;2;6;4;4;4;2;2;0;0;2;2;0;2;4;0;4;0;0;2;0;2;0;0;2;0;4;2;2;0;2;2;0;2;0;2;0;2;0;0;2;2;2;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;4;2;0;0;2;0;0;0;2;0;2;2;2;2;0;0
#covid19;0;0;0;0;0;2;2;2;0;8;0;2;8;0;2;0;0;2;2;2;4;0;0;6;4;2;2;0;0;4;6;2;4;0;0;0;4;2;2;0;0;0;0;2;2;4;2;2;2;2;2;2;2;2;0;0;4;0;0;2;0;2;0;0;0;0;0;2;4;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;2;4;4;0;2;0;0;0;2;2;0;2;0;4;0
thank;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;4;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;4;2;2;2;0;0;0;0;2;0;0;2;0;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0
workforce;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
learn;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;4;4;2;0;0;0;4;0;0;0;2;0;4;2;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2
support;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;2;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;2;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0
alabamians;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;0;0;4;2;2;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;2
youth;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
@flotus;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;2;2;6;0;0;2;2;4;0;0;2;0;4;0;0;2;2;0;0;0;0;0;2;0;4;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;4;0;2;2;0;0;2;0;0;2;0;0;0;2;0;2;0;0;4;0;2;4;2;0;2;0;4;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
assist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;4;2;0;0;0;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
statement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0
july;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#saferathome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0
