;american;great;people;trump;news;administration;state;senate;government;women;story;federal;white;president;national;university;obama;colorado;house;usa;huge;fbi;history;victory;washington;good;new;million;vote;win;decision;republican;thing;election;senator;voted;tax;left;head;power;world;man;clinton;latest;bill;judge;tough;call;seattle;least;love;states;nomination;fake;tuesday;job;trying;florida;continue;reason;china;guard;giants;lost;united;announce;best;secret;could;security;men;city;10;trillion;scrolls;talented;economic;show;families;uespwiki;location;seahawks;bad;help;little;peter;bernie;attack;texas;approved;hillary;2016;control;accept;shopping;business;article;system;safe;image
american;0;8;6;4;0;0;0;2;0;2;0;0;0;4;0;4;2;0;0;2;2;2;6;2;0;4;2;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0
great;0;0;0;0;0;2;6;0;2;2;2;2;0;2;2;0;2;2;0;2;0;0;0;0;2;4;0;2;0;0;0;0;2;2;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;4;0;2;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
people;0;0;0;4;0;2;2;0;0;2;0;0;0;2;0;2;2;2;0;0;2;2;0;2;2;0;0;0;4;0;2;0;0;0;2;4;0;0;0;2;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0
trump;0;0;0;0;2;2;2;4;0;2;0;0;0;6;0;2;2;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0
news;0;0;0;0;0;2;0;0;2;4;2;0;2;2;0;2;2;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;10;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0
senate;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
women;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
