;#alpolitics;#covid19;@alpublichealth;#coronavirus;state;alabama;alabamians;thank;al;@potus;#togetheral;pandemic;please;help;call;great;health;family;members;information;work;@cdcgov;#yes4amendment1;efforts;important;citizens;dr;resources;#aledchat;news;home;continue;year;lets;team;take;update;als;safety;best;ive;alabamas;@alabamaachieves;assistance;care;everyone;find;encourage;distancing;school;new;harris;place;service;stay;spread;social;businesses;conference;#2020census;visit;full;public;watch;neighbors;march;regarding;emergency;services;resource;live;3;primary;#alsboe;proud;learn;president;@alabamaema;students;#sboe;available;support;@vp;website;#strongstartstrongfinish;mr;join;@adeca;6;morning;practicing;part;challenging;7;workers;press;provide;scott;governors;practice
#alpolitics;0;66;34;30;26;16;18;10;14;12;14;12;16;12;6;6;12;6;10;16;6;16;16;8;12;4;10;12;10;8;4;6;6;12;4;10;8;4;6;6;2;12;10;6;8;6;10;2;8;4;4;10;6;0;10;4;8;4;10;6;6;8;4;10;4;6;10;6;6;4;8;6;6;8;0;8;0;4;2;8;6;8;2;6;2;0;4;4;4;4;4;4;4;4;6;8;6;8;2;6
#covid19;0;0;24;14;8;10;14;10;8;8;10;10;14;8;8;4;8;4;2;14;8;12;0;10;8;4;6;12;0;6;4;6;2;4;4;6;2;2;4;4;2;4;4;4;4;4;6;2;8;0;0;6;0;0;10;6;8;0;6;0;6;2;4;6;2;2;4;2;4;2;4;2;0;0;0;4;0;0;2;0;6;2;4;6;0;0;0;2;4;4;6;2;6;0;4;4;4;6;4;8
@alpublichealth;0;0;0;16;8;4;4;0;2;4;6;4;10;6;6;0;8;0;2;8;2;12;0;8;4;4;10;6;0;4;4;2;0;0;0;2;4;4;0;4;2;2;8;0;2;2;0;0;2;0;0;10;2;0;6;6;2;2;10;0;4;4;0;6;0;0;4;4;2;0;6;0;0;0;0;2;0;4;0;0;2;0;0;6;0;0;2;2;0;0;4;2;0;0;0;8;2;8;2;0
#coronavirus;0;0;0;0;8;8;6;4;4;8;0;8;6;6;6;4;6;2;2;4;2;8;0;8;4;4;4;4;0;2;0;2;0;2;0;2;8;2;2;6;2;4;4;2;2;0;0;2;0;0;0;4;2;0;2;2;0;4;6;2;2;4;0;2;2;0;4;4;0;2;4;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;2;4;2;4;0;0
state;0;0;0;0;0;4;4;2;0;4;2;6;2;4;0;4;6;0;2;2;2;2;2;2;4;2;2;4;2;0;0;0;2;0;4;0;4;2;0;4;0;0;6;4;2;0;0;0;0;4;0;2;2;0;0;0;0;4;2;2;0;4;0;0;0;0;2;4;2;0;0;0;0;2;2;4;0;2;2;2;0;2;0;0;0;0;2;0;2;2;0;2;0;0;2;2;4;0;0;0
alabama;0;0;0;0;0;0;2;4;0;2;0;4;2;2;4;4;2;2;6;0;2;4;2;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;0;2;2;0;2;0;2;2;2;0;0;2;0;2;2;4;0;0;0;0;2;2;0;2;0;0;4;2;0;0;0;0;2;0;2;0;4;4;0;0;4;0;0;0;2;0;0;0;0;0;4;0;0;0;4;4;2;2;0;2;2;0
alabamians;0;0;0;0;0;0;0;4;8;0;2;2;2;6;2;2;2;2;2;0;0;4;0;2;0;0;0;0;2;0;0;4;2;2;0;2;2;0;2;2;4;0;4;2;2;0;0;2;2;0;2;0;0;0;2;0;2;0;2;2;0;2;0;2;2;2;2;2;0;2;0;4;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;4;0;0;4
thank;0;0;0;0;0;0;0;0;6;6;2;2;0;4;0;2;0;0;4;2;0;0;2;4;2;4;0;0;2;0;0;4;4;2;2;2;0;0;4;2;2;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;4;2;4;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;2;4;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0
al;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;2;2;4;0;0;2;0;0;2;6;2;0;4;0;2;8;2;6;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;2;2;2;0;4;2;0;0;0;0;0;0;0;2;4;2;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;2;0
@potus;0;0;0;0;0;0;0;0;0;0;0;6;2;6;4;2;0;0;0;4;0;2;0;2;2;2;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;4;0;4;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;4;2;0;0;2;0;8;2;0;4;0;0;0;0;0;0;2;0;2;0;0;0;4;0
#togetheral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;2;2;2;2;0;0;2;0;2;0;0;0;0;0;0;2;2;2;2;2;4;0;2;2;0;0;2;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;4;2;0;4;4;2;0;0;2;2;0;2;2;0;0;0;2;2;2;2;0;4;0;0;2;0;0;0;6;0;0;0;0;0;0;2;2;0;0;0;0;0;6;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;10;4;10;0;0;4;0;0;2;0;2;2;2;2;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;2;2;0;2;0;0;4;0;0;0;0;6;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;4;0;2;0;2;2;4;0;2;0;2;2;2;0;2;2;0;0;2;0;2;0;0;4;2;4;0;2;0;0;0;0;0;2;0;4;2;0;2;0;0;0;0;2;2;2;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;2
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;4;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;2;0;0;2;0;0;0;4;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;6;2
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;2;0;0;2;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;2;2;0;0;0;0;0;0;2;0;2;2;2;0;6;2;0;2;2;8;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;2;0;0;0;0;0;2;0
members;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;6;0;2;0;0;6;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0;2;4;0;2;2;0;0;2;0;4;2;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;4;0;0;4;0;4;2;2;2;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;6;2;2;0;0;0;2;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;4;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;4
@cdcgov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;0;2;4;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;6;4;2;0;4;0;2;2;0;0;0;0;4;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;2
#yes4amendment1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;6;0;4;0;0;0;2;0;2;0;0;0;2;4;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;4;8;0;0;0;0;0;8;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;4;2;2;2;4;4;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0
