;#akgov;alaska;#akleg;alaskans;state;#covid19;live;alaskas;watch;outbreak;health;update;public;officials;together;future;#flattenthecurve;ak;tonight;@alaska_dhss;year;joined;new;economy;reading;covid19;great;giving;@realdonaldtrump;work;help;#alaska;create;land;businesses;information;resource;life;learn;week;local;law;legislation;people;continue;protect;good;pfd;spread;grow;development;act;states;town;business;slow;reads;thank;history;communities;administration;alaskan;providing;jobs;commissioner;put;budget;#akreads;approximately;high;nation;individuals;energy;happy;spending;country;provide;congratulations;private;children;oil;2020;governor;hall;best;statewide;stay;environment;possible;dr;plan;care;facebook;across;response;protecting;announced;court;talk;hands
#akgov;0;32;76;22;24;32;28;30;32;24;26;28;24;22;10;10;22;10;16;14;12;12;8;10;6;4;6;16;2;4;4;0;2;4;2;2;6;0;4;2;0;4;8;6;4;6;2;6;0;4;2;6;4;0;2;0;6;0;6;6;4;2;6;0;2;2;6;6;8;2;0;8;6;0;8;0;2;0;2;2;6;4;2;0;2;4;0;4;4;4;4;4;2;0;4;2;0;0;4;4
alaska;0;0;28;14;10;14;10;8;10;8;8;10;8;10;4;4;6;2;4;6;6;8;6;0;8;2;2;2;6;6;4;4;6;2;2;6;8;2;4;4;4;6;8;2;6;2;2;0;0;0;4;10;0;2;6;0;10;4;2;2;4;0;8;4;4;2;0;8;4;0;0;2;0;4;0;0;0;2;6;0;2;2;2;0;2;4;2;4;2;4;2;2;6;0;0;2;4;0;0;2
#akleg;0;0;0;16;20;0;0;10;4;0;2;2;2;0;14;12;0;0;8;0;12;0;6;6;6;0;8;0;2;6;2;2;4;6;0;0;6;4;4;2;0;2;10;6;6;2;2;6;0;4;2;6;6;0;4;0;6;0;8;4;6;2;0;0;0;2;6;6;0;2;0;6;6;0;8;0;2;0;2;2;6;6;2;0;2;4;0;4;4;0;4;2;0;0;2;2;2;0;4;4
alaskans;0;0;0;0;16;20;8;6;4;6;8;4;4;8;14;6;4;6;4;6;4;2;4;0;0;2;4;2;2;4;4;4;2;2;2;4;6;2;6;2;6;4;0;4;2;8;2;2;6;0;6;0;0;0;4;6;0;6;2;0;0;0;4;2;2;2;4;0;2;0;4;0;2;0;2;2;2;0;2;0;0;0;4;0;4;0;4;6;4;0;0;4;0;2;0;6;2;2;2;2
state;0;0;0;0;0;12;6;10;10;6;8;6;6;8;10;4;2;4;6;4;2;2;4;4;0;2;8;2;2;0;2;4;0;2;0;0;2;0;6;2;2;0;0;2;2;2;0;0;4;2;0;0;2;4;4;4;0;4;0;0;0;2;2;2;0;4;2;0;2;2;2;2;0;2;2;6;0;2;2;0;2;4;2;4;2;0;0;0;2;0;0;2;2;2;2;0;2;2;2;2
#covid19;0;0;0;0;0;0;30;22;30;30;28;30;24;28;6;0;22;12;8;18;0;14;2;2;0;4;0;16;0;2;6;2;0;0;4;0;0;0;6;0;4;2;0;2;2;8;0;0;8;0;0;0;0;2;0;8;0;4;0;2;0;0;8;0;4;0;0;0;8;2;0;2;0;0;0;2;2;0;4;0;0;0;0;2;0;0;2;0;0;6;0;4;6;0;4;2;2;0;0;0
live;0;0;0;0;0;0;0;22;34;26;24;30;24;26;0;2;20;6;8;14;0;12;2;4;0;4;0;16;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0;0;8;0;4;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;6;2;0;6;0;2;2;0;0;0;0
alaskas;0;0;0;0;0;0;0;0;22;20;18;20;20;18;2;4;16;2;6;10;2;8;4;6;2;4;0;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;6;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;6;0;2;2;0;2;6;4;0;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;4;2;0;4;2;4;2;0;2;0;2
watch;0;0;0;0;0;0;0;0;0;26;24;30;24;26;0;0;20;6;10;14;0;12;2;4;0;4;0;16;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;8;0;4;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;6;2;0;6;0;2;0;0;0;0;0
outbreak;0;0;0;0;0;0;0;0;0;0;22;24;20;22;0;0;16;6;8;14;0;12;2;4;0;8;0;12;0;2;6;2;0;0;2;2;0;0;2;0;2;0;0;0;0;4;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;6;0;4;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;6;2;4;6;0;2;0;0;0;0;0
