;west;virginia;coronavirus;governor;#wvgov;covid19;@jimjusticewv;novel;#covid19;order;#covid2019;@nrlc;state;businesses;information;@wv4life;visit;prevent;law;provide;virginians;across;#wvcovid19;online;announced;protection;#prolife;month;@wvlegislature;tax;act;issued;#stayhomewv;stay;residents;home;continue;survivors;senior;abortion;seniors;spread;bornalive;call;help;meals;leaders;watch;meal;flu;needs;executive;yesterday;nutrition;helping;bureau;18008774304;spreading;services;discuss;together;program;filing;2019;precautionary;regarding;safe;defend;@wvgovernor;area;prayer;emergency;salons;@foxandfriends;working;recipients;prevention;ive;health;unborn;beginning;fishing;sign;disease;signed;poll;disaster;states;hotline;address;resources;life;federal;please;actions;est;joined;public;statewide;members
west;0;24;8;12;8;8;10;6;8;4;6;0;6;8;4;0;4;2;0;6;8;8;2;2;4;0;0;4;0;2;0;0;2;4;2;4;0;0;2;0;2;0;0;2;2;0;2;2;2;0;6;0;0;2;2;2;2;2;2;2;4;0;2;2;2;4;4;0;0;4;2;2;0;4;2;0;0;2;0;0;4;2;0;2;2;0;2;2;2;4;4;0;2;0;2;2;0;2;2;0
virginia;0;0;6;6;4;6;4;4;6;2;6;0;6;6;2;0;2;2;0;4;2;8;0;2;2;0;0;2;0;2;0;0;0;2;2;2;0;0;2;0;2;0;0;2;2;0;2;2;2;0;6;0;0;2;2;2;2;2;2;2;4;0;2;2;2;4;2;0;0;4;2;2;0;2;2;0;0;2;0;0;4;2;0;2;2;0;2;2;2;4;4;0;2;0;2;2;0;2;2;0
coronavirus;0;0;0;4;4;14;4;16;6;4;2;0;2;2;0;0;0;8;0;0;0;0;4;4;2;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;2;6;0;0;2;0;0;2;0;0;2;2;2;0;0;2;0;4;2;4;0;0;0;4;4;2;0;0;0;2;0;2;2;4;4;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;4;4;4;0;0;2;0
governor;0;0;0;0;14;6;14;0;6;6;0;4;2;2;4;4;4;0;4;4;8;2;6;4;2;4;4;2;2;0;4;2;4;6;0;6;0;4;0;4;0;0;4;2;0;0;4;4;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;4;2;0;2;2;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;2;2;2;0;4;0;0;0;0;2;2;2;2
#wvgov;0;0;0;0;0;6;8;2;6;4;0;4;2;2;4;4;2;0;4;2;4;0;6;2;2;4;4;4;2;0;4;2;4;4;0;4;0;4;0;4;0;0;4;2;0;0;2;2;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;2;0;2;2;4;2;2;0;0;0;0;2;0;0;2;0;4;2;0;2;2;2;0;0;2;2;2;2;4;0;0;0;0;2;2;0;2
covid19;0;0;0;0;0;0;4;10;6;0;0;0;2;0;2;0;2;4;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;2;4;2;0;0;0;0;0;2;0;4;2;0;0;2;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;2;4;4;0;2;0;0
@jimjusticewv;0;0;0;0;0;0;0;0;4;6;0;2;2;2;2;2;2;0;2;4;8;2;6;4;2;2;2;2;2;0;2;2;4;6;0;6;0;2;0;2;0;0;2;0;0;0;4;6;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
novel;0;0;0;0;0;0;0;0;4;4;2;0;0;2;0;0;0;8;0;0;0;0;2;2;2;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;2;6;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;4;2;4;0;0;0;4;4;2;0;0;0;2;0;0;2;4;4;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;4;4;4;0;0;2;0
#covid19;0;0;0;0;0;0;0;0;0;6;0;0;2;4;4;0;2;4;2;4;2;0;4;2;4;0;0;0;0;0;0;4;2;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;4;2;0;0;2;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;2;2;0;2;0;2;2;0;4;2;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;2;6;4;2;6;2;4;0;0;0;0;0;0;6;6;6;2;6;0;0;0;0;0;4;0;0;2;0;2;2;0;0;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0
#covid2019;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;4;0;0;4;0;2;0;0;4;0;4;0;0;4;2;2;2;0;4;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0
@nrlc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;6;6;0;4;0;6;0;0;0;0;0;0;6;0;6;0;0;6;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;4;0;0;4
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;2;4;4;0;2;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;2;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;2;0;0
@wv4life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6;6;0;4;0;6;0;0;0;0;0;0;6;0;6;0;0;6;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;4;0;0;4
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;2;0;0
prevent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;4;0;4;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;0;2;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;6;0;4;0;6;2;0;0;0;0;0;6;0;6;0;0;6;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;4;2;0;0;0;4;0;0;4
