;great;new;president;people;states;trump;united;federal;former;news;state;government;country;obama;trying;good;bernie;democrats;killed;family;best;article;party;presidential;administration;hard;republican;bill;man;york;south;election;border;county;working;help;end;real;senate;tax;deal;name;times;big;judge;national;sanders;proud;days;died;person;americans;fake;thank;night;behind;largest;million;saturday;four;disaster;canada;money;cabrera;greatest;love;fight;association;navy;story;ordered;act;allow;candidate;may;gone;friday;another;american;protect;america;china;wonderful;2016;violence;attorney;season;says;rates;uk;virginia;world;senator;donald;home;congress;high;left;give;james
great;0;6;6;2;4;2;6;0;0;6;6;2;2;2;2;4;2;2;0;2;0;2;0;0;0;0;2;0;6;2;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;4;2;4;0;0;0;2;2;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;4;0;4;0;2;0;0;0;2;0;0;0;2;0;2;2;0;2;0;2;0;2
new;0;0;6;4;2;2;4;2;2;2;2;4;2;0;0;0;0;4;0;2;0;4;0;4;0;2;0;2;0;8;0;4;0;2;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;4;2;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0
president;0;0;0;0;6;12;8;2;0;2;4;2;4;4;0;0;2;0;0;0;0;4;0;4;2;2;2;0;0;4;0;2;2;0;0;0;2;0;2;2;0;2;2;0;2;0;2;2;2;0;0;4;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;6;2;0;0;0;0;0;2;0;0;0;0;2;4;0;2;0;0;0;0
people;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;4;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;2;18;4;2;2;2;4;2;0;4;0;0;0;0;0;2;2;0;2;4;2;2;2;0;2;0;2;0;2;2;0;2;0;0;0;0;6;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;2;4;4;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2
trump;0;0;0;0;0;0;2;2;0;4;4;4;4;2;0;2;0;2;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;2;2;4;2;2;2;0;2;2;0;2;2;0;0;0;0;2;4;0;2;0;2;0;0
united;0;0;0;0;0;0;0;0;0;2;2;0;4;2;4;0;0;0;0;0;2;2;0;2;4;2;2;2;0;4;0;2;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;6;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;2;2;4;0;0;0;4;0
former;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;4
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
state;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
