;minnesotans;minnesota;health;covid19;state;home;care;#stayhomemn;thank;work;together;safe;stay;community;local;support;people;tune;communities;help;lives;pandemic;working;safety;plan;proud;businesses;workers;across;continue;#covid19;minnesotas;public;#oneminnesota;take;ensure;protect;mn;update;live;#mnleg;spread;child;#mnstrong;testing;year;response;neighbors;providers;important;honor;justice;great;order;states;new;families;forward;making;crisis;place;critical;law;ones;students;loved;virus;access;ways;find;projects;signed;change;announced;emergency;life;social;remember;grateful;please;lets;family;provide;week;#staysafemn;part;action;george;everyone;challenge;police;lost;sacrifices;times;#mnsots;good;jobs;#buildonemn;save;folks
minnesotans;0;72;70;68;50;54;46;62;62;38;44;60;28;30;36;36;22;22;22;30;42;34;22;30;26;20;20;22;36;24;18;10;20;16;14;24;26;20;20;10;24;14;14;20;12;10;26;28;18;20;14;4;8;20;12;20;10;18;28;28;12;20;22;18;12;16;18;18;20;14;8;20;6;10;22;16;8;10;12;8;6;6;18;16;8;10;16;2;4;10;12;10;22;16;14;6;8;10;12;4
minnesota;0;0;30;44;44;24;28;38;28;26;24;28;14;20;10;8;22;12;16;16;20;12;14;4;10;16;16;6;16;20;10;12;12;20;12;8;12;4;2;16;6;10;8;12;16;8;8;14;6;6;10;14;8;4;18;14;10;12;12;8;12;10;8;8;6;8;12;6;2;6;0;6;12;12;10;8;8;6;8;2;10;10;6;14;4;12;8;2;8;16;14;10;6;14;8;6;0;6;6;8
health;0;0;0;40;16;16;54;34;20;24;10;12;8;10;4;16;14;14;8;24;14;24;12;26;4;10;4;22;14;8;8;14;34;4;8;12;18;10;12;4;2;4;10;8;8;4;12;8;12;6;0;0;2;6;18;6;6;10;6;8;2;4;4;10;6;12;6;8;6;2;0;10;0;6;2;4;2;2;4;4;2;4;2;4;4;2;6;0;2;10;0;0;6;0;0;0;0;0;6;2
covid19;0;0;0;0;16;28;14;36;8;20;12;16;20;16;2;12;4;30;10;16;14;16;8;12;8;8;8;10;10;20;4;22;10;8;4;10;10;4;22;10;0;22;2;8;20;0;32;16;2;6;4;0;2;16;12;10;8;10;2;8;0;8;6;12;0;12;10;6;6;8;0;6;2;6;10;10;6;6;4;4;6;4;6;0;4;4;4;0;2;10;0;10;6;0;6;0;0;0;6;2
state;0;0;0;0;0;14;14;6;16;20;10;12;8;12;24;14;6;10;26;10;6;4;16;4;16;12;8;4;40;2;16;8;8;10;0;8;8;10;2;8;12;6;8;6;4;4;4;6;6;8;10;4;6;6;0;0;8;8;6;8;6;6;8;4;6;2;2;6;0;4;18;4;0;4;4;4;2;0;2;0;2;4;6;4;0;6;0;2;4;4;2;2;4;0;10;2;16;10;2;6
home;0;0;0;0;0;0;14;42;10;20;6;26;64;4;4;4;12;4;14;8;24;8;16;2;10;4;4;12;4;16;6;14;6;0;20;6;8;4;4;6;0;14;0;0;4;6;2;6;0;2;2;2;4;24;0;6;2;6;10;2;6;4;6;10;0;10;8;2;2;6;2;2;0;4;0;2;16;6;4;14;8;6;2;6;8;12;6;0;4;4;2;4;10;0;2;2;2;4;18;6
care;0;0;0;0;0;0;0;22;16;22;10;12;6;4;4;26;6;4;6;24;8;14;16;4;6;16;4;28;14;8;12;10;4;6;6;12;6;4;4;4;4;4;28;10;4;0;4;4;28;4;8;0;2;2;10;4;12;4;2;6;0;12;0;2;2;0;6;6;2;0;0;4;0;8;8;2;0;2;6;2;6;2;6;6;0;2;4;0;0;2;0;0;4;0;0;0;0;0;4;2
#stayhomemn;0;0;0;0;0;0;0;0;22;16;24;24;26;6;6;14;0;4;6;6;28;16;10;12;4;4;4;10;8;14;8;2;8;4;16;2;8;0;4;0;2;12;4;6;0;6;8;16;6;6;2;0;0;6;6;8;6;2;14;4;0;0;2;8;6;8;12;0;12;2;0;2;2;0;0;4;6;8;4;2;12;6;2;4;0;6;2;0;6;8;0;6;12;4;0;2;0;0;20;8
thank;0;0;0;0;0;0;0;0;0;26;14;24;4;8;6;12;6;0;10;10;16;8;6;6;4;0;0;12;8;4;2;8;4;4;2;4;4;4;0;4;6;6;2;16;0;10;0;8;4;10;8;2;2;0;0;6;4;2;8;2;0;10;8;0;2;2;4;4;2;2;0;2;2;2;2;0;0;0;4;0;2;4;6;4;4;8;0;2;6;2;0;2;12;0;0;2;0;0;4;6
work;0;0;0;0;0;0;0;0;0;0;26;16;4;16;6;16;20;0;16;6;8;12;14;10;12;8;2;12;12;16;8;4;4;4;6;16;6;6;0;8;6;6;8;6;2;2;4;0;6;4;8;2;4;8;2;4;10;4;0;6;2;10;6;2;8;4;6;6;2;4;6;8;2;2;0;2;2;4;8;0;2;4;4;10;2;4;0;4;4;0;2;2;0;0;0;2;6;2;4;4
