;south;justice;safety;wear;hurricane;carolina;act;mask;state;#palmettopriority;senator;tour;coastal;criminal;learned;enforcement;tim;scott;beautiful;evil;take;lost;accountability;love;emanuel;thank;law;confident;ourseleves;five;provide;create;grace;unspeakable;carolinas;stop;year;little;preparedness;live;confidence;effects;civic;bowman;united;existing;exemplified;managers;great;afghanistan;safe;life;transparency;@secretaryross;funding;jobs;carry;provided;measures;thrilled;review;strict;local;700;collaboration;ppe;leaders;trainingsanitation;counties;order;arm;additional;families;expand;people;strengthen;followed;media;unifying;faith;abound;upstate;simply;indefinitely;display;trevarius;new;public;pledge;flags;plan;businesses;nine;system;22;mother;break;supreme;annual;initiative
south;0;2;0;0;2;8;2;0;2;0;2;2;0;0;2;2;2;2;2;0;2;0;0;0;0;2;2;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;2;0;2;0;2;0;2;2;0;2;2;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0
justice;0;0;2;0;0;2;4;0;0;0;4;0;0;4;0;4;4;4;0;0;0;0;4;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
safety;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2
wear;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
hurricane;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0
carolina;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0
act;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;4;4;4;2;2;0;2;2;2;2;0;4;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;2;2;0;0;2;0;2;0;0
#palmettopriority;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
