;states;united;trump;president;people;great;house;new;big;american;russian;world;state;national;democrats;campaign;obama;white;court;government;administration;department;senate;man;justice;media;may;election;good;thank;working;year;congress;proud;fbi;trying;washington;russia;hard;country;republicans;supreme;support;federal;best;bill;senator;win;help;party;north;committee;full;republican;able;think;act;huge;york;2016;military;information;city;largest;radical;history;report;china;fight;democratic;news;vote;economy;texas;night;attack;americans;job;another;office;take;intelligence;millions;family;massive;close;killed;trade;call;released;impeachment;latest;called;former;game;stop;governor;korea;case;final
states;0;62;6;12;10;4;2;4;4;0;12;4;4;2;0;0;4;2;12;8;2;6;0;2;6;0;6;2;0;0;0;4;2;2;2;4;4;2;0;6;0;8;4;4;2;0;2;4;8;0;4;2;0;0;2;2;2;0;2;2;4;0;4;2;0;0;2;6;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;2;6;0;2;0;4;4;0;0;2;2;4;0;2
united;0;0;2;10;8;4;2;2;6;0;12;4;4;4;0;0;4;4;8;6;2;4;0;2;6;0;6;2;0;0;0;4;2;2;2;4;4;4;0;6;0;4;2;0;2;0;2;4;4;0;4;2;0;0;2;2;0;0;2;2;4;0;4;4;0;0;2;6;0;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;2;6;0;2;0;2;4;0;0;2;0;4;2;2
trump;0;0;0;30;4;4;14;4;2;2;12;2;0;4;6;12;2;10;2;2;6;2;6;2;2;8;4;6;0;0;4;0;4;0;10;4;4;10;2;0;0;2;0;4;2;0;0;4;4;0;4;6;2;2;6;2;4;2;2;4;4;0;0;0;2;0;2;0;2;0;8;0;4;0;2;4;0;2;2;4;4;4;0;0;2;0;2;0;2;2;4;6;0;4;0;0;0;0;2;4
president;0;0;0;0;10;2;8;2;4;4;10;0;0;2;4;4;10;8;2;2;4;2;2;2;4;6;0;4;2;0;6;0;4;0;6;6;4;6;6;8;2;0;0;0;0;2;0;0;6;0;4;4;0;0;4;4;0;0;0;2;4;0;0;0;0;0;0;6;0;0;0;2;0;0;2;0;0;2;0;2;4;4;0;2;2;0;4;2;6;2;8;2;4;4;0;2;0;0;0;4
people;0;0;0;0;0;10;2;4;10;14;6;2;4;4;2;4;0;0;4;2;0;0;2;4;2;6;2;2;0;4;4;0;2;4;2;2;0;0;4;4;2;2;8;2;2;0;6;6;4;0;4;2;0;0;4;0;0;2;4;2;2;0;2;0;0;2;0;0;0;2;2;4;2;2;0;2;0;2;4;0;4;2;2;0;0;0;4;2;2;0;2;0;4;0;0;2;2;0;0;0
great;0;0;0;0;0;0;6;4;8;6;0;6;2;2;6;0;0;2;0;2;2;2;6;2;2;2;0;4;4;2;8;0;4;4;0;2;0;0;6;2;6;0;2;2;2;2;8;4;0;0;2;0;0;2;4;2;0;0;2;2;0;0;0;0;2;2;0;2;0;0;2;2;2;2;0;4;0;6;8;0;2;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;10;0;0;2;6;2;0;18;0;4;0;0;10;4;0;4;2;4;2;0;6;0;6;0;4;2;4;0;4;0;4;0;0;0;0;2;2;4;0;0;2;10;2;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;2;2;2;4;10;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;2
new;0;0;0;0;0;0;0;0;2;0;0;0;4;2;2;2;6;0;0;4;4;2;0;4;2;2;2;0;0;0;2;2;2;0;0;4;2;0;2;4;4;0;2;0;2;2;0;2;2;4;0;0;4;0;0;0;0;0;16;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;4;0;0;4;4;0;0;2;0;2;0;4;0;0;0;0;2;2;2;2;2;0;0;0;2
big;0;0;0;0;0;0;0;0;0;8;2;0;4;2;0;4;2;2;6;2;0;0;0;0;4;2;2;2;4;0;0;2;2;4;0;0;0;0;2;2;2;4;0;2;0;2;0;6;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;2
american;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;4;0;0;2;0;2;2;0;0;2;2;0;2;4;4;0;2;0;10;0;0;0;0;2;6;2;0;4;0;0;2;0;2;0;4;0;4;0;6;0;2;2;4;0;0;2;0;0;0;2;4;0;2;0;4;2;0;0;0;0;2;2;0;2;2;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0
