;trump;president;united;great;new;states;people;house;federal;american;news;man;white;state;country;national;administration;republican;government;world;democrats;york;big;obama;party;department;campaign;love;washington;working;fbi;donald;help;fake;justice;court;best;police;looking;security;media;thank;history;committee;another;china;job;article;americans;congress;senate;released;city;hard;senator;win;post;massive;support;nothing;russian;end;times;may;killed;election;2016;russia;provide;show;death;strong;former;war;economy;north;good;billion;place;nations;story;young;proud;thing;order;director;family;work;intelligence;reserve;bad;america;military;whether;free;trying;bill;law;months;friend
trump;0;68;20;14;24;18;10;20;16;10;14;4;14;8;8;10;36;16;4;0;4;12;8;10;16;6;36;0;8;4;20;44;6;6;10;6;2;2;12;4;10;2;2;6;2;4;2;4;8;4;8;6;6;8;6;4;8;10;6;4;16;0;8;12;2;12;10;12;2;0;2;4;8;4;4;0;8;0;0;6;12;0;0;2;6;10;0;0;4;0;6;8;4;8;2;6;4;6;6;2
president;0;0;32;20;20;28;18;26;8;18;12;6;16;8;14;12;6;8;2;2;0;14;6;10;8;6;12;2;10;2;16;18;0;4;6;6;6;0;12;10;4;2;8;8;4;4;6;2;2;6;2;4;2;6;2;2;6;6;4;4;14;2;12;6;2;4;4;10;2;2;0;4;6;2;0;6;8;2;0;0;10;0;0;2;6;8;0;0;6;2;0;4;4;8;2;6;2;2;6;0
united;0;0;0;8;6;110;6;10;8;10;2;0;8;18;14;4;16;0;12;8;2;2;4;10;2;14;2;4;4;6;2;6;0;0;10;10;0;0;2;6;0;4;6;0;2;12;2;2;6;4;0;6;0;6;2;4;2;4;8;0;4;4;2;8;4;8;4;6;8;2;2;0;2;4;0;10;4;6;2;6;4;0;0;0;2;2;2;4;0;2;0;8;6;2;2;0;2;0;2;0
great;0;0;0;0;18;8;24;2;12;18;8;2;2;10;8;2;2;6;8;2;6;6;10;6;4;2;4;10;4;10;0;8;6;6;0;2;8;2;4;2;4;6;2;0;8;4;20;2;0;2;2;2;0;8;10;6;2;2;2;4;0;2;6;0;0;0;2;4;2;10;0;6;2;4;8;4;2;0;4;4;4;4;0;4;2;4;4;0;0;6;2;2;0;0;0;2;2;0;2;6
new;0;0;0;0;0;8;24;12;6;12;12;0;12;12;2;4;4;4;6;2;10;52;6;10;8;6;6;2;4;2;2;4;6;6;2;4;8;4;6;2;4;2;6;4;8;2;2;10;4;14;10;4;12;8;0;6;12;2;4;4;6;4;24;2;4;4;2;0;2;4;0;2;0;0;0;2;4;2;2;2;4;0;4;4;4;2;0;0;4;2;2;2;4;2;2;0;4;4;2;6
states;0;0;0;0;0;0;6;6;12;14;2;0;6;18;16;6;14;4;10;8;2;2;6;10;4;12;2;2;4;6;2;4;2;0;8;10;2;0;4;4;0;6;4;2;2;10;2;4;4;4;0;6;0;6;2;2;2;2;6;0;2;2;2;8;4;6;4;6;10;2;0;2;2;2;0;8;4;8;2;2;4;0;2;0;2;2;4;6;0;2;0;8;6;2;2;0;0;0;2;0
people;0;0;0;0;0;0;0;8;6;34;8;6;4;4;12;16;6;8;6;12;8;8;4;2;4;0;2;4;2;8;2;6;6;6;4;2;10;0;2;6;4;4;2;6;4;4;10;2;2;10;6;6;0;8;0;4;6;0;0;4;2;2;8;0;8;2;2;4;2;6;0;2;4;4;4;0;6;0;4;0;2;4;4;4;2;4;0;4;2;2;8;2;4;0;0;2;0;2;2;6
house;0;0;0;0;0;0;0;0;10;4;12;0;52;2;0;6;2;2;4;0;6;4;6;8;0;0;6;2;8;0;4;2;2;6;0;0;0;0;6;4;2;4;2;10;0;0;2;2;0;6;8;4;4;2;4;4;2;0;2;2;4;4;2;2;2;2;2;4;0;4;2;0;4;0;0;0;4;2;4;4;6;0;0;2;0;8;0;2;6;2;2;2;2;2;0;0;8;0;2;4
federal;0;0;0;0;0;0;0;0;0;6;2;0;6;12;0;0;2;0;26;2;2;2;6;2;2;4;2;0;4;6;0;6;6;0;4;12;2;2;2;0;0;0;4;0;6;0;8;0;2;2;4;4;0;2;0;0;4;0;6;2;2;0;0;2;0;2;0;0;4;0;0;0;0;0;10;0;2;4;0;2;0;0;0;0;2;0;0;4;0;26;2;2;0;0;0;0;0;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;4;2;0;8;10;4;8;4;0;8;4;4;6;8;2;0;2;0;8;0;2;4;0;2;4;2;0;0;6;2;6;8;0;2;6;12;2;2;8;4;2;4;6;0;4;0;2;4;2;2;4;4;0;0;2;4;2;2;2;0;4;2;2;6;2;2;4;0;2;0;4;2;2;0;0;6;2;0;2;6;0;4;0;0;2;2;0;0;0
