;canadians;conservatives;justin;trudeau;canadas;spending;economy;conservative;wasteful;stand;canada;trudeaus;government;community;statement;country;plan;fighting;real;life;liberals;victims;tamil;party;health;family;important;taxes;challenges;families;thank;generations;congratulations;proud;remember;heritage;grow;firearms;year;people;iran;international;deserve;friends;making;end;happy;new;voice;week;fight;needs;help;lost;free;canadian;future;watch;sign;mental;relaunch;continue;iranian;focused;work;live;world;owners;taxpayer;talk;businesses;ottawa;antisemitism;lets;deficit;passing;hard;regime;orthodox;57;issue;lunar;fiscal;church;receive;flight;atrocity;holocaust;yesterday;red;responsibility;attack;debt;marks;focus;build;everyday;#qp;becoming;four
canadians;0;12;12;10;8;4;2;4;6;4;6;4;10;6;8;4;2;4;2;8;2;6;2;2;4;4;4;0;6;8;0;6;0;0;2;6;0;0;2;2;2;2;4;8;6;6;4;2;0;4;6;2;4;6;2;2;6;0;2;4;0;4;4;2;4;0;2;0;0;4;0;0;2;2;0;0;2;4;0;6;2;2;0;0;4;4;0;2;0;0;0;0;2;4;2;0;6;0;2;4
conservatives;0;0;14;16;24;12;12;4;12;10;6;6;6;2;2;4;8;10;2;4;10;2;2;2;0;4;4;6;0;2;2;2;0;0;2;6;4;0;4;0;2;0;2;0;2;2;6;2;2;0;4;4;2;0;2;0;2;4;0;0;6;4;4;6;0;4;6;0;6;0;2;2;0;0;2;0;0;2;0;0;0;2;4;0;2;0;4;0;0;2;4;0;2;2;0;2;2;4;2;2
justin;0;0;0;20;4;12;8;4;10;4;2;14;10;0;0;2;2;6;2;4;2;0;0;2;0;2;6;2;0;0;2;6;0;0;0;0;2;0;0;0;0;0;4;0;4;0;0;0;0;2;4;2;2;2;2;0;6;4;2;0;2;4;0;2;0;4;0;0;4;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;2;4;4
trudeau;0;0;0;0;6;10;10;4;12;6;2;2;12;0;0;2;2;4;2;6;8;0;0;2;0;2;6;6;0;0;4;2;0;0;2;0;2;0;2;0;0;0;4;0;4;4;0;0;2;2;2;2;2;2;2;0;2;6;2;0;2;0;2;0;0;6;0;0;4;0;0;0;0;0;2;0;0;0;0;0;4;0;4;0;0;0;2;0;0;0;4;0;6;0;0;0;2;4;2;4
canadas;0;0;0;0;0;6;6;2;6;6;4;2;2;2;2;2;2;4;0;2;8;2;2;2;0;4;0;2;0;2;2;2;2;2;2;6;0;0;2;0;2;0;2;0;4;0;6;2;2;0;0;4;2;0;2;0;2;2;0;0;2;2;4;6;0;2;6;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;4;0;2;0;4;0;0;0;4;0;0;2;0;0;2;2;0;2
spending;0;0;0;0;0;0;10;2;18;2;2;10;6;0;0;0;2;2;0;4;4;0;0;2;0;0;2;6;0;0;0;6;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;6;4;0;0;2;2;0;4;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;4;4;2;0
economy;0;0;0;0;0;0;0;0;8;2;2;4;2;0;0;2;6;2;2;4;6;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;8;0;2;0;0;0;0;0;2;2;0;0;2;0;2;2;2;0;0;0;2;2;0;0;8;0;0;2;0;2;0;0;4;0;4;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;4;0;0;4;0;2;0;2
conservative;0;0;0;0;0;0;0;0;2;2;2;2;6;2;0;2;0;0;2;0;2;0;0;8;0;0;0;4;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;2;4;2;0;0;4;0;0;4;0;0;0;2;0;2;0;4;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0
wasteful;0;0;0;0;0;0;0;0;0;2;2;8;6;0;0;0;2;2;0;4;4;0;0;2;0;0;2;6;0;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;2;4;0;0;2;0;0;2;0;0;0;0;6;4;0;0;2;2;0;4;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;2;0;0;0;4;4;2;0
stand;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;4;2;2;2;0;0;2;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;4;0;0;0;0;0;0;2;0;0
