;city;thank;todays;toronto;community;work;support;#covid19;people;health;residents;please;housing;new;businesses;care;help;staff;covid19;w;public;park;st;eblast;working;together;everyone;council;#adayinthelife;budget;family;women;police;youth;emergency;services;take;great;government;big;crisis;social;centre;meeting;regent;#torcen;mayor;street;call;local;update;safe;workers;learn;hard;important;motion;without;provincial;full;business;violence;development;share;pandemic;year;torontos;#topoli;communities;home;lets;information;mental;thanks;ensure;service;goes;streets;#communitycare;love;statement;still;canada;forward;building;friends;program;@johntory;committee;commercial;best;tenants;plan;ford;critical;province;another;premier;2020;food
city;0;22;28;66;30;22;22;26;30;14;20;14;24;32;2;2;14;40;14;22;22;26;16;10;14;6;10;60;2;28;2;4;10;18;22;6;10;10;8;18;16;4;18;22;18;6;12;8;4;12;10;12;8;14;6;8;16;8;10;6;0;4;12;8;2;6;22;8;4;2;8;8;8;4;4;12;4;2;2;2;2;12;2;8;8;2;2;14;14;6;12;8;6;2;10;12;8;0;18;4
thank;0;0;26;20;34;38;32;24;20;8;20;18;6;4;6;16;12;6;12;6;8;14;8;6;12;22;16;4;0;4;6;4;4;6;4;8;6;14;4;14;8;4;12;2;10;8;4;6;6;10;4;12;8;10;16;10;0;4;2;2;2;6;0;10;6;6;4;2;12;4;2;2;2;0;2;10;14;4;20;8;0;4;4;10;6;4;14;12;0;4;14;0;0;0;10;2;10;0;0;6
todays;0;0;0;36;52;24;20;20;8;10;18;32;10;18;8;26;20;28;22;20;14;18;28;74;10;6;12;8;70;8;6;4;4;4;6;8;8;10;6;8;6;4;10;18;10;4;2;10;8;10;36;12;12;26;2;4;6;4;4;26;8;6;8;6;2;2;8;38;4;6;2;12;2;2;0;6;36;2;28;0;14;2;2;4;0;8;6;0;12;4;0;2;10;0;2;8;4;0;4;8
toronto;0;0;0;0;28;20;16;16;12;18;8;10;26;22;4;12;20;18;10;18;14;10;8;10;4;8;8;22;12;14;0;2;22;10;16;14;8;2;6;8;14;2;10;18;4;6;16;6;6;12;4;12;6;12;2;6;8;10;6;10;6;2;6;2;10;2;0;8;6;4;6;4;4;4;4;8;6;8;6;0;4;2;0;8;10;0;8;8;12;4;4;2;6;4;8;10;4;8;8;2
community;0;0;0;0;0;26;26;22;16;8;18;16;10;18;6;24;8;14;6;18;8;30;18;6;14;6;4;4;20;6;6;4;8;14;6;12;0;6;2;12;4;8;16;12;24;14;4;10;2;14;6;6;6;10;8;6;8;4;0;8;10;10;10;12;2;2;0;6;8;2;0;6;2;10;12;12;22;2;10;2;2;4;2;10;2;6;8;8;8;0;4;2;12;0;2;2;4;2;4;12
work;0;0;0;0;0;0;26;14;10;12;14;18;14;6;8;16;8;12;16;8;6;6;8;12;16;30;10;2;2;2;2;6;2;2;4;8;6;14;8;8;10;6;2;6;2;12;4;2;2;10;6;8;8;4;18;6;4;10;6;2;2;0;0;6;6;2;2;2;6;4;8;6;2;12;8;6;4;6;8;2;4;4;4;10;6;6;8;4;0;2;12;2;6;2;4;2;2;2;0;6
support;0;0;0;0;0;0;0;24;20;10;14;12;10;10;26;8;20;2;10;4;8;6;12;18;10;10;8;2;0;4;2;4;10;12;10;12;6;4;14;10;8;2;8;2;2;6;10;2;6;10;4;4;4;10;0;6;14;2;4;0;12;4;0;10;6;0;4;0;4;6;8;2;6;8;4;2;6;8;4;2;2;2;2;8;0;2;6;6;0;4;8;6;4;4;10;4;0;6;2;0
#covid19;0;0;0;0;0;0;0;0;24;28;10;18;10;16;4;24;12;6;0;6;14;6;4;6;6;10;6;0;0;0;4;6;0;2;10;10;10;6;4;4;12;6;2;2;4;0;2;0;6;6;20;8;10;8;10;12;2;0;2;0;8;4;0;6;4;4;8;4;6;6;12;2;6;0;2;6;0;6;0;0;8;6;6;4;0;4;2;0;4;0;8;4;4;4;8;8;6;8;2;4
people;0;0;0;0;0;0;0;0;0;10;8;2;14;12;4;6;14;6;10;10;2;6;6;2;10;6;6;4;0;6;6;10;2;6;10;12;6;4;10;8;6;14;2;4;6;2;4;0;2;6;4;2;4;2;10;16;6;2;2;2;4;10;4;2;4;6;4;2;8;4;6;4;4;0;6;2;2;8;2;2;0;2;10;6;0;2;2;2;4;0;6;2;6;2;8;4;2;4;2;2
health;0;0;0;0;0;0;0;0;0;0;4;12;14;6;4;14;0;14;10;14;30;8;0;8;8;4;4;0;2;2;4;4;4;0;4;8;8;0;2;0;16;10;2;0;4;2;4;0;6;4;4;4;6;0;6;8;6;2;6;0;2;2;0;2;4;4;6;2;2;2;2;8;36;0;8;0;2;0;2;0;4;4;2;2;0;4;4;2;2;2;6;0;0;4;10;0;2;6;0;2
residents;0;0;0;0;0;0;0;0;0;0;0;8;10;10;6;6;10;8;6;16;2;12;14;8;10;8;8;0;4;6;0;0;2;4;2;6;2;2;0;10;4;8;10;8;12;12;4;8;2;4;0;8;6;6;4;2;4;2;2;0;6;2;4;0;2;4;6;6;0;4;0;4;0;4;14;6;2;4;2;2;4;4;0;4;14;0;0;2;8;2;6;6;10;2;0;6;0;0;4;2
please;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;10;12;6;12;2;8;2;2;26;8;4;8;6;0;6;2;0;4;4;6;6;12;4;6;4;4;8;8;0;2;0;4;2;10;4;14;8;2;12;10;2;4;4;2;16;2;4;4;22;4;0;2;0;6;0;4;12;4;0;2;2;0;0;0;0;14;0;2;4;0;10;0;0;0;0;2;0;0;0;2;6;4;2;2;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;6;10;4;6;8;6;6;2;2;6;2;4;6;2;2;2;2;0;6;6;2;0;10;2;14;4;2;10;2;6;6;0;0;0;4;0;0;4;4;10;2;16;12;6;0;0;4;2;4;2;6;2;2;4;4;2;10;0;2;4;2;0;2;0;2;4;4;2;10;0;4;2;8;2;0;6;10;4;0;2;2;4;0;4
