;spoke;call;canadians;canada;help;together;people;work;iran;investigation;ottawa;working;earlier;world;family;conversation;year;across;talk;morning;national;life;everyone;forward;friends;details;met;meeting;president;change;climate;afternoon;nafta;support;safe;families;full;thoughts;victims;focused;congratulations;condolences;flight;loved;continue;phone;celebrating;thorough;growing;talked;situation;tragic;hope;tragedy;country;crash;weve;community;good;communities;summary;plane;stand;iraq;developments;jobs;lost;answers;news;great;update;cabinet;next;fight;live;making;health;affordable;house;ones;week;happy;talking;role;keeping;days;please;create;mourning;john;incident;remember;@harjitsajjan;thanks;matter;theatre;watch;weeks;press;mental
spoke;0;12;0;8;4;16;12;6;0;0;0;8;4;10;0;4;0;0;0;8;0;0;0;0;0;2;0;0;8;0;0;2;0;8;12;0;0;0;0;0;0;0;0;0;4;16;0;0;0;12;2;0;0;0;2;0;4;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
call;0;0;0;4;2;10;4;0;0;0;0;8;4;4;0;0;0;0;0;6;0;0;0;2;0;0;0;0;4;0;0;0;0;4;8;0;0;0;0;2;0;0;0;0;2;2;0;0;0;10;2;0;0;0;0;0;2;0;4;0;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
canadians;0;0;0;0;8;8;6;6;0;0;0;4;0;6;2;0;0;10;4;2;0;2;2;0;2;2;0;0;0;0;0;0;0;8;0;2;2;8;0;0;4;2;0;8;2;0;2;0;0;0;2;0;0;2;14;2;4;0;2;2;0;0;2;0;0;6;6;0;2;4;2;0;2;0;4;2;0;0;0;8;2;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0
canada;0;0;0;0;22;6;4;10;0;0;0;8;2;6;4;0;0;12;0;2;2;0;0;2;0;4;0;0;0;0;0;0;0;10;4;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;12;0;8;0;0;2;0;0;0;0;0;6;0;0;0;0;4;0;0;4;6;4;6;0;0;0;4;0;0;0;4;2;0;0;0;0;2;2;0;0;0;0;6;2;2;2
help;0;0;0;0;0;12;14;14;0;0;0;8;0;6;8;0;0;16;2;2;0;2;6;4;4;6;0;4;2;0;0;0;0;18;12;4;0;0;0;4;0;0;0;0;2;0;0;0;0;4;2;0;0;0;24;0;6;2;0;4;2;0;0;0;0;14;0;0;0;4;12;0;2;2;8;12;4;0;0;0;6;0;0;0;8;2;2;0;0;0;0;0;0;4;4;0;6;2;0;2
together;0;0;0;0;0;0;10;12;0;0;0;16;0;12;6;4;2;4;0;6;0;0;0;2;0;4;0;4;4;0;0;0;0;16;8;0;0;0;0;4;0;0;0;0;4;4;2;0;0;8;0;0;0;0;8;0;4;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;2;2;4;0;2;0;0;0;4;2;0;0;2;0;0;0;0;0;0;4;0;2;2;0;4;2;0;0
people;0;0;0;0;0;0;0;6;0;0;0;4;4;8;4;4;0;4;2;2;0;0;0;2;2;0;0;4;4;0;0;0;0;4;14;2;0;2;0;4;0;0;0;0;2;6;0;0;0;10;2;0;0;0;8;0;2;0;0;0;0;0;0;0;2;4;0;0;0;2;2;0;0;0;2;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
work;0;0;0;0;0;0;0;0;0;0;0;4;0;8;2;0;0;6;2;0;0;0;2;0;0;4;0;2;0;0;0;0;0;14;6;0;0;2;0;2;0;0;0;2;4;2;0;0;0;2;2;0;0;0;10;0;4;0;0;0;0;0;0;0;0;6;2;0;0;2;6;0;0;2;8;4;6;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;2;2
iran;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
investigation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ottawa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;12;0;2;0;0;2;2;0;4;0;0;2;0;0;0;0;14;14;2;0;2;0;4;2;0;0;2;4;0;0;0;0;4;0;0;0;0;16;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;2;6;8;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0
earlier;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;0;4;2;0;0;4;0;0;0;8;4;0;0;0;0;2;2;0;0;2;2;2;0;0;0;2;0;6;2;0;0;4;0;0;0;0;8;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;2;0;0;4;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;2;0;4;2;2;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2
conversation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;22;2;8;0;0;0;2;0;0;0;0;2;0;2;0;0;0;4;0;0;0;58;0;2;2;0;4;0;0;0;0;0;2;0;0;0;0;10;0;0;2;6;6;6;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;6;2;0;4
talk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
morning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;6;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;4;2;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;6;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;0;4;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
friends;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;4;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
met;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
meeting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
change;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
