kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
city,27,community,26,#covid19,36,todays,26,thank,31,toronto,30,city,145,city,77,todays,68,city,145
toronto,23,youth,25,city,30,#covid19,20,businesses,30,police,28,thank,130,thank,62,city,68,thank,130
residents,22,todays,20,thank,26,support,19,city,29,city,26,todays,123,todays,55,thank,68,todays,123
thank,18,city,20,people,21,thank,16,toronto,26,thank,21,toronto,118,community,53,toronto,65,toronto,118
todays,15,park,20,work,21,eblast,16,todays,24,budget,18,community,97,toronto,53,support,48,community,97
community,14,w,19,todays,20,residents,15,new,20,todays,18,work,91,work,48,#covid19,45,work,91
work,13,thank,18,please,19,care,14,health,19,motion,16,support,84,residents,43,covid19,44,support,84
new,12,centre,18,support,17,work,14,covid19,19,community,15,#covid19,82,w,39,health,44,#covid19,82
housing,12,#adayinthelife,17,toronto,17,health,14,please,19,covid19,15,people,76,#covid19,37,community,44,people,76
health,11,regent,16,w,14,please,13,#covid19,19,crisis,13,health,71,support,36,work,43,health,71
st,10,cyc,16,residents,13,workers,13,people,18,housing,13,residents,68,#adayinthelife,35,businesses,42,residents,68
building,9,work,14,public,13,people,13,community,18,work,12,please,67,people,35,please,42,please,67
#adayinthelife,9,cabbagetown,14,working,13,city,13,support,18,homelessness,12,housing,58,park,34,people,41,housing,58
people,9,toronto,13,community,13,call,12,work,17,policing,12,new,58,youth,30,eblast,38,new,58
park,9,#topoli,12,women,12,update,12,public,16,support,11,businesses,52,housing,28,care,32,businesses,52
development,9,#torcen,12,care,12,community,11,#stopcommericalevictions,15,pride,11,care,49,staff,28,new,31,care,49
#budgetto,9,housing,11,update,12,women,11,government,14,health,11,help,48,st,28,housing,30,help,48
mental,8,support,11,share,12,take,10,eblast,14,pandemic,10,staff,47,health,27,police,29,staff,47
agenda,8,meeting,11,together,12,covid19,10,help,14,please,10,covid19,47,new,27,help,27,covid19,47
regent,8,2020,9,staff,12,businesses,10,care,13,people,10,w,47,regent,27,public,26,w,47
@m_layton,8,family,9,everyone,10,violence,10,provincial,13,love,9,public,45,please,25,residents,25,public,45
support,8,st,9,help,10,change,9,@churchwellesley,12,province,9,park,45,centre,24,pandemic,24,park,45
budget,7,mayor,9,businesses,10,working,9,premier,12,new,9,st,44,working,24,call,24,st,44
house,7,budget,9,supports,10,toronto,9,commercial,12,#communitycare,9,eblast,43,development,23,full,22,eblast,43
staff,7,funding,9,health,10,physical,8,streets,12,fountains,9,working,40,help,21,#communitycare,22,working,40
citys,7,staff,9,expand,9,distancing,8,local,11,friends,8,together,38,#topoli,20,goes,22,together,38
tenants,7,street,8,list,9,essential,7,together,11,@gordperks,8,everyone,36,building,20,government,22,everyone,36
help,6,council,8,st,9,emergency,7,full,11,mayor,8,council,36,street,20,take,22,council,36
ensure,6,new,8,#adayinthelife,9,protect,7,business,11,safe,8,#adayinthelife,35,great,19,council,21,#adayinthelife,35
#yongetomorrow,6,residents,8,days,9,services,7,important,11,10,8,budget,35,public,19,provincial,21,budget,35
street,6,working,7,hope,8,home,7,@petertabuns,11,staff,8,family,34,together,18,crisis,21,family,34
great,6,great,7,lgbtq2s,8,give,7,housing,11,without,8,women,34,meeting,18,emergency,21,women,34
safety,6,thanks,7,water,8,vulnerable,7,council,11,eblast,8,police,33,#torcen,17,women,20,police,33
plan,6,development,7,home,8,family,6,@suzemorrison,11,big,8,youth,33,care,17,together,20,youth,33
w,6,big,7,safe,8,gender,6,#torcen,11,defund,8,emergency,33,cabbagetown,17,family,20,emergency,33
landlord,6,committee,7,torontos,8,hard,6,learn,10,park,8,services,32,budget,16,everyone,20,services,32
2020,6,health,6,planning,7,governments,6,goes,10,trans,7,take,32,share,16,learn,19,take,32
lets,6,kids,6,new,7,food,6,social,10,happy,7,great,32,2020,16,budget,19,great,32
process,6,canada,6,development,7,@johntory,6,everyone,10,@bathroomfaun,7,government,31,cyc,16,hard,19,government,31
downtown,5,save,6,financial,7,forward,6,cycling,10,help,7,big,31,everyone,16,workers,19,big,31
minto,5,doors,6,tenants,7,april,6,without,10,service,7,crisis,31,ensure,15,services,19,crisis,31
council,5,plan,6,take,7,lives,6,big,9,services,7,social,30,council,15,without,19,social,30
services,5,critical,5,economic,7,local,6,video,9,year,6,centre,30,thanks,15,staff,19,centre,30
violence,5,february,5,@justenbennett,6,goes,6,year,9,parks,6,meeting,30,mayor,15,motion,19,meeting,30
ongoing,5,ensure,5,consultation,6,best,6,shoutout,9,cant,6,regent,30,women,14,local,19,regent,30
homes,5,downtown,5,another,6,housing,6,@andrewfstewart,9,emergency,6,#torcen,29,family,14,food,18,#torcen,29
#torcen,5,people,5,stay,6,learn,6,@paulafletcherto,9,end,6,mayor,29,social,14,big,18,mayor,29
move,5,safety,5,great,6,crisis,6,#communitycare,9,black,6,street,29,lets,14,premier,18,street,29
