kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
entire,3,new,3,help,6,pandemic,8,class,5,change,12,people,26
happy,3,american,2,people,6,people,5,2020,5,people,10,change,21
heres,2,citizenship,2,community,5,social,5,change,3,young,10,young,15
change,2,stories,2,health,5,leaders,5,give,3,real,9,real,14
take,2,fair,2,communities,5,times,4,communities,3,country,6,heres,13
new,2,release,2,crisis,5,health,4,hope,3,take,5,country,13
find,2,join,2,heres,5,states,3,heres,3,moment,4,health,13
still,2,behind,2,useful,4,distancing,3,cant,3,justice,4,help,11
hope,2,vote,2,home,4,lives,3,michelle,3,police,4,pandemic,11
often,2,example,2,lives,4,vote,3,part,3,laws,4,new,11
support,2,good,2,care,4,hard,3,parents,2,bring,4,community,10
michelle,2,life,2,stay,4,saved,3,approach,2,happy,4,michelle,10
reread,1,progress,2,protect,4,working,3,chicago,2,community,4,vote,10
passing,1,happy,2,vulnerable,4,reminder,2,ive,2,@mbk_alliance,4,lives,10
family,1,people,2,professionals,4,policymakers,2,whove,2,protests,4,take,10
ground,1,change,2,medical,4,soon,2,another,2,across,4,happy,10
hopeful,1,country,2,coming,4,census,2,hbcu,2,criminal,3,communities,10
bryant,1,difference,2,new,3,@joebiden,2,work,2,specific,3,leaders,9
nod,1,economic,2,helping,3,crisis,2,@chipubschools,2,work,3,good,9
reflect,1,factory,1,government,3,world,2,love,2,voting,3,crisis,9
factorys,1,creation,1,remember,3,thank,2,crisis,2,generation,3,support,8
achieve,1,election,1,pandemic,3,women,2,people,2,past,3,work,8
everybody,1,policy,1,country,3,democracy,2,students,2,power,3,american,8
david,1,birthday,1,support,3,something,2,something,2,system,3,love,8
help,1,decades,1,good,3,friend,2,year,2,sustain,3,social,8
example,1,participate,1,young,2,shares,2,et,2,makes,3,home,8
second,1,doubt,1,public,2,efforts,2,life,2,activists,3,2020,8
past,1,states,1,spread,2,deserve,2,states,2,voices,3,hope,8
planet,1,create,1,everybody,2,american,2,hard,2,history,3,times,7
incredible,1,home,1,fight,2,country,2,big,2,practices,3,across,7
vanessa,1,trouble,1,vote,2,ive,2,teachers,2,awareness,3,lets,7
send,1,organized,1,gratitude,2,experience,2,loved,2,elected,3,part,7
filmmakers,1,bottom,1,take,2,medical,2,couldnt,2,officials,3,hard,7
meaningful,1,round,1,expect,2,proud,2,thank,2,changing,3,world,7
ways,1,chisholm,1,slow,2,mail,2,lessons,2,momentum,3,protect,7
climate,1,shirley,1,prayers,2,good,2,start,2,reform,3,working,6
next,1,whimpering,1,may,2,lets,2,vulnerable,1,might,3,medical,6
pretending,1,across,1,heroes,2,help,2,lead,1,lets,3,example,6
sterns,1,redistricting,1,article,2,role,2,break,1,raise,3,still,6
puerto,1,ideals,1,months,2,care,2,generous,1,matter,3,power,6
environmental,1,millionsincluding,1,journey,2,professionals,2,lived,1,american,3,generation,6
driveways,1,couple,1,virus,2,kids,2,south,1,protest,3,family,6
