;state;wisconsin;work;health;safe;#covid19;help;folks;home;communities;people;thank;businesses;wisconsinites;continue;covid19;#saferathome;support;public;together;order;workers;take;community;healthcare;stay;across;safety;plan;safer;emergency;testing;lives;great;good;staying;learn;neighbors;wisconsins;care;protect;announced;safely;working;families;crisis;contact;best;virus;local;legislature;pandemic;country;may;family;visit;important;racism;ensure;everyone;part;available;healthy;dial;critical;still;program;social;join;action;week;million;find;remember;away;another;test;bounce;calling;grant;@dhswi;lets;services;election;#ppe;live;#stayhome;republicans;needs;reopen;students;steps;able;business;distancing;life;happy;friends;spread;address
state;0;36;32;14;16;12;14;30;12;16;28;20;18;8;22;12;6;26;10;14;8;14;8;18;6;10;36;10;6;8;12;8;8;8;14;4;8;6;10;6;12;12;10;8;14;6;4;6;2;6;10;6;24;6;6;4;8;8;8;6;8;4;0;4;2;6;2;4;6;8;2;2;2;2;0;0;4;4;2;2;0;2;4;2;6;2;0;6;6;6;4;2;2;8;4;2;4;2;2;8
wisconsin;0;0;32;28;26;22;24;20;18;18;10;16;22;22;10;12;20;16;16;32;10;14;16;10;8;8;8;12;12;8;8;8;8;26;10;10;10;8;4;10;6;14;6;8;14;4;6;6;4;10;2;8;4;4;2;6;4;6;8;2;4;4;6;10;8;4;8;4;2;4;8;4;4;2;4;4;0;6;4;2;6;12;0;0;4;0;8;6;2;2;10;8;8;2;0;2;10;0;2;0
work;0;0;0;16;18;24;8;10;6;22;14;16;16;14;12;6;2;8;12;26;0;10;6;12;4;4;6;6;6;8;6;4;6;10;18;4;6;6;4;6;6;6;12;2;8;0;2;12;6;8;4;4;4;8;4;2;6;4;10;2;2;2;6;2;4;6;6;10;2;2;4;4;2;8;2;2;0;4;4;6;0;10;0;0;6;2;0;0;6;8;4;4;2;2;6;4;2;2;6;2
health;0;0;0;0;12;28;22;16;14;6;14;14;10;22;4;8;10;4;54;6;4;10;12;8;10;4;6;26;4;2;22;4;6;6;10;8;2;10;4;4;12;2;2;12;10;12;6;0;4;6;8;2;0;4;4;12;8;10;4;2;0;4;4;2;14;2;0;0;2;4;2;0;4;2;6;0;0;2;2;0;4;6;4;2;2;0;2;4;2;0;0;6;0;0;0;0;2;4;2;4
safe;0;0;0;0;0;14;32;20;24;36;16;14;14;12;18;8;16;6;6;6;10;14;2;6;0;24;4;4;2;10;0;0;4;2;10;10;8;18;10;2;4;2;6;4;14;0;2;8;6;6;8;4;2;4;4;2;4;2;4;14;18;0;24;6;4;12;2;12;2;4;4;2;0;8;8;4;0;0;2;2;4;6;0;4;0;0;6;0;0;0;2;4;0;6;8;2;2;4;0;2
#covid19;0;0;0;0;0;0;20;8;14;20;8;12;12;18;8;10;16;8;18;10;2;8;10;2;8;4;4;2;6;4;16;12;8;0;8;6;2;6;2;2;10;8;4;6;4;6;10;12;12;14;2;12;0;2;8;10;6;2;4;2;6;6;4;4;4;2;4;8;0;2;8;0;4;6;8;2;0;2;6;4;6;8;0;0;2;2;6;2;4;4;4;6;0;2;8;2;0;4;10;6
help;0;0;0;0;0;0;0;14;6;10;8;6;12;14;6;10;8;8;12;2;6;12;8;10;12;12;4;2;0;0;8;4;2;4;2;4;4;8;4;4;6;6;6;4;6;6;4;0;2;2;4;0;2;0;10;16;2;2;2;4;6;6;8;0;0;4;2;4;0;0;0;2;8;2;6;2;2;0;4;0;6;0;0;0;4;0;6;2;4;0;2;4;4;6;4;0;0;2;4;2
folks;0;0;0;0;0;0;0;0;12;8;6;10;10;4;10;14;4;2;4;4;6;8;6;2;8;8;20;6;2;6;8;2;4;8;6;8;0;6;0;6;14;2;6;6;4;4;0;4;4;2;6;8;4;2;6;4;4;4;6;4;6;2;6;6;6;8;2;4;2;0;2;0;4;4;2;0;2;2;2;0;6;2;0;4;0;0;0;4;2;6;0;0;4;4;2;0;2;2;0;2
home;0;0;0;0;0;0;0;0;0;14;6;10;4;16;16;12;24;10;4;14;20;0;2;10;2;14;8;8;6;38;8;2;12;2;4;24;4;8;6;4;2;0;6;10;6;0;10;2;4;0;0;2;0;8;0;0;4;0;2;4;4;6;14;4;2;6;0;6;0;2;2;2;2;8;8;0;0;2;2;0;6;8;4;2;2;2;8;2;0;2;4;0;0;2;4;0;0;4;4;0
communities;0;0;0;0;0;0;0;0;0;0;0;16;6;6;14;8;12;8;6;8;2;8;2;10;2;6;10;2;2;4;4;4;2;10;6;6;4;18;2;2;4;8;0;4;16;4;6;8;8;6;4;4;0;2;4;0;6;2;6;4;12;0;12;4;4;8;4;8;2;0;8;4;0;8;6;0;0;0;4;4;2;6;0;0;0;0;2;0;2;0;6;0;0;2;4;4;0;4;2;4
