;president;speaking;@realdonaldtrump;trump;senate;fox;news;south;tonight;great;unborn;carolina;minutes;democratic;latest;@seanhannity;vote;case;bernie;protection;#kag;@aoc;believe;impeachment;north;floor;child;pain;people;united;tune;legislation;nh;american;party;new;system;rally;military;states;morning;#fitn;afghanistan;stone;@speakerpelosi;support;act;live;biggest;articles;primary;#prolife;@senjudiciary;tear;wishing;#scdemdebate;nation;throughout;israel;state;speech;watch;investigation;joining;#2020election;fight;war;mr;fisa;proud;#theyfeelpain;school;hear;accomplishments;celebrate;debate;completely;capable;online;winner;november;community;@kilmeade;family;@mike_pence;hope;attorney;hard;tremendous;korea;cant;trial;general;sc;political;iowa;abortions;tonights;minister;record
president;0;0;18;22;8;0;2;6;2;6;0;6;0;8;0;0;2;2;4;0;2;4;2;6;0;4;0;0;8;2;0;0;2;2;2;2;2;4;0;2;0;2;0;2;4;6;0;0;2;6;2;2;0;2;0;2;6;4;0;2;4;4;0;0;0;2;0;2;0;0;0;0;2;4;2;2;2;0;0;2;2;4;0;0;2;0;2;0;2;0;2;2;2;2;0;0;0;2;0;4
speaking;0;0;2;0;8;18;14;0;12;2;6;0;12;0;10;12;0;0;0;6;0;0;0;0;2;6;6;6;0;0;4;4;0;0;0;2;0;2;0;0;4;0;0;0;0;0;4;6;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;0;4;0;2;0;6;0;4;0;0;0;0;0;0;6;4;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0
@realdonaldtrump;0;0;0;8;4;2;2;4;4;6;0;4;0;2;0;0;4;0;2;0;8;4;2;2;4;2;0;0;2;0;4;0;8;0;0;2;0;6;2;0;4;8;0;0;2;4;0;0;2;2;4;0;0;0;0;2;4;2;0;4;0;2;0;4;0;2;0;0;0;4;0;0;2;2;0;2;0;0;0;2;2;0;2;0;6;0;0;0;2;0;4;0;0;4;0;0;0;0;0;2
trump;0;0;0;0;6;0;0;4;2;4;0;4;0;4;0;0;2;2;2;0;0;0;2;4;0;2;0;0;6;0;0;0;0;2;2;2;2;4;2;0;0;0;2;2;0;6;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;6;0;4;2;0;0;4;0;0;6;0;2;0;6;0;10;6;4;2;2;0;6;0;2;0;2;0;0;0;2;0;0;0;0;2;0;6;0;0;4;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;6;0;0;0;0;0;0;4;4;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
fox;0;0;0;0;0;0;18;0;10;0;0;0;8;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;4;4;4;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;4;6;2;0;2;8;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;2;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;4;4;4;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
south;0;0;0;0;0;0;0;0;2;2;0;10;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
tonight;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;6;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;4;0;2;0;4;2;0;0;0;2;0;2;0;4;2;2;2;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;2;2;0;0;2;0;0;2
