;people;united;states;trump;president;great;new;american;house;white;government;news;national;federal;state;big;man;administration;country;former;court;media;obama;security;history;york;campaign;best;help;donald;thank;post;2016;russia;work;justice;world;fbi;love;says;year;working;week;department;killed;supreme;may;democrats;saturday;attack;information;job;city;americans;washington;bill;article;huge;north;presidential;fake;part;death;thing;monday;hillary;spent;syria;america;fight;win;another;shooting;general;released;team;reserve;director;fired;political;clinton;chief;immediately;young;night;end;coughwhooping;second;crime;san;committee;greatest;radical;police;racist;friday;republican;james;left;could
people;0;18;22;10;8;16;10;24;4;4;10;6;4;2;12;10;0;4;6;2;0;10;2;6;6;4;2;2;0;0;0;0;0;0;2;2;2;0;2;2;2;6;0;4;6;0;6;2;0;0;4;4;4;0;2;2;2;4;0;0;2;4;4;2;2;0;2;0;4;4;2;4;2;0;2;2;0;0;0;2;0;0;0;4;0;0;0;6;4;0;0;4;2;0;0;0;0;0;2;0
united;0;0;68;12;14;4;4;4;6;6;6;0;4;2;2;2;0;6;4;4;2;2;2;2;0;0;2;0;6;8;0;2;2;6;2;0;4;0;0;2;2;6;8;0;2;2;4;0;2;4;0;4;0;2;6;0;0;2;4;4;0;2;2;0;2;0;4;6;8;2;0;0;0;2;0;0;0;4;2;4;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0
states;0;0;0;10;12;8;4;6;8;6;6;0;4;2;4;2;0;6;4;4;2;2;2;4;0;0;2;2;6;6;0;2;2;6;2;0;4;0;2;2;4;6;8;0;2;2;4;0;2;2;0;6;0;2;6;0;0;2;6;4;0;2;2;0;2;0;4;4;8;2;2;0;0;2;0;0;0;4;2;4;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0
trump;0;0;0;0;36;10;8;8;2;2;2;6;0;2;0;0;4;12;4;4;4;2;2;6;4;0;14;2;4;22;0;4;6;10;2;4;0;8;0;0;0;2;2;2;6;2;6;6;6;2;2;2;0;0;6;0;2;2;2;8;2;2;2;2;4;6;6;2;4;0;2;0;0;4;0;4;0;4;4;2;4;2;0;2;4;0;0;2;2;2;2;0;2;0;0;4;8;2;2;2
president;0;0;0;0;0;10;2;16;12;10;0;6;0;4;0;0;8;10;6;12;6;0;14;4;0;0;6;0;2;8;2;2;4;6;4;2;0;6;2;0;4;2;2;0;4;4;4;2;6;6;2;4;0;0;2;0;4;2;2;2;2;2;2;0;4;0;4;2;2;2;0;0;2;4;2;2;0;4;6;0;0;4;0;2;4;2;0;2;2;2;2;2;0;0;0;2;8;4;0;0
great;0;0;0;0;0;0;6;18;10;8;0;0;0;2;6;6;0;0;8;0;0;2;2;4;4;4;2;2;4;4;4;0;0;0;6;0;0;0;4;0;2;0;2;2;0;0;2;0;2;0;2;8;2;2;0;2;2;2;2;0;0;2;2;4;2;0;2;2;6;6;2;2;0;2;0;2;2;0;0;4;0;0;0;0;2;2;0;0;6;0;0;6;2;0;0;2;4;0;2;0
new;0;0;0;0;0;0;0;4;4;4;0;8;2;2;10;6;2;4;2;4;2;2;2;4;0;24;6;0;2;2;0;8;0;0;2;0;2;0;2;6;0;4;2;2;0;2;0;2;0;0;0;2;4;2;4;4;0;6;2;2;2;0;0;4;2;2;2;2;2;2;2;6;0;0;2;2;2;2;0;0;2;0;0;0;2;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0
american;0;0;0;0;0;0;0;0;8;4;2;0;2;4;0;4;0;8;6;2;2;0;6;0;8;2;2;0;0;2;2;0;2;0;4;4;4;0;0;0;2;2;2;0;2;0;4;2;0;0;4;4;2;0;0;4;4;0;2;0;2;2;2;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;4;2;0;0;0;0;2;0;0;6;0;2;8;2;0;0;2;2;0;2;2
house;0;0;0;0;0;0;0;0;0;36;2;6;2;0;2;4;4;2;2;6;2;2;4;2;0;2;4;0;2;0;6;2;0;4;4;2;0;4;2;2;0;0;2;2;0;2;4;2;2;0;2;2;2;0;2;6;0;0;0;0;2;0;0;2;0;0;0;2;2;4;2;0;0;4;2;2;0;0;4;0;0;4;0;0;0;2;0;0;0;0;8;2;0;0;0;2;0;4;2;2
white;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;2;4;0;0;4;2;2;2;2;0;2;2;0;2;0;4;0;0;4;2;0;0;4;2;2;0;0;2;0;0;2;4;2;4;0;0;2;2;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;2;2;0;0;0;4;2;2;0;0;4;0;0;4;0;2;2;0;0;0;0;0;4;2;0;2;0;0;0;2;2;2
government;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;0;0;2;0;0;2;0;0;0;2;0;2;2;2;0;0;0;2;0;2;4;2;0;0;4;2;2;2;4;4;2;2;0;0;2;0;2;0;0;0;2;2;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
