;covid19;help;canada;support;country;work;people;together;canadians;across;safe;spoke;working;new;business;call;workers;update;home;details;live;watch;health;businesses;emergency;world;taking;making;family;thank;everyone;stay;pandemic;response;thanks;morning;giving;economy;click;talked;countries;canadian;continue;protect;focused;fight;benefit;tune;food;subsidy;steps;care;wage;year;communities;friends;impacts;important;measures;earlier;helping;situation;president;spread;families;virus;keeping;apply;announcing;week;international;meeting;able;latest;phone;jobs;difficult;economic;global;thoughts;talk;good;times;hard;million;forward;strong;community;prime_minister;announced;loved;leaders;lives;celebrate;whether;women;front;info;provinces;government
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;2;2;14;0;2;0;0;2;0;6;6;4;0;12;2;0;6;0;0;16;0;0;2;6;2;8;0;0;8;0;0;0;4;0;2;2;0;6;0;2;0;0;0;0;2;0;0;2;2;8;0;10;0;6;6;0;0;0;6;0;0;4;4;10;16;0;0;2
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;6;6;2;2;4;2;0;2;6;2;2;4;0;8;6;6;0;4;2;0;10;0;6;4;4;0;2;4;4;0;2;6;0;10;4;8;2;0;2;2;2;2;0;2;2;2;8;6;8;4;2;4;4;6;10;0;2;4;0;6;6;4;2;0;10;2;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;4;6;2;6;2;0;4;2;4;8;2;2;4;6;2;8;6;8;2;12;2;2;2;4;6;10;0;4;0;0;2;0;2;4;0;0;8;2;8;0;0;4;2;0;0;4;0;2;2;0;8;0;2;4;4;0;2;2;2;2;10;2;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;10;12;0;10;16;16;0;2;10;4;8;0;14;2;6;12;4;6;2;4;2;16;4;8;10;6;2;18;2;2;6;2;0;4;2;12;2;0;8;8;6;2;4;6;0;4;4;2;4;2;0;0;6;12;4;4;2;4;0;4;0;4;0;0;6
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;6;4;0;4;0;8;2;10;2;32;10;2;0;10;2;0;4;0;0;4;4;8;6;6;14;0;10;8;14;6;12;6;4;6;10;2;6;0;2;2;4;8;0;6;0;2;2;0;2;2;4;2;6;2;6;2;0;6;0;2;6;2;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2;10;6;2;2;8;2;0;6;4;2;4;4;4;8;0;2;4;0;2;10;2;2;6;8;0;4;0;2;6;4;2;2;0;2;0;2;0;0;6;4;8;4;10;0;6;6;0;6;0;2;0;4;2;0;2;0;0;0;2
morning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;16;18;4;4;4;12;8;0;4;0;2;6;0;2;2;2;8;8;0;0;2;2;10;14;6;6;6;8;0;2;0;10;6;0;12;4;4;0;12;8;4;8;12;2;2;0;6;6;4;8;0;2;8;4;2;0;2;2;2;0;6
giving;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;0;2;2;0;14;2;2;38;0;4;14;4;4;0;2;0;8;2;4;0;2;4;0;0;4;0;4;0;10;2;0;0;2;16;0;4;2;0;0;0;2;2;2;0;6;0;0;6;0;4;2;0;0;0;0;0;6;10;8;6
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;6;4;10;8;2;0;12;0;2;16;0;2;0;6;2;8;6;4;0;0;6;2;2;0;6;10;0;4;8;0;8;2;12;2;2;2;2;6;0;2;0;4;2;0;4;10;0;2;4;0;2;2;0;0;0;0;4;10;6
click;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;2;4;4;0;4;2;2;8;10;0;8;0;2;0;4;4;16;4;2;4;6;4;0;4;2;8;2;0;6;2;4;4;6;2;6;6;4;0;4;0;10;2;0;2;0;0;4;14;0;2;0;0;2;0;2;4;2;0
