;new;city;york;yorkers;people;covid19;help;health;crisis;care;fight;working;take;home;call;work;protect;citys;join;lives;thank;safe;workers;coronavirus;nypd;community;federal;cases;stay;public;government;updates;families;coming;kids;save;311;response;immediately;testing;school;information;everyone;contact;could;still;country;family;hospital;close;#saveourcity;together;good;symptoms;hall;doctor;hospitals;taking;tonight;please;across;trump;cant;next;streets;needs;positive;businesses;continue;street;spread;case;news;week;masks;lost;schools;someone;stop;anyone;feel;state;face;million;end;fellow;medical;wont;march;behalf;students;supplies;big;yorker;front;sick;keeping;crime;ventilators;weeks
new;0;332;280;254;62;98;74;52;56;36;50;34;42;34;48;30;38;60;38;34;28;36;18;36;32;40;20;54;20;22;12;28;20;30;14;24;28;26;14;12;10;30;12;10;18;12;18;16;16;8;20;26;14;18;26;12;20;32;16;18;22;18;18;12;12;14;12;20;22;4;24;16;16;14;10;14;6;10;8;10;18;26;18;18;4;22;6;14;14;24;6;12;16;36;10;16;12;22;12;16
city;0;0;234;100;40;100;54;36;56;40;66;46;26;20;36;26;32;38;60;30;42;32;18;34;40;34;18;30;2;30;20;22;32;22;10;20;16;42;14;8;6;22;18;8;12;22;24;24;14;14;24;26;4;8;48;4;20;24;22;12;30;20;12;12;12;20;6;10;8;0;6;16;2;4;10;20;6;8;10;12;8;20;10;14;12;16;6;18;10;30;2;12;24;16;16;2;22;24;8;16
york;0;0;0;32;20;66;30;22;24;18;26;14;14;12;22;6;12;54;22;18;6;8;12;22;6;16;14;30;6;16;4;14;16;18;8;18;8;20;6;6;6;12;2;2;10;10;10;8;12;4;12;4;2;6;24;2;10;12;6;6;6;14;4;10;4;12;6;12;0;0;6;16;4;4;8;10;4;4;4;4;8;16;6;6;0;10;6;0;8;6;0;6;6;10;8;2;6;14;8;10
yorkers;0;0;0;0;28;24;38;26;16;20;26;20;18;22;28;16;18;12;12;14;22;24;4;8;18;12;6;22;14;2;6;12;8;8;4;8;14;4;10;4;0;14;8;8;2;4;8;2;2;2;6;22;6;10;2;10;6;18;6;10;14;8;14;0;10;4;4;8;20;4;18;0;6;8;2;8;2;2;6;8;10;10;12;14;4;16;2;12;4;20;2;8;6;0;2;10;2;6;4;6
people;0;0;0;0;0;32;18;32;28;20;6;20;16;18;8;8;22;14;2;12;6;20;4;16;8;6;8;6;14;10;10;4;2;8;6;6;4;2;6;8;2;12;4;14;10;8;10;4;0;8;2;10;10;6;0;6;6;6;6;2;8;8;8;4;6;4;6;2;4;0;8;6;10;0;0;10;0;2;12;4;8;8;6;4;4;0;6;14;6;2;2;2;8;6;0;4;6;4;0;4
covid19;0;0;0;0;0;0;18;16;46;14;20;6;4;10;12;10;8;36;36;8;2;6;2;0;0;10;8;38;10;4;8;30;6;6;2;6;8;50;8;12;6;6;2;14;8;10;2;2;2;6;0;2;4;12;34;6;2;2;2;6;2;0;2;2;0;2;20;4;2;0;18;6;6;8;0;4;2;2;4;0;12;6;4;2;6;0;6;2;4;4;4;2;0;4;4;8;8;4;0;4
help;0;0;0;0;0;0;0;26;22;22;8;14;8;14;30;4;8;10;2;14;12;8;10;2;10;8;22;8;10;18;14;0;8;16;2;16;14;2;12;8;0;6;6;6;6;4;0;4;10;4;6;4;8;6;0;10;18;2;4;4;2;2;8;0;0;16;0;4;4;0;14;0;4;6;2;2;2;12;4;6;8;4;4;2;0;6;10;0;4;2;2;16;0;4;6;4;0;2;6;4
health;0;0;0;0;0;0;0;0;20;92;12;12;8;16;20;8;18;8;8;16;8;6;32;6;0;6;0;6;12;14;0;0;8;12;6;12;4;2;4;8;2;4;6;2;2;2;2;4;2;6;0;2;4;6;0;8;8;2;0;2;4;4;6;4;0;16;0;0;4;2;6;4;0;0;0;4;4;2;0;8;10;8;2;2;0;8;8;2;4;4;6;2;2;6;8;8;4;0;2;4
crisis;0;0;0;0;0;0;0;0;0;22;12;8;18;10;10;12;2;2;8;10;6;2;8;2;2;6;6;8;10;10;8;6;10;12;4;8;8;6;4;4;2;4;8;4;18;10;4;0;6;4;0;6;0;2;4;2;8;4;2;2;8;4;8;2;0;4;2;4;8;2;14;0;2;2;6;2;2;2;2;4;10;2;4;2;2;2;0;4;2;0;2;6;0;4;6;4;2;4;0;4
care;0;0;0;0;0;0;0;0;0;0;12;6;4;8;22;8;10;4;8;16;10;4;30;4;0;0;0;6;4;12;2;0;10;8;6;10;14;2;4;4;4;8;2;4;0;2;0;4;6;2;0;2;2;10;0;8;12;2;0;2;0;0;8;2;0;12;0;0;2;4;8;4;0;0;0;4;4;0;0;6;4;2;0;4;0;6;6;2;2;4;6;2;0;2;8;4;2;0;2;2
fight;0;0;0;0;0;0;0;0;0;0;0;16;8;6;6;4;2;2;12;8;8;0;4;2;0;2;4;2;2;12;6;4;12;6;4;4;0;0;0;0;0;0;2;0;2;8;8;0;0;4;8;2;2;0;2;0;2;4;2;2;6;10;4;0;0;12;0;4;2;0;2;2;0;2;2;2;0;0;0;2;0;4;2;0;2;2;2;6;2;6;0;0;2;2;6;0;2;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;10;4;0;0;6;2;10;4;6;10;4;10;2;0;8;12;0;26;0;4;4;0;2;0;4;2;2;4;0;2;0;4;0;4;2;8;8;4;0;0;0;6;2;0;2;6;2;4;4;2;2;2;4;2;4;0;0;6;0;0;2;0;2;2;0;4;14;0;4;2;2;0;2;0;4;4;0;4;0;2;4;2;6;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;6;12;4;0;6;4;6;2;6;2;8;0;4;8;8;0;2;2;2;2;8;8;0;8;0;0;4;12;6;10;4;2;4;0;0;2;0;2;6;0;6;2;6;2;2;2;8;8;8;2;2;0;0;2;2;6;0;2;4;0;0;0;4;4;4;4;0;8;0;4;4;6;4;2;2;2;0;4;6;2;6;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;10;4;2;0;6;4;10;6;4;2;4;2;0;38;0;2;2;4;0;2;8;0;0;4;0;4;0;14;4;2;2;4;8;4;4;4;2;6;6;0;10;2;2;8;4;0;2;4;2;6;0;4;0;2;10;14;6;4;0;0;0;0;0;2;6;16;0;2;0;12;4;0;0;0;2;0;0;2;2;0;18;2;2;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;6;2;4;10;10;4;2;2;2;4;2;12;6;0;2;0;4;0;4;46;0;12;4;2;10;6;10;0;2;2;2;2;0;0;0;2;20;0;24;4;0;0;8;0;2;8;2;2;14;0;2;2;0;2;0;0;0;0;0;0;10;0;8;14;2;0;4;0;6;2;0;0;6;0;2;0;6;0;6;0;8;0;0
