;new;covid19;#covid19;mexico;health;cases;state;deaths;statewide;home;additional;public;spread;currently;mexicans;info;stay;totaling;update;bringing;positive;announced;todays;tests;#alltogethernm;individuals;continue;mask;safe;@nmdoh;hospitalized;pandemic;mexicos;slow;officials;virus;face;community;protect;order;may;testing;statewidemore;wear;essential;related;businesses;thank;lives;information;care;people;social;work;statewidesadly;staying;part;live;help;support;emergency;reopening;#askgovmlg;distancing;across;please;crisis;practices;available;ensure;tune;tomorrow;unemployment;save;week;federal;able;covidsafe;tested;together;incredible;still;working;workers;online;safety;slowing;important;risk;required;gather;take;benefits;critical;absolutely;provide;thanks;masks;3;mexican
new;0;264;304;350;176;210;174;162;136;96;162;106;114;188;188;180;76;176;148;172;150;86;122;142;80;116;70;48;58;60;100;64;94;58;88;48;46;48;38;38;28;26;74;32;34;68;32;32;44;24;32;34;32;34;50;28;28;30;34;28;26;22;22;34;34;22;30;10;26;28;12;20;20;32;20;32;20;8;18;18;30;20;24;24;18;20;18;18;16;14;18;20;18;20;12;16;18;14;24;30
covid19;0;0;186;118;76;192;82;162;120;40;144;22;56;172;44;174;30;174;114;170;142;80;116;138;18;114;22;24;10;62;96;26;18;32;66;14;22;14;14;6;10;18;74;26;14;70;14;4;14;8;8;18;10;6;50;10;10;4;4;4;8;8;16;10;6;8;8;8;0;4;8;8;4;12;6;4;4;4;10;6;4;14;4;6;0;10;8;4;2;12;8;4;4;16;6;6;6;4;2;2
#covid19;0;0;0;128;106;200;114;156;120;50;152;54;80;166;52;172;38;166;146;162;136;74;122;134;48;112;42;12;14;56;96;34;48;54;82;22;18;10;14;18;8;16;72;16;6;60;8;12;26;20;24;12;18;8;50;14;16;20;10;10;20;8;0;20;4;12;16;6;10;12;8;8;6;16;2;2;6;6;10;4;6;0;6;6;4;2;18;8;14;4;16;10;10;4;0;16;0;10;18;8
mexico;0;0;0;0;106;100;112;64;32;48;74;30;54;84;46;74;46;78;18;74;88;72;20;80;30;26;34;20;30;56;26;30;10;26;62;22;14;24;14;12;10;12;2;10;14;62;24;18;18;20;22;16;14;20;50;14;12;14;22;18;8;6;14;14;26;12;22;4;12;16;4;8;6;12;8;20;6;2;10;10;16;12;12;10;10;8;2;8;2;6;4;6;4;12;10;0;4;4;6;12
health;0;0;0;0;0;62;102;44;10;40;64;118;34;64;36;68;38;62;24;58;62;64;2;62;36;4;24;6;18;54;2;14;38;16;80;18;8;20;14;46;22;10;2;0;12;58;10;10;6;8;34;12;4;6;50;6;4;4;6;12;38;16;6;0;6;10;18;10;12;10;0;6;0;6;6;8;2;10;2;2;4;2;6;14;0;18;2;6;8;6;6;6;0;6;4;2;0;4;16;4
cases;0;0;0;0;0;0;74;160;120;20;150;6;34;174;2;170;14;176;112;172;150;80;122;142;6;116;14;10;2;60;100;8;6;20;62;10;2;8;2;2;0;8;74;14;0;66;0;0;8;0;4;12;8;2;50;6;10;2;0;0;0;0;2;8;2;4;0;2;2;0;0;2;0;6;2;0;2;2;8;0;0;2;0;0;2;0;4;4;4;2;8;0;0;2;0;0;4;0;2;4
state;0;0;0;0;0;0;0;44;6;20;66;32;20;62;38;68;16;62;26;58;64;66;2;62;40;2;16;8;22;56;2;22;36;6;88;16;10;10;12;12;10;8;2;4;6;58;6;6;8;0;10;8;4;2;50;4;10;12;12;12;12;6;8;6;24;4;12;6;6;2;8;6;4;2;2;10;2;6;4;4;6;2;8;14;0;4;0;6;8;8;4;4;4;2;0;18;2;2;16;2
deaths;0;0;0;0;0;0;0;0;114;12;126;0;10;156;0;152;4;158;108;158;118;56;116;120;0;108;8;10;0;44;90;0;2;10;44;0;2;2;0;0;0;0;72;10;0;56;0;0;8;0;2;8;2;0;42;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;2;0;0
statewide;0;0;0;0;0;0;0;0;0;10;84;10;12;114;10;108;4;112;110;112;78;14;116;74;4;108;12;10;6;10;90;6;6;12;0;2;4;2;0;4;4;18;72;14;4;8;0;2;4;0;2;12;4;0;0;4;0;4;2;0;2;4;0;4;6;0;2;4;12;2;0;2;0;4;4;0;2;4;8;2;4;2;4;2;0;0;2;2;2;2;8;0;0;0;0;0;6;0;2;0
home;0;0;0;0;0;0;0;0;0;0;4;36;74;10;34;14;116;12;12;10;18;4;10;14;38;8;26;8;34;8;2;12;14;44;4;26;18;22;22;16;10;4;2;24;24;2;4;6;26;6;12;24;14;6;0;40;22;2;4;2;6;10;18;8;2;14;2;4;0;6;2;2;0;22;2;2;4;0;4;4;4;10;2;8;2;4;6;2;14;0;26;4;0;6;14;6;4;4;2;4
additional;0;0;0;0;0;0;0;0;0;0;0;2;8;144;8;140;2;144;78;138;108;74;86;108;0;82;6;6;2;54;80;2;6;2;62;0;10;0;0;6;8;4;74;4;4;58;2;0;0;2;4;0;12;0;50;2;0;0;0;0;2;0;0;8;0;2;0;4;2;4;0;2;4;0;6;2;4;4;4;0;2;0;0;0;4;0;4;0;0;6;0;0;4;0;2;6;0;4;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;48;4;38;6;32;0;22;0;0;2;2;0;30;2;30;18;18;4;0;20;30;26;16;18;30;12;24;46;30;6;0;22;12;0;12;14;6;6;16;8;2;4;0;6;8;8;6;4;36;16;4;0;2;4;8;14;8;6;0;8;0;4;4;2;4;14;2;0;6;8;6;8;4;14;6;8;12;14;10;8;0;8;0;2;6;14;14;4
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;14;46;20;60;10;10;8;12;6;10;10;24;14;38;32;16;10;8;18;8;92;4;44;46;24;40;18;16;10;2;26;18;2;4;6;20;2;14;18;18;4;0;22;28;2;4;0;2;6;14;18;4;12;0;4;2;4;0;0;0;16;2;2;6;2;10;4;6;10;4;2;2;4;32;6;14;8;18;6;2;10;12;8;4;10;0;14
currently;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;164;2;170;104;168;132;68;112;132;2;108;12;8;2;56;90;2;0;8;60;4;2;4;2;2;0;6;74;10;0;64;0;0;4;2;0;10;2;0;50;2;2;0;2;2;0;0;4;2;2;2;0;0;2;0;0;0;0;4;0;4;4;0;4;0;0;0;4;2;0;2;2;2;0;0;6;6;0;0;0;0;0;0;0;2
mexicans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;28;0;2;0;2;2;4;2;26;0;24;24;30;4;0;30;12;22;0;22;24;10;22;8;16;14;0;12;14;0;6;16;18;8;16;10;14;10;0;10;10;0;12;14;4;6;6;12;12;8;18;2;8;10;2;8;12;14;4;8;12;0;10;10;12;6;14;12;6;8;12;4;8;8;2;10;10;8;2;4;8;8;0;2
info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;168;108;164;128;72;110;130;0;100;10;8;2;50;86;0;4;12;62;2;2;4;4;6;6;2;74;12;2;66;6;0;6;0;0;8;2;0;50;4;0;0;4;2;4;2;0;2;0;2;0;4;6;0;0;2;0;6;0;0;4;4;0;0;0;2;0;0;2;2;6;2;0;2;8;4;2;0;0;2;0;2;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;8;4;2;6;36;6;30;2;30;4;6;18;8;40;4;22;14;12;10;14;6;6;2;10;22;4;6;4;16;8;12;18;6;8;0;10;18;2;6;0;6;8;18;0;0;14;2;4;2;6;2;2;2;14;2;6;4;0;4;2;2;6;4;2;2;2;2;4;12;0;16;6;2;6;10;2;2;2;0;6
totaling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;170;134;72;114;136;0;106;6;8;0;50;90;0;2;10;62;0;0;2;0;0;0;0;74;10;0;64;0;0;6;0;0;6;2;0;50;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;68;10;120;68;28;102;6;8;0;8;86;2;34;8;26;0;6;2;0;8;4;4;70;10;0;6;2;0;8;8;0;8;4;0;0;2;0;14;0;0;14;2;0;4;0;6;0;4;2;0;6;8;4;8;2;2;0;4;0;0;0;2;0;2;0;0;2;2;2;2;6;0;0;0;0;10;2;0;18;0
