;#covid19;#teamkentucky;#togetherky;beshear;kentuckians;governor;live;ab;information;updated;et;update;watch;facebook;5;kentucky;shares;visit;together;share;help;thank;please;commonwealth;media;cases;#patriot;protect;state;todays;positive;safe;#healthyathome;beat;care;youtube;yesterday;children;thanks;home;proud;lost;important;full;social;health;work;honor;follow;support;covid19;video;making;due;family;green;students;latest;sacrifices;week;good;provide;tonight;capitol;distancing;working;show;news;conference;morning;taking;use;death;tips;seek;start;kentuckian;kids;million;new;step;coronavirus;following;take;close;guidelines;county;parents;eligible;future;march;gov;loved;lets;practicing;education;medical;families;announced;continue
#covid19;0;144;136;108;88;108;104;38;96;80;76;54;62;58;58;32;48;38;30;30;24;18;20;16;28;24;24;18;16;22;18;20;20;20;14;18;14;14;12;16;4;16;10;18;6;12;8;8;14;8;6;12;12;14;12;12;2;14;14;2;8;8;10;2;6;6;10;12;12;2;10;10;12;10;8;10;8;8;0;4;4;4;6;4;8;10;8;8;6;2;2;4;4;10;6;2;6;4;8;6
#teamkentucky;0;0;138;34;72;34;26;86;12;4;38;44;0;26;36;26;0;18;30;8;26;20;18;22;2;2;24;18;6;2;0;20;18;14;18;0;18;12;18;10;14;6;14;10;12;12;12;12;16;14;2;4;12;10;10;8;10;4;12;14;10;6;6;10;10;12;6;0;2;4;10;8;0;10;8;4;4;10;10;2;8;0;2;6;0;8;0;4;10;8;8;4;4;8;8;6;4;4;6;6
#togetherky;0;0;0;28;50;28;28;30;10;2;42;46;0;28;40;16;0;14;28;4;16;14;14;12;2;2;26;12;4;4;0;14;18;16;10;0;8;12;12;10;2;10;8;12;6;6;8;8;10;8;0;8;10;10;8;8;2;2;10;2;4;6;8;2;6;6;6;0;2;2;8;10;0;6;4;8;4;8;0;2;4;2;2;4;0;6;0;6;6;2;2;0;2;10;6;2;0;2;2;4
beshear;0;0;0;0;62;110;102;0;80;80;54;28;48;54;40;8;48;2;0;32;0;0;0;0;26;2;0;2;6;0;0;0;0;0;2;14;0;2;0;0;0;0;0;4;0;2;0;0;0;0;6;4;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
kentuckians;0;0;0;0;0;56;54;20;34;32;56;26;0;54;38;2;0;6;6;34;10;2;8;4;26;2;4;12;8;0;0;8;2;2;4;12;2;0;4;4;4;2;4;0;0;6;8;2;2;6;8;0;2;6;4;2;0;2;2;8;0;2;6;2;0;4;0;0;0;0;2;4;0;0;0;0;0;0;2;4;6;0;0;4;0;2;0;0;8;2;0;6;2;4;0;0;2;2;2;4
governor;0;0;0;0;0;0;102;4;80;80;54;28;48;54;40;6;48;2;0;32;0;0;0;0;26;0;0;0;2;0;0;0;0;0;2;14;2;2;0;0;0;0;0;4;0;0;0;2;0;0;4;4;0;2;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
live;0;0;0;0;0;0;0;0;76;76;58;34;54;62;42;0;48;2;0;30;0;0;0;0;26;0;2;0;0;2;0;0;2;0;2;14;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ab;0;0;0;0;0;0;0;0;6;2;2;4;0;0;0;14;0;4;16;4;10;10;10;18;2;0;6;14;6;2;2;8;6;8;8;0;6;4;6;6;10;16;12;0;10;12;4;14;6;6;0;0;6;0;8;14;10;2;2;10;10;4;6;12;8;10;8;0;0;8;2;4;2;6;4;0;8;2;6;2;6;0;2;4;2;2;2;0;2;6;4;0;8;10;4;6;2;8;2;10
information;0;0;0;0;0;0;0;0;0;84;28;2;48;28;12;10;48;16;2;30;2;0;12;6;26;0;0;0;2;0;0;6;2;2;2;14;0;0;0;0;0;0;0;2;2;2;0;0;2;0;8;2;0;2;0;0;0;10;0;0;4;0;4;0;2;0;0;0;0;2;2;4;0;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2
updated;0;0;0;0;0;0;0;0;0;0;28;0;48;28;12;2;48;4;0;30;2;0;4;4;26;0;0;0;0;0;0;2;0;0;0;14;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
et;0;0;0;0;0;0;0;0;0;0;0;42;2;58;56;6;0;2;4;32;0;0;2;0;26;4;4;0;0;8;2;0;2;2;4;14;4;6;0;2;0;0;0;10;0;0;2;0;0;0;2;6;0;2;4;0;0;0;0;2;0;6;4;0;0;0;2;0;2;2;4;2;0;0;0;8;0;4;0;2;2;4;0;2;2;0;2;6;2;0;0;0;0;0;0;0;0;0;2;0
update;0;0;0;0;0;0;0;0;0;0;0;0;8;36;44;6;0;2;2;4;2;0;6;0;0;0;4;0;0;12;0;0;2;0;4;4;0;8;0;0;0;2;0;10;0;2;0;0;2;0;0;8;0;0;6;2;0;0;0;0;0;6;0;0;0;0;4;0;2;0;4;4;0;2;2;10;2;4;0;0;0;10;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;48;12;0;0;0;0;0;0;0;6;0;0;0;14;6;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;4;0;30;0;0;0;0;26;0;2;0;0;4;0;0;2;0;2;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;16;0;0;0;0;12;2;2;0;0;8;0;0;2;0;4;6;2;8;0;2;0;0;0;10;0;0;0;0;0;0;0;8;0;0;4;0;0;0;0;0;0;6;0;0;0;0;2;0;2;0;4;2;0;0;0;10;0;4;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
kentucky;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;0;0;6;6;0;8;4;0;4;4;4;4;0;2;4;2;4;8;2;2;4;2;0;10;2;4;2;6;0;2;4;8;0;2;0;2;0;10;0;4;4;6;2;4;0;2;0;0;0;4;6;0;2;2;2;6;0;0;2;0;0;4;2;0;0;0;2;4;0;0;4;2;2;2;2;4;0;6;2;4
shares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;10;4;2;6;4;2;4;12;6;6;0;0;2;2;2;0;2;0;0;0;2;4;4;2;0;0;2;0;4;0;0;2;0;0;0;10;2;0;4;0;2;0;4;0;0;10;10;0;2;0;4;2;2;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;4;0;2;6;8;2;0;0;4;10;16;2;0;2;2;2;2;4;4;0;2;2;0;0;6;2;2;0;0;4;2;0;4;2;0;2;2;2;0;4;2;0;4;2;0;0;4;2;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;0;0;0;0;4;0;2;6;0;0;0;4;0;2
share;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;2;0;0;2;0;4;12;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;0;0;6;6;0;0;0;6;2;0;2;0;2;2;4;4;0;0;8;0;4;4;4;0;6;4;2;2;0;0;2;0;0;0;2;0;2;0;0;2;4;2;0;0;0;2;0;0;0;8;6;0;0;4;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;4;0;2;0;6;4;6;2;0;0;2;0;2;4;2;4;0;0;4;2;2;0;4;0;2;10;0;2;0;2;0;6;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;2;0;8;0;0;0;0;0;0;0;0;0;2;0;0;0;6;2;0;6;2;2;0;0;4;2;2;0;6;0;2;4;0;2;0;0;0;2;0;0;0;2;4;0;6;4;0;2;0;0;0;0;0;6;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2
commonwealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;6;2;0;0;2;0;2;6;2;2;2;0;2;2;2;0;2;0;0;2;2;0;0;4;0;2;2;2;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;4;0;2;0;4
