;great;president;people;states;united;trump;house;money;year;white;american;federal;government;news;left;new;history;fact;americans;business;best;working;past;senate;police;night;democrats;order;dollars;support;making;spent;monday;historic;shooting;tax;court;political;came;little;clinton;drug;help;national;looking;country;america;wednesday;post;end;arrested;decision;thank;possible;dead;promote;north;cast;twitter;air;secretary;home;whether;thing;administration;hillary;huge;donald;big;world;economy;chicago;jobs;bill;trillion;education;talking;season;taken;free;bad;campaign;development;syrian;good;closely;week;anything;another;next;radical;washington;policy;run;tell;committed;department;fake;rates;economic
great;0;6;4;2;2;6;2;2;0;2;0;2;2;2;2;0;2;2;0;0;2;2;0;0;2;6;2;0;0;4;2;0;4;0;2;0;0;0;0;0;0;0;2;2;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0
president;0;0;4;2;2;12;4;2;0;4;0;2;2;6;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;4;0;4;0;0;0;0;2;2;0;2;0;4;2;2;4;0;2;0;2;2;0;0;0;0;0;0;0;4;2;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0
people;0;0;0;6;4;4;4;6;0;4;4;0;0;2;0;2;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;4;0;0;2;2;0;2;0;4;2;2;2;2;2;0;0;0;2;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0
states;0;0;0;0;18;0;4;2;2;2;2;2;4;2;0;4;0;2;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;2;2;4;2;2;2;2;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;2;0;2
united;0;0;0;0;0;0;2;2;2;0;0;2;4;0;0;4;0;2;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;2;2;4;2;2;2;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2
trump;0;0;0;0;0;0;2;4;0;2;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;6;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;4;6;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0
house;0;0;0;0;0;0;0;0;0;10;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0;2;0;2
money;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
white;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0
