;united;states;great;trump;government;president;new;state;american;year;may;russia;news;house;democrats;texas;working;federal;lead;history;fbi;administration;partnership;post;brain;health;fake;austin;law;love;left;country;trade;world;campaign;eagle;released;goodman;saying;dead;thing;congress;bald;obama;friday;drain;agency;white;senate;team;final;everglades;second;dr;living;given;protect;take;fact;copy;power;season;hillary;numbers;tech;formamy;turn;force;transpacific;air;enforcement;run;drone;life;rush;times;act;economic;russian;tax;friend;controversial;general;thank;crime;set;clinton;chainsaw;nothing;per;highway;statement;help;people;university;drive;looking;strikes;story;face
united;0;30;4;4;4;2;0;0;2;0;0;2;0;2;2;0;2;0;2;2;0;6;2;0;0;2;0;0;4;0;0;2;4;2;2;0;0;0;2;0;0;2;0;4;4;0;4;2;0;0;0;0;0;0;0;0;4;4;2;0;0;0;2;4;0;0;0;2;2;2;4;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;0;2
states;0;0;4;4;4;2;0;0;2;0;0;2;0;2;2;0;2;0;2;2;0;6;2;0;0;2;0;0;4;0;0;2;4;2;2;0;0;0;2;0;0;2;0;4;4;0;4;2;0;0;0;0;0;0;0;0;4;4;2;0;0;0;2;4;0;0;0;2;2;2;4;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;0;2
great;0;0;0;2;4;2;4;2;4;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0
trump;0;0;0;0;0;10;2;2;0;2;2;2;4;4;0;0;0;0;0;2;4;2;0;2;0;0;4;0;0;0;0;0;0;0;4;0;0;2;6;0;2;2;0;2;2;0;0;4;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;2;2;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
government;0;0;0;0;0;2;4;2;4;0;0;0;0;0;2;0;2;4;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;0;2;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;2;2;2;4;0;0;0;0;0;0;0
president;0;0;0;0;0;0;2;0;4;0;0;0;4;2;2;0;0;0;4;2;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;2;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;4;0;2;0;2;2;2;0;0;0;2;4;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;2;0;0;0;4;0;2;4;0;0;0;2;0;2;2;2;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;2;0;2;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
year;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;2;2;6;0;0;0;2;0;0;0;0;6;0;0;0;0;0;6;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
