;virginia;commonwealth;virginians;lets;important;visit;historic;vote;honor;work;learn;students;forward;general;session;rights;bill;gun;proud;help;great;local;assembly;extreme;laws;virginias;veterans;bills;across;making;good;#swva;census;full;nation;information;emergency;fought;safer;join;inclusive;@vahouse;past;flood;barriers;year;safety;new;school;legislation;code;risk;language;plan;strong;step;womens;women;country;civil;protections;tax;infrastructure;accessible;education;stay;find;change;support;protect;put;justice;protective;oliver;end;lgbtq;start;senate;big;working;commonsense;behalf;solar;yesterday;building;repealing;passing;follow;week;state;@vsutrojans;books;federal;practice;program;legislature;register;hbcus;leaders;result
virginia;0;8;4;4;2;8;2;6;2;0;6;4;4;0;2;0;2;2;2;2;6;2;0;0;2;2;2;2;2;0;2;2;2;2;4;4;0;0;4;4;0;2;0;2;2;2;2;4;0;2;2;0;2;2;4;0;0;0;0;0;0;4;2;0;0;2;2;0;0;2;2;2;0;2;4;2;0;2;0;4;2;2;2;0;2;2;2;2;2;2;2;2;2;4;4;4;2;2;2;2
commonwealth;0;0;8;2;4;0;4;6;4;2;0;2;4;2;2;0;0;2;4;0;2;2;2;2;0;2;0;0;6;4;0;2;0;2;0;0;2;2;4;2;4;2;2;0;2;0;2;2;0;2;0;0;0;2;0;2;0;2;4;0;4;0;2;0;2;0;0;2;2;2;0;0;0;0;0;2;2;2;0;2;2;2;0;2;2;0;0;2;0;2;0;0;2;0;2;2;0;0;4;2
virginians;0;0;0;4;0;0;2;2;2;0;2;0;0;2;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;4;0;2;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;2;2;2;2;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2
lets;0;0;0;0;0;0;0;0;6;2;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0
important;0;0;0;0;0;2;2;0;0;2;0;0;4;2;4;0;2;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;2;2;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;2;0;2;0;0
visit;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;2;2;0;0
historic;0;0;0;0;0;0;0;2;0;2;0;0;0;6;4;2;0;2;2;0;0;2;6;0;2;0;0;4;0;2;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;4;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2
honor;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
