;minnesota;state;mn;minnesotans;#mnleg;thank;school;safety;everyone;#oneminnesota;funding;safe;states;together;help;firefighters;place;without;proud;lost;farm;folks;community;stand;jake;across;high;joined;#buildonemn;governors;afford;honored;communities;law;great;injuries;fellow;ensuring;people;projects;local;work;incredible;accidents;working;service;#blackhistorymonth;someone;beautiful;violence;gwen;women;family;weekend;preventable;initiative;addressing;farming;sports;honor;tireless;families;americans;infrastructure;spread;committed;american;church;new;deaths;lives;alexandria;greatest;call;morning;shelter;native;lao;bin;gun;home;#wethestates;story;team;monitoring;federal;#superbowlliv;couldnt;thinking;continue;accident;health;loved;#mmiw;personal;generations;drivers;commonsense;provide;reduce
minnesota;0;10;0;8;4;2;0;2;4;4;6;4;2;2;2;0;4;2;4;4;0;0;0;0;0;4;2;2;0;0;2;4;2;0;0;0;2;2;0;0;0;2;2;2;0;2;4;2;2;2;0;2;2;0;2;2;2;2;0;0;0;2;2;2;0;2;0;0;2;0;2;0;0;0;2;4;2;2;2;0;2;0;0;0;0;0;0;2;0;2;0;2;2;2;2;2;0;0;0;0
state;0;0;2;8;4;4;2;0;2;2;0;2;0;0;0;0;0;2;4;0;0;0;2;0;2;2;4;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;2;0;0;0;4;0;0;2;2;2;0;0;0;2;4;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;2;2;4;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0
mn;0;0;0;2;2;0;4;2;4;2;0;2;2;2;2;2;2;2;4;2;2;2;0;2;2;0;2;4;0;2;0;2;2;2;4;4;2;2;0;0;0;0;0;2;2;2;0;2;0;2;0;0;0;4;2;0;0;2;2;2;0;2;0;0;2;2;2;0;2;2;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;4;2;0;0;0;2;0;2;0;0;0;4;2;0;2
minnesotans;0;0;0;0;8;4;0;0;2;2;2;6;0;0;2;2;2;2;2;0;0;0;0;2;0;4;2;2;0;0;4;2;0;4;2;0;2;4;2;0;0;2;4;0;0;0;0;0;0;4;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;4;2;0;0;2;0;0;0;2;2;0;0;2;2;0;0;2;0;2;0;0;0;4;2;2
#mnleg;0;0;0;0;0;4;0;2;0;2;2;0;2;2;6;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;6;0;2;4;2;0;0;2;0;2;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4
thank;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;4;2;2;0;2;4;2;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;4;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0
school;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
safety;0;0;0;0;0;0;0;0;0;4;4;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
#oneminnesota;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
